变量名,itemID,coordinate,componentPosID,componentLine,componentsize,attrTarget,attrNumType1,attrNum1,attrNumType2,attrNum2,attrNumType3,attrNum3,attrNumType4,attrNum4,strengthCostSeq
默认值,701,{},1,{},352,<>,0,<>,0,<>,0,<>,0,<>,
ID,组件道具ID,组件位在界面的坐标,组件位在界面上显示位置顺序，按顺时针算,组件线的坐标及翻转配置,组件线宽度,属性生效目标（空为全队属性）,属性类型1,属性数值1,属性类型2,属性数值2,属性类型3,属性数值3,属性类型4,属性数值4,升级消耗序列
1,4011,{y=491;x=197},1,{y=461;flip=4;x=420},480,<>,1,<155;279;404;546;689;852;1015;1202;1388;1602;1816;2060;2303;2583;2862;3182;3502;3869;4235;4655;5121;5633;6196;6815;7497;8247;9071;9978;10976;12074;13281;14609;16070;17677;19445;21390;23529;25881;28470;31317;34448;37893;41682;45851;50436;55479;61027;67130;73843;81227>,7,<31;55;80;108;136;168;201;237;274;315;357;405;454;509;564;627;690;762;835;917;1009;1110;1221;1343;1477;1625;1787;1966;2162;2378;2616;2878;3166;3482;3831;4214;4635;5098;5608;6169;6786;7465;8211;9032;9935;10929;12022;13224;14546>,0,<>,0,<>,1
2,4012,{y=823;x=1483},2,{y=789;flip=3;x=1219},390,<>,1,<115;207;298;404;509;630;751;888;1026;1184;1342;1522;1703;1909;2116;2352;2588;2859;3131;3441;3785;4164;4580;5038;5542;6096;6706;7376;8114;8925;9818;10799;11879;13067;14374;15811;17392;19132;21045;23149;25464;28011;30812;33893;37282;41010;45111;49623;54585;60043>,8,<41;75;108;146;184;228;271;321;370;427;483;549;614;689;764;849;934;1032;1129;1241;1365;1502;1652;1817;1999;2199;2418;2660;2926;3219;3541;3895;4284;4713;5184;5702;6273;6900;7590;8349;9184;10102;11112;12224;13446;14790;16270;17896;19686>,0,<>,0,<>,2
3,4013,{y=322;x=1483},3,{y=349;flip=1;x=1289},260,<>,9,<16;29;41;56;71;89;106;125;145;167;189;214;239;268;297;330;363;401;439;483;531;584;643;707;778;856;941;1035;1139;1253;1378;1516;1667;1834;2018;2219;2441;2685;2954;3249;3574;3932;4325;4757;5233;5756;6332;6965;7662;8428>,10,<12;21;31;42;53;65;78;93;107;123;139;158;177;198;219;244;269;297;325;357;393;432;475;523;575;632;696;765;842;926;1019;1120;1232;1356;1491;1640;1804;1985;2183;2402;2642;2906;3197;3516;3868;4255;4680;5148;5663>,0,<>,0,<>,3
4,4021,{y=590;x=236},1,{y=555;flip=4;x=483},420,<>,7,<31;55;80;108;136;168;201;237;274;315;357;405;454;509;564;627;690;762;835;917;1009;1110;1221;1343;1477;1625;1787;1966;2162;2378;2616;2878;3166;3482;3831;4214;4635;5098;5608;6169;6786;7465;8211;9032;9935;10929;12022;13224;14546;16001>,10,<16;29;41;56;71;89;106;125;145;167;189;214;239;268;297;330;363;401;439;483;531;584;643;707;778;856;941;1035;1139;1253;1378;1516;1667;1834;2018;2219;2441;2685;2954;3249;3574;3932;4325;4757;5233;5756;6332;6965;7662>,0,<>,0,<>,4
5,4022,{y=781;x=1442},2,{y=750;flip=3;x=1180},410,<>,8,<41;75;108;146;184;228;271;321;370;427;483;549;614;689;764;849;934;1032;1129;1241;1365;1502;1652;1817;1999;2199;2418;2660;2926;3219;3541;3895;4284;4713;5184;5702;6273;6900;7590;8349;9184;10102;11112;12224;13446;14790;16270;17896;19686;21655>,9,<12;21;31;42;53;65;78;93;107;123;139;158;177;198;219;244;269;297;325;357;393;432;475;523;575;632;696;765;842;926;1019;1120;1232;1356;1491;1640;1804;1985;2183;2402;2642;2906;3197;3516;3868;4255;4680;5148;5663>,0,<>,0,<>,5
6,4023,{y=280;x=1442},3,{y=250;flip=3;x=1233},300,<>,1,<115;207;298;404;509;630;751;888;1026;1184;1342;1522;1703;1909;2116;2352;2588;2859;3131;3441;3785;4164;4580;5038;5542;6096;6706;7376;8114;8925;9818;10799;11879;13067;14374;15811;17392;19132;21045;23149;25464;28011;30812;33893;37282;41010;45111;49623;54585;60043>,13,<5;7;9;12;14;16;18;21;23;25;28;30;32;35;37;39;41;44;46;48;53;58;64;70;77;85;94;103;113;124;137;151;166;182;201;221;243;267;294;323;355;391;430;473;520;572;629;692;761>,0,<>,0,<>,6
7,4031,{y=511;x=183},1,{y=485;flip=4;x=363},240,<>,1,<173;310;448;606;764;945;1126;1334;1541;1778;2015;2287;2558;2869;3180;3536;3892;4299;4706;5173;5690;6259;6885;7574;8331;9164;10081;11089;12198;13417;14759;16235;17859;19644;21609;23770;26147;28761;31638;34801;38281;42110;46321;50953;56048;61653;67818;74600;82060;90266>,7,<62;112;161;217;274;339;405;480;554;639;725;822;920;1032;1143;1271;1398;1546;1693;1861;2047;2252;2477;2725;2997;3297;3627;3989;4388;4827;5310;5841;6425;7067;7774;8551;9406;10347;11382;12520;13772;15149;16664;18330;20163;22180;24398;26837;29521>,9,<17;31;44;60;75;93;111;131;151;174;197;224;250;281;311;346;381;421;461;507;558;613;675;742;817;898;988;1087;1195;1315;1447;1591;1750;1925;2118;2330;2563;2819;3101;3411;3752;4127;4540;4994;5493;6043;6647;7311;8043;8847>,0,<>,7
8,4032,{y=800;x=1483},2,{y=770;flip=3;x=1210},450,<>,1,<233;420;606;820;1034;1279;1524;1804;2085;2406;2727;3094;3460;3881;4302;4784;5266;5817;6368;6999;7699;8469;9316;10247;11272;12399;13639;15003;16503;18154;19969;21966;24162;26579;29237;32160;35376;38914;42805;47086;51794;56974;62671;68938;75832;83415;91757;100933;111026;122128>,8,<46;82;119;161;202;251;299;354;410;473;536;608;680;762;845;939;1034;1142;1251;1375;1513;1664;1830;2013;2214;2436;2679;2947;3242;3566;3923;4315;4747;5222;5744;6318;6950;7645;8409;9250;10175;11193;12312;13543;14898;16387;18026;19829;21812>,10,<20;36;52;70;88;109;130;154;178;205;232;263;294;330;366;407;448;495;542;596;656;721;793;873;960;1056;1161;1278;1405;1546;1700;1871;2058;2263;2490;2739;3012;3314;3645;4010;4411;4852;5337;5870;6457;7103;7814;8595;9454;10400>,0,<>,8
