变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,lowNum,middleNum,highNum,totalNum,targetNum,timeDown,fasterSpeed,extraProbability,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,attrType6,attrNum6,attrType7,attrNum7,attrType8,attrNum8
默认值,"""""","""""","""""","""""","""""","""""","""""",0,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,名字,名字,名字,名字,名字,名字,名字,需要低级鱼数量,需要中级鱼数量,需要高级鱼数量,需要钓到的所有鱼数量，只包含中低高级鱼，不包含其他特殊掉落,需要目标鱼及数量,减少等待时间,钓鱼进度提升速度,自动钓鱼额外成功率（同类增益互相相加）,属性类型1 属性这边的加成不是累加，而是显示多少就是多少，需要注意,属性提升1,属性类型2,属性提升2,属性类型3,属性提升3,属性类型4,属性提升4,属性类型5,属性提升5,属性类型6,属性提升6,属性类型7,属性提升7,属性类型8,属性提升8
1,菜鸟垂钓者,菜鳥垂釣者,Newbie Fisherman,Ngư Thủ Mới Vào Nghề,신참 낚시꾼,Pescador Novato,นักตกปลามือใหม่,0,0,0,30,{},0,0,0,1,1005,13,50,7,345,8,345,9,105,10,105,22,60,23,60
2,萌新垂钓者,萌新垂釣者,Rookie Fisherman,Ngư Thủ Tân Binh,신인 낚시꾼,Pescador Calouro,นักตกปลาหน้าใหม่,0,0,0,60,{},0.02,0.02,0.02,1,2025,13,100,7,675,8,675,9,195,10,195,22,120,23,120
3,入门垂钓者,入門垂釣者,Beginner Fisherman,Ngư Thủ Tập Sự,입문 낚시꾼,Pescador Iniciante,นักตกปลาระดับเริ่มต้น,60,25,10,0,{},0.04,0.04,0.03,1,3045,13,150,7,1020,8,1020,9,300,10,300,22,180,23,180
4,进阶垂钓者,進階垂釣者,Advanced Fisherman,Ngư Thủ Cao Cấp,초급 낚시꾼,Pescador Avançado,นักตกปลาขั้นสูง,80,30,13,0,{},0.06,0.06,0.04,1,4050,13,200,7,1350,8,1350,9,405,10,405,22,240,23,240
5,中级垂钓者III,中級垂釣者III,Veteran Fisherman III,Ngư Thủ Lão Luyện III,중급 낚시꾼III,Pescador Veterano III,นักตกปลาชำนาญ III,130,45,19,0,{},0.08,0.08,0.05,1,6075,13,250,7,2025,8,2025,9,600,10,600,22,300,23,300
6,中级垂钓者II,中級垂釣者II,Veteran Fisherman II,Ngư Thủ Lão Luyện II,중급 낚시꾼II,Pescador Veterano II,นักตกปลาชำนาญ II,140,55,21,0,{},0.1,0.1,0.06,1,8100,13,300,7,2700,8,2700,9,795,10,795,22,360,23,360
7,中级垂钓者I,中級垂釣者I,Veteran Fisherman I,Ngư Thủ Lão Luyện I,중급 낚시꾼I,Pescador Veterano I,นักตกปลาชำนาญ I,150,60,23,0,{},0.12,0.12,0.07,1,10125,13,350,7,3375,8,3375,9,990,10,990,22,420,23,420
8,熟练垂钓者III,熟練垂釣者III,Skilled Fisherman III,Ngư Thủ Lành Nghề III,숙련 낚시꾼III,Pescador Habilidoso III,นักตกปลาเชี่ยวชาญ III,180,65,27,0,{},0.14,0.14,0.08,1,13170,13,400,7,4395,8,4395,9,1290,10,1290,22,480,23,480
9,熟练垂钓者II,熟練垂釣者II,Skilled Fisherman II,Ngư Thủ Lành Nghề II,숙련 낚시꾼II,Pescador Habilidoso II,นักตกปลาเชี่ยวชาญ II,200,75,30,0,{},0.16,0.16,0.09,1,16200,13,450,7,5400,8,5400,9,1590,10,1590,22,540,23,540
10,熟练垂钓者I,熟練垂釣者I,Skilled Fisherman I,Ngư Thủ Lành Nghề I,숙련 낚시꾼I,Pescador Habilidoso I,นักตกปลาเชี่ยวชาญ I,220,80,33,0,{},0.18,0.18,0.1,1,19245,13,500,7,6405,8,6405,9,1875,10,1875,22,600,23,600
11,强力垂钓者III,強力垂釣者III,Senior Fisherman III,Ngư Thủ Cao Thủ III,강한낚시꾼III,Pescador Sênior III,นักตกปลาอาวุโส III,250,90,37,0,{},0.2,0.2,0.11,1,22275,13,550,7,7425,8,7425,9,2175,10,2175,22,660,23,660
