变量名,_beizhu,itemWeightMap,itemCount,costMap,vipStart,vipWeight,beginDate,endDate,position,levelRange,limitType,limitTimes,showUnable
默认值,,{},0,{coin1=0},0,1,0,20990101,0,<1;150>,0,0,FALSE
商店ID,备注,商品ID表({ID=权重;}),商品个数,消耗,起始VIP等级,刷新几率权重(-1=必定出现),开始贩售时间,结束贩售时间,商店栏位,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见
1,,{20451=100;20371=100;23471=100;20131=100;20051=100;20891=100;21351=100;22301=100;20551=100;22611=0;23011=100;20101=100;21081=0;20021=100;20471=100;20781=100;20801=100;20231=100;22271=100;23281=100;20071=100;22871=100;22481=100;22681=0;23561=100;20281=100;20541=100;20121=100;20041=100;22961=0;22921=100;23511=0;23431=100;22631=100;20171=0;20011=100;20091=100;22891=0;21441=100;20081=100;20301=100;21861=100;20691=0;23501=100;20061=100;20481=100;20461=100;20351=100;20271=100;20191=100;20111=100;22922=100;20031=100;22011=100;20791=100;23291=100;23341=100;22591=0;22071=100;21611=100;20001=100},1,{gold=30000},0,100,0,20990101,0,<1;250>,0,0,FALSE
2,,{20451=100;20371=100;23471=100;20131=100;20051=100;20891=100;21351=100;22301=100;20551=100;22611=0;23011=100;20101=100;21081=0;20021=100;20471=100;20781=100;20801=100;20231=100;22271=100;23281=100;20071=100;22871=100;22481=100;22681=0;23561=100;20281=100;20541=100;20121=100;20041=100;22961=0;22921=100;23511=0;23431=100;22631=100;20171=0;20011=100;20091=100;22891=0;21441=100;20081=100;20301=100;21861=100;20691=0;23501=100;20061=100;20481=100;20461=100;20351=100;20271=100;20191=100;20111=100;22922=100;20031=100;22011=100;20791=100;23291=100;23341=100;22591=0;22071=100;21611=100;20001=100},2,{gold=60000},0,100,0,20990101,0,<1;250>,0,0,FALSE
3,,{20451=100;20371=100;23471=100;20131=100;20051=100;20891=100;21351=100;22301=100;20551=100;22611=0;23011=100;20101=100;21081=0;20021=100;20471=100;20781=100;20801=100;20231=100;22271=100;23281=100;20071=100;22871=100;22481=100;22681=0;23561=100;20281=100;20541=100;20121=100;20041=100;22961=0;22921=100;23511=0;23431=100;22631=100;20171=0;20011=100;20091=100;22891=0;21441=100;20081=100;20301=100;21861=100;20691=0;23501=100;20061=100;20481=100;20461=100;20351=100;20271=100;20191=100;20111=100;22922=100;20031=100;22011=100;20791=100;23291=100;23341=100;22591=0;22071=100;21611=100;20001=100},1,{rmb=30},0,100,0,20990101,0,<1;250>,0,0,FALSE
4,,{20451=100;20371=100;23471=100;20131=100;20051=100;20891=100;21351=100;22301=100;20551=100;22611=0;23011=100;20101=100;21081=0;20021=100;20471=100;20781=100;20801=100;20231=100;22271=100;23281=100;20071=100;22871=100;22481=100;22681=0;23561=100;20281=100;20541=100;20121=100;20041=100;22961=0;22921=100;23511=0;23431=100;22631=100;20171=0;20011=100;20091=100;22891=0;21441=100;20081=100;20301=100;21861=100;20691=0;23501=100;20061=100;20481=100;20461=100;20351=100;20271=100;20191=100;20111=100;22922=100;20031=100;22011=100;20791=100;23291=100;23341=100;22591=0;22071=100;21611=100;20001=100},2,{rmb=60},0,100,0,20990101,0,<1;250>,0,0,FALSE
11,,{5000=100},20,{gold=120000},0,100,0,20990101,2,<1;250>,0,0,FALSE
12,,{5000=100},10,{gold=60000},0,100,0,20990101,2,<1;250>,0,0,FALSE
21,,{20451=100;20371=100;23471=100;20131=100;20051=100;20891=100;21351=100;22301=100;20551=100;22611=0;23011=100;20101=100;21081=0;20021=100;20471=100;20781=100;20801=100;20231=100;22271=100;23281=100;20071=100;22871=100;22481=100;22681=0;23561=100;20281=100;20541=100;20121=100;20041=100;22961=0;22921=100;23511=0;23431=100;22631=100;20171=0;20011=100;20091=100;22891=0;21441=100;20081=100;20301=100;21861=100;20691=0;23501=100;20061=100;20481=100;20461=100;20351=100;20271=100;20191=100;20111=100;22922=100;20031=100;22011=100;20791=100;23291=100;23341=100;22591=0;22071=100;21611=100;20001=100},1,{gold=30000},0,100,0,20990101,1,<1;250>,0,0,FALSE
22,,{20451=100;20371=100;23471=100;20131=100;20051=100;20891=100;21351=100;22301=100;20551=100;22611=0;23011=100;20101=100;21081=0;20021=100;20471=100;20781=100;20801=100;20231=100;22271=100;23281=100;20071=100;22871=100;22481=100;22681=0;23561=100;20281=100;20541=100;20121=100;20041=100;22961=0;22921=100;23511=0;23431=100;22631=100;20171=0;20011=100;20091=100;22891=0;21441=100;20081=100;20301=100;21861=100;20691=0;23501=100;20061=100;20481=100;20461=100;20351=100;20271=100;20191=100;20111=100;22922=100;20031=100;22011=100;20791=100;23291=100;23341=100;22591=0;22071=100;21611=100;20001=100},2,{gold=60000},0,100,0,20990101,1,<1;250>,0,0,FALSE
23,,{20451=100;20371=100;23471=100;20131=100;20051=100;20891=100;21351=100;22301=100;20551=100;22611=0;23011=100;20101=100;21081=0;20021=100;20471=100;20781=100;20801=100;20231=100;22271=100;23281=100;20071=100;22871=100;22481=100;22681=0;23561=100;20281=100;20541=100;20121=100;20041=100;22961=0;22921=100;23511=0;23431=100;22631=100;20171=0;20011=100;20091=100;22891=0;21441=100;20081=100;20301=100;21861=100;20691=0;23501=100;20061=100;20481=100;20461=100;20351=100;20271=100;20191=100;20111=100;22922=100;20031=100;22011=100;20791=100;23291=100;23341=100;22591=0;22071=100;21611=100;20001=100},1,{rmb=30},0,100,0,20990101,1,<1;250>,0,0,FALSE
24,,{20451=100;20371=100;23471=100;20131=100;20051=100;20891=100;21351=100;22301=100;20551=100;22611=0;23011=100;20101=100;21081=0;20021=100;20471=100;20781=100;20801=100;20231=100;22271=100;23281=100;20071=100;22871=100;22481=100;22681=0;23561=100;20281=100;20541=100;20121=100;20041=100;22961=0;22921=100;23511=0;23431=100;22631=100;20171=0;20011=100;20091=100;22891=0;21441=100;20081=100;20301=100;21861=100;20691=0;23501=100;20061=100;20481=100;20461=100;20351=100;20271=100;20191=100;20111=100;22922=100;20031=100;22011=100;20791=100;23291=100;23341=100;22591=0;22071=100;21611=100;20001=100},2,{rmb=60},0,100,0,20990101,1,<1;250>,0,0,FALSE
31,,{5000=100},20,{rmb=120},0,100,0,20990101,3,<1;250>,0,0,FALSE
32,,{5000=100},10,{rmb=60},0,100,0,20990101,3,<1;250>,0,0,FALSE
51,,{606=100;621=100;618=100;615=100;612=100;609=100},10,{gold=20000},0,100,0,20990101,4,<1;250>,0,0,FALSE
52,,{606=100;621=100;618=100;615=100;612=100;609=100},10,{rmb=20},0,100,0,20990101,4,<1;250>,0,0,FALSE
