变量名,gemQualitySeqID,qualityNum,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,attrType6,attrNum6
默认值,1,100,0,,0,,0,,0,,0,,0,
ID,卡牌索引,指数点,属性类型1,属性数值1,属性类型2,属性数值2,属性类型3,属性数值3,属性类型4,属性数值4,属性类型5,属性数值5,属性类型6,属性数值6
1,1,100,1,1%,0,,0,,0,,0,,0,
2,1,200,7,1%,8,1%,0,,0,,0,,0,
3,1,300,1,1%,13,1%,7,1%,9,1%,8,1%,10,1%
4,1,400,1,2%,0,,0,,0,,0,,0,
5,1,500,7,2%,8,2%,0,,0,,0,,0,
6,1,600,1,2%,13,2%,7,2%,9,2%,8,2%,10,2%
7,1,750,1,2%,0,,0,,0,,0,,0,
8,1,900,7,2%,8,2%,0,,0,,0,,0,
9,1,1050,1,2%,13,2%,7,2%,9,2%,8,2%,10,2%
10,1,1200,1,3%,0,,0,,0,,0,,0,
11,1,1350,7,3%,8,3%,0,,0,,0,,0,
12,1,1500,1,3%,13,3%,7,3%,9,3%,8,3%,10,3%
13,1,1650,1,4%,0,,0,,0,,0,,0,
14,1,1800,7,4%,8,4%,0,,0,,0,,0,
15,1,1950,1,4%,13,4%,7,4%,9,4%,8,4%,10,4%
16,1,2200,1,5%,0,,0,,0,,0,,0,
17,1,2450,7,5%,8,5%,0,,0,,0,,0,
18,1,2700,1,5%,13,5%,7,5%,9,5%,8,5%,10,5%
19,1,2950,1,5%,0,,0,,0,,0,,0,
20,1,3200,7,5%,8,5%,0,,0,,0,,0,
21,1,3450,1,6%,0,,0,,0,,0,,0,
22,1,3700,7,6%,8,6%,0,,0,,0,,0,
23,1,3950,1,6%,13,6%,7,6%,9,6%,8,6%,10,6%
24,1,4200,1,6%,0,,0,,0,,0,,0,
25,1,4450,7,6%,8,6%,0,,0,,0,,0,
26,1,4700,1,7%,0,,0,,0,,0,,0,
27,1,4950,7,7%,8,7%,0,,0,,0,,0,
28,1,5200,1,7%,13,7%,7,7%,9,7%,8,7%,10,7%
29,1,5450,1,7%,0,,0,,0,,0,,0,
30,1,5700,7,7%,8,7%,0,,0,,0,,0,
31,1,5950,1,8%,0,,0,,0,,0,,0,
32,1,6200,7,8%,8,8%,0,,0,,0,,0,
33,1,6450,1,8%,13,8%,7,8%,9,8%,8,8%,10,8%
34,1,6700,1,8%,0,,0,,0,,0,,0,
35,1,6950,7,8%,8,8%,0,,0,,0,,0,
36,1,7200,1,9%,0,,0,,0,,0,,0,
37,1,7450,7,9%,8,9%,0,,0,,0,,0,
38,1,7700,1,9%,13,9%,7,9%,9,9%,8,9%,10,9%
39,1,7950,1,9%,0,,0,,0,,0,,0,
40,1,8200,7,9%,8,9%,0,,0,,0,,0,
41,1,8450,1,10%,0,,0,,0,,0,,0,
42,1,8700,7,10%,8,10%,0,,0,,0,,0,
43,1,8950,1,10%,13,10%,7,10%,9,10%,8,10%,10,10%
44,1,9200,1,10%,0,,0,,0,,0,,0,
45,1,9450,7,10%,8,10%,0,,0,,0,,0,
46,2,100,1,1%,0,,0,,0,,0,,0,
47,2,200,7,1%,8,1%,0,,0,,0,,0,
48,2,300,1,1%,13,1%,7,1%,9,1%,8,1%,10,1%
49,2,400,1,2%,0,,0,,0,,0,,0,
50,2,500,7,2%,8,2%,0,,0,,0,,0,
51,2,600,1,2%,13,2%,7,2%,9,2%,8,2%,10,2%
52,2,750,1,2%,0,,0,,0,,0,,0,
53,2,900,7,2%,8,2%,0,,0,,0,,0,
54,2,1050,1,2%,13,2%,7,2%,9,2%,8,2%,10,2%
55,2,1200,1,3%,0,,0,,0,,0,,0,
56,2,1350,7,3%,8,3%,0,,0,,0,,0,
