变量名,_beizhu,npc,gymID,hardDegree,weight,deployType,deployNatureLimit,deployCardNumLimit,deployNum,lastJump,historyJump,_beizhu1,weatherDesc,weatherDesc_tw,weatherDesc_en,weatherDesc_vn,weatherDesc_kr,weatherDesc_pt,weatherDesc_th,palce,palce_tw,palce_en,palce_vn,palce_kr,palce_ar,palce_de,palce_fr,palce_it,palce_pt,palce_ru,palce_th,placeDesc,placeDesc_tw,placeDesc_en,placeDesc_vn,placeDesc_kr,placeDesc_ar,placeDesc_de,placeDesc_fr,placeDesc_it,placeDesc_pt,placeDesc_ru,placeDesc_th,specialEff,specialEffDesc,specialEffDesc_tw,specialEffDesc_en,specialEffDesc_vn,specialEffDesc_kr,specialEffDesc_pt,specialEffDesc_th
默认值,,FALSE,,,0,1,<>,6,1,0,0,,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",<>,"""""","""""","""""","""""","""""","""""",""""""
ID,备注,是否NPC,道馆ID,难度(NPC不配),权重(NPC不配),上阵类型 1=常规 2=单挑 3=车轮,上阵限制属性(NPC不配),上阵限制数量,上阵队伍数量（只对车轮）,上次记录可跳过,历史记录可跳过,是否配置完,天气描述,描述,描述,描述,描述,描述,描述,场地,描述,描述,描述,描述,描述,描述,描述,描述,描述,描述,描述,场地描述,描述,描述,描述,描述,描述,描述,描述,描述,描述,描述,描述,specialEff<<<nauture;nauture>;属性;+/-;val>>,特殊效果描述补充,描述,描述,描述,描述,描述,描述
80001,岩石送分,,1,1,1,1,,,,,,1,【沙暴】（岩石系精灵物防提升，所有非地面和岩石精灵每个大回合结束时有几率被【致盲】）,【沙暴】（巖石系精靈物防提升，所有非地面和巖石精靈每個大回合結束時有幾率被【致盲】）,[Sandstorm] (Increase P.DEF of Rock type Pokémon. All non-ground and rock Pokémon have chance to be [Blinded] at the end of each round),[Sandstorm] (Increase P.DEF of Rock type Pokémon. All non-ground and rock Pokémon have chance to be [Blinded] at the end of each round),"[모래바람] (바위 타입 포켓몬 물리 방어력 증가, 땅 타입과 바위 타입 아닌 포켓몬 라운드 종료마다 일정 확률로 [실명] 상태로 된다)",[Tempestade de Areia] (Aumenta P.DEF de Pokémon do tipo Pedra. Todos os Pokémon não terrestres e de pedra têm chance de ficar [Cegados] no final de cada rodada),[พายุทราย] (เพิ่มพลังป้องกันกายภาพให้กับโปเกมอนประเภทหิน โปเกมอนที่ไม่ใช่ดินและหินทั้งหมดมีโอกาสที่จะ [ตาบอด] ในตอนท้ายของแต่ละรอบ),,,,,,,,,,,,,,,,,,,,,,,,,<<<13>;1;0;5%>;<<13>;9;0;50%>>,,,,,,,
80002,地面送分,,1,1,1,1,,,,,,2,【沙暴】（岩石系精灵物防提升，所有非地面和岩石精灵每个大回合结束时有几率被【致盲】）,【沙暴】（巖石系精靈物防提升，所有非地面和巖石精靈每個大回合結束時有幾率被【致盲】）,[Sandstorm] (Increase P.DEF of Rock type Pokémon. All non-ground and rock Pokémon have chance to be [Blinded] at the end of each round),[Sandstorm] (Increase P.DEF of Rock type Pokémon. All non-ground and rock Pokémon have chance to be [Blinded] at the end of each round),"[모래바람] (바위 타입 포켓몬 물리 방어력 증가, 땅 타입과 바위 타입 아닌 포켓몬 라운드 종료마다 일정 확률로 [실명] 상태로 된다)",[Tempestade de Areia] (Aumenta P.DEF de Pokémon do tipo Pedra. Todos os Pokémon não terrestres e de pedra têm chance de ficar [Cegados] no final de cada rodada),[พายุทราย] (เพิ่มพลังป้องกันกายภาพให้กับโปเกมอนประเภทหิน โปเกมอนที่ไม่ใช่ดินและหินทั้งหมดมีโอกาสที่จะ [ตาบอด] ในตอนท้ายของแต่ละรอบ),,,,,,,,,,,,,,,,,,,,,,,,,<<<9>;1;0;5%>;<<9>;9;0;5%>>,,,,,,,
80003,大岩蛇小拳石,,1,1,1,1,,,,,,5,【沙暴】（岩石系精灵物防提升，所有非地面和岩石精灵每个大回合结束时有几率被【致盲】）,【沙暴】（巖石系精靈物防提升，所有非地面和巖石精靈每個大回合結束時有幾率被【致盲】）,[Sandstorm] (Increase P.DEF of Rock type Pokémon. All non-ground and rock Pokémon have chance to be [Blinded] at the end of each round),[Sandstorm] (Increase P.DEF of Rock type Pokémon. All non-ground and rock Pokémon have chance to be [Blinded] at the end of each round),"[모래바람] (바위 타입 포켓몬 물리 방어력 증가, 땅 타입과 바위 타입 아닌 포켓몬 라운드 종료마다 일정 확률로 [실명] 상태로 된다)",[Tempestade de Areia] (Aumenta P.DEF de Pokémon do tipo Pedra. Todos os Pokémon não terrestres e de pedra têm chance de ficar [Cegados] no final de cada rodada),[พายุทราย] (เพิ่มพลังป้องกันกายภาพให้กับโปเกมอนประเภทหิน โปเกมอนที่ไม่ใช่ดินและหินทั้งหมดมีโอกาสที่จะ [ตาบอด] ในตอนท้ายของแต่ละรอบ),,,,,,,,,,,,,,,,,,,,,,,,,<<<13>;1;0;5%>;<<13>;9;0;10%>>,,,,,,,
80004,,,1,1,0,,,,,,,,所有非冰系精灵每个大回合结束时受到一定冰元素伤害，并有10%概率【冰冻】2回合,所有非冰系精靈每個大回合結束時受到一定冰元素傷害，並有10%概率【冰凍】2回合,"All non-Ice type Pokémon suffer a certain amount of Ice damage at the end of each round, and have 10% chance to be in [Frozen] for 2 rounds","All non-Ice type Pokémon suffer a certain amount of Ice damage at the end of each round, and have 10% chance to be in [Frozen] for 2 rounds",얼음 타입 아닌 포켓몬 라운드 종료마다 일정한 얼음 원소 피해를 받고 1%의 확률로 2턴 간 [얼음] 상태로 된다,Todos os Pokémon que não sejam do tipo Gelo sofrem uma certa quantidade de dano de Gelo no final de cada rodada e têm 10% de chance de ficar em [Congelado] por 2 rodadas,โปเกมอนที่ไม่ใช่ประเภทน้ำแข็งทั้งหมดจะได้รับความเสียหายจากน้ำแข็งจำนวนหนึ่งเมื่อจบแต่ละรอบ และมีโอกาส 10% ที่จะอยู่ในสถานะ [แช่แข็ง] เป็นเวลา 2 รอบ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80005,,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80006,,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80011,岩杂,,1,2,1,1,,,,,,1,【沙暴】（岩石系精灵物防提升，所有非地面和岩石精灵每个大回合结束时有几率被【致盲】）,【沙暴】（巖石系精靈物防提升，所有非地面和巖石精靈每個大回合結束時有幾率被【致盲】）,[Sandstorm] (Increase P.DEF of Rock type Pokémon. All non-ground and rock Pokémon have chance to be [Blinded] at the end of each round),[Sandstorm] (Increase P.DEF of Rock type Pokémon. All non-ground and rock Pokémon have chance to be [Blinded] at the end of each round),"[모래바람] (바위 타입 포켓몬 물리 방어력 증가, 땅 타입과 바위 타입 아닌 포켓몬 라운드 종료마다 일정 확률로 [실명] 상태로 된다)",[Tempestade de Areia] (Aumenta P.DEF de Pokémon do tipo Pedra. Todos os Pokémon não terrestres e de pedra têm chance de ficar [Cegados] no final de cada rodada),[พายุทราย] (เพิ่มพลังป้องกันกายภาพให้กับโปเกมอนประเภทหิน โปเกมอนที่ไม่ใช่ดินและหินทั้งหมดมีโอกาสที่จะ [ตาบอด] ในตอนท้ายของแต่ละรอบ),,,,,,,,,,,,,,,,,,,,,,,,,<<<9;13>;1;0;6%>;<<9;13>;17;0;500>>,,,,,,,
80012,打地鼠,,1,2,1,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<<<9>;1;0;6%>;<<9>;14;0;1000>>,\n#L10#地鼠比较怕生，人多了不太敢出来#L0#,\n#L10#地鼠比較怕生，人多了不太敢出來#L0#,\n#L10# Diglett are scared of too many people and don’t dare to come out#L0#,404,\n#L10#다그다는 낯을 가려서 사람이 많을 때 잘 못 나온다 #L0#,\n#L10# Os Diglett têm medo de muitas pessoas e não ousam sair#L0#,\n#L10# Diglett กลัวคนมากเกินไปและไม่กล้าที่จะออกมา#L0#
