变量名,cost1,cost2,cost3,cost4,cost5,cost6,cost7,cost8
默认值,{},{},{},{},{},{},{},{}
等级,消耗1,消耗2,消耗3,消耗4,消耗5,消耗6,消耗7,消耗8
0,{gold=300000;152=20},{gold=300000;152=20},{gold=300000;152=20},{gold=300000;152=20},{gold=300000;152=20},{gold=300000;152=20},{gold=300000;152=20},{gold=300000;152=20}
1,{gold=500000;152=40},{gold=500000;152=40},{gold=500000;152=40},{gold=500000;152=40},{gold=500000;152=40},{gold=500000;152=40},{gold=500000;152=40},{gold=500000;152=40}
2,{gold=700000;152=60},{gold=700000;152=60},{gold=700000;152=60},{gold=700000;152=60},{gold=700000;152=60},{gold=700000;152=60},{gold=700000;152=60},{gold=700000;152=60}
3,{gold=900000;152=80},{gold=900000;152=80},{gold=900000;152=80},{gold=900000;152=80},{gold=900000;152=80},{gold=900000;152=80},{gold=900000;152=80},{gold=900000;152=80}
4,{gold=1100000;152=100},{gold=1100000;152=100},{gold=1100000;152=100},{gold=1100000;152=100},{gold=1100000;152=100},{gold=1100000;152=100},{gold=1100000;152=100},{gold=1100000;152=100}
5,{gold=1300000;152=120},{gold=1300000;152=120},{gold=1300000;152=120},{gold=1300000;152=120},{gold=1300000;152=120},{gold=1300000;152=120},{gold=1300000;152=120},{gold=1300000;152=120}
6,{gold=1500000;152=140},{gold=1500000;152=140},{gold=1500000;152=140},{gold=1500000;152=140},{gold=1500000;152=140},{gold=1500000;152=140},{gold=1500000;152=140},{gold=1500000;152=140}
7,{gold=1700000;152=160},{gold=1700000;152=160},{gold=1700000;152=160},{gold=1700000;152=160},{gold=1700000;152=160},{gold=1700000;152=160},{gold=1700000;152=160},{gold=1700000;152=160}
8,{gold=1900000;152=180},{gold=1900000;152=180},{gold=1900000;152=180},{gold=1900000;152=180},{gold=1900000;152=180},{gold=1900000;152=180},{gold=1900000;152=180},{gold=1900000;152=180}
9,{gold=2100000;152=200},{gold=2100000;152=200},{gold=2100000;152=200},{gold=2100000;152=200},{gold=2100000;152=200},{gold=2100000;152=200},{gold=2100000;152=200},{gold=2100000;152=200}
10,{gold=2400000;152=220},{gold=2400000;152=220},{gold=2400000;152=220},{gold=2400000;152=220},{gold=2400000;152=220},{gold=2400000;152=220},{gold=2400000;152=220},{gold=2400000;152=220}
11,{gold=2700000;152=240},{gold=2700000;152=240},{gold=2700000;152=240},{gold=2700000;152=240},{gold=2700000;152=240},{gold=2700000;152=240},{gold=2700000;152=240},{gold=2700000;152=240}
12,{gold=3000000;152=260},{gold=3000000;152=260},{gold=3000000;152=260},{gold=3000000;152=260},{gold=3000000;152=260},{gold=3000000;152=260},{gold=3000000;152=260},{gold=3000000;152=260}
13,{gold=3300000;152=280},{gold=3300000;152=280},{gold=3300000;152=280},{gold=3300000;152=280},{gold=3300000;152=280},{gold=3300000;152=280},{gold=3300000;152=280},{gold=3300000;152=280}
14,{gold=3600000;152=300},{gold=3600000;152=300},{gold=3600000;152=300},{gold=3600000;152=300},{gold=3600000;152=300},{gold=3600000;152=300},{gold=3600000;152=300},{gold=3600000;152=300}
15,{gold=3900000;152=320},{gold=3900000;152=320},{gold=3900000;152=320},{gold=3900000;152=320},{gold=3900000;152=320},{gold=3900000;152=320},{gold=3900000;152=320},{gold=3900000;152=320}
16,{gold=4200000;152=340},{gold=4200000;152=340},{gold=4200000;152=340},{gold=4200000;152=340},{gold=4200000;152=340},{gold=4200000;152=340},{gold=4200000;152=340},{gold=4200000;152=340}
17,{gold=4500000;152=360},{gold=4500000;152=360},{gold=4500000;152=360},{gold=4500000;152=360},{gold=4500000;152=360},{gold=4500000;152=360},{gold=4500000;152=360},{gold=4500000;152=360}
18,{gold=4800000;152=380},{gold=4800000;152=380},{gold=4800000;152=380},{gold=4800000;152=380},{gold=4800000;152=380},{gold=4800000;152=380},{gold=4800000;152=380},{gold=4800000;152=380}
