变量名,key,_beizhu,sortValue,waitTime,isActive
默认值,"""""",,1,20,0
ID,触发key（唯一）,备注,优先级(大的优先),有效时长（min）,是否激活
1,drawCard,,5,20,1
2,limitDrawCardUp,,1,20,1
3,drawHoldItem,,4,20,1
4,capture,,3,20,1
5,pvpTopRank,,8,20,1
6,limitDrawCard,,6,20,1
7,limitBox,,7,20,1
8,randomTowerPass,,9,20,1
9,endlessTowerPass,,10,20,1
10,cardStar,,11,20,1
11,fragCombCard,,12,20,1
12,pvpTopRankLast,,12,20,1
13,craftTopRank,,12,20,1
14,cardInLimitCard,,12,20,1
15,crossArenaTopRank,,12,20,1
16,crossArenaTopHistoryRefresh,,12,20,1
17,crossMineTopHistoryRefresh,,12,20,1
18,serverLog,,13,20,1
19,groupDrawCardUp,,2,20,1
