变量名,_beizhu,cardID,canDevelop,canDevelop2,heightAndWeight,isOpen,languages,attrType1,attrValue1,attrType2,attrValue2,pokedexs
默认值,"""""",0,FALSE,FALSE,<0;0>,TRUE,<cn;tw;en;vn;th;kr;pt>,,"""""",,"""""",""""""
ID,备注,卡牌id,图鉴默认激活开关,图鉴前置形态自动激活开关,身高体重,当前版本是否开放,语言区域,属性加成类型1,属性加成数值1,属性加成类型2,属性加成数值2,图鉴顺序
1,妙蛙种子,1,FALSE,FALSE,<0.7;6.9>,TRUE,,1,0.13%,,,1
2,妙蛙草,2,FALSE,FALSE,<1;13>,TRUE,,1,0.13%,,,2
3,妙蛙花,3,FALSE,FALSE,<2;100>,TRUE,,1,0.13%,,,3
4,超级妙蛙花,4,FALSE,FALSE,<2;100>,TRUE,,1,0.13%,,,4
11,小火龙,11,FALSE,FALSE,<0.6;8.5>,TRUE,,8,0.20%,,,5
12,火恐龙,12,FALSE,FALSE,<1.1;19>,TRUE,,8,0.20%,,,6
13,喷火龙,13,FALSE,FALSE,<1.7;90.5>,TRUE,,8,0.20%,,,7
14,超级喷火龙X,14,FALSE,FALSE,<1.7;90.5>,TRUE,,8,0.20%,,,8
15,超级喷火龙Y,15,FALSE,FALSE,<1.7;90.5>,TRUE,,8,0.20%,,,9
21,杰尼龟,21,FALSE,FALSE,<0.5;9>,TRUE,,10,0.20%,,,10
22,卡咪龟,22,FALSE,FALSE,<1;22.5>,TRUE,,10,0.20%,,,11
23,水箭龟,23,FALSE,FALSE,<1.6;85.5>,TRUE,,10,0.20%,,,12
24,超级水箭龟,24,FALSE,FALSE,<1.6;85.5>,TRUE,,10,0.20%,,,13
31,绿毛虫,31,FALSE,FALSE,<0.3;2.9>,TRUE,,1,0.15%,,,14
33,巴大蝶,33,FALSE,FALSE,<1.1;32>,TRUE,,1,0.15%,,,15
41,大针蜂,41,FALSE,FALSE,<1;29.5>,TRUE,,7,0.40%,,,16
44,超级大针蜂,44,FALSE,FALSE,<1;29.5>,TRUE,,7,0.40%,,,17
51,波波,51,FALSE,FALSE,<0.3;1.8>,TRUE,,7,0.20%,,,18
52,比比鸟,52,FALSE,FALSE,<1.1;30>,TRUE,,7,0.20%,,,19
53,大比鸟,53,FALSE,FALSE,<1.5;39.5>,TRUE,,7,0.20%,,,20
54,超级大比鸟,54,FALSE,FALSE,<0.3;4>,TRUE,,13,1.00%,,,21
61,小拉达,61,FALSE,FALSE,<0.3;3.5>,TRUE,,7,0.20%,,,22
62,拉达,62,FALSE,FALSE,<0.7;18.5>,TRUE,,7,0.20%,,,23
71,烈雀,71,FALSE,FALSE,<0.3;2>,TRUE,,10,0.20%,,,24
72,大嘴雀,72,FALSE,FALSE,<1.2;38>,TRUE,,10,0.20%,,,25
81,阿柏蛇,81,FALSE,FALSE,<2;6.9>,TRUE,,9,0.20%,,,26
82,阿柏怪,82,FALSE,FALSE,<3.5;65>,TRUE,,9,0.20%,,,27
91,皮丘,91,FALSE,FALSE,<0.3;2>,TRUE,,13,0.20%,,,28
92,皮卡丘,92,FALSE,TRUE,<0.4;6>,TRUE,,13,0.20%,,,29
93,雷丘,93,FALSE,FALSE,<0.8;30>,TRUE,,13,0.20%,,,30
101,穿山鼠,101,FALSE,FALSE,<0.6;12>,TRUE,,10,0.20%,,,31
102,穿山王,102,FALSE,FALSE,<1;29.5>,TRUE,,10,0.20%,,,32
111,尼多兰,111,FALSE,FALSE,<0.4;7>,TRUE,,8,0.13%,,,33
112,尼多娜,112,FALSE,FALSE,<0.8;20>,TRUE,,8,0.13%,,,34
113,尼多后,113,FALSE,FALSE,<1.3;60>,TRUE,,8,0.13%,,,35
121,尼多朗,121,FALSE,FALSE,<0.5;9>,TRUE,,9,0.13%,,,36
122,尼多力诺,122,FALSE,FALSE,<0.9;19.5>,TRUE,,9,0.13%,,,37
123,尼多王,123,FALSE,FALSE,<1.4;62>,TRUE,,9,0.13%,,,38
131,皮宝宝,131,FALSE,FALSE,<0.3;3>,TRUE,,8,0.20%,,,39
132,皮皮,132,FALSE,FALSE,<0.6;7.5>,TRUE,,8,0.20%,,,40
133,皮可西,133,FALSE,FALSE,<1.3;40>,TRUE,,8,0.20%,,,41
