变量名,name,name_tw,name_en,name_kr,name_vn,name_pt,name_th,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,targetType,targetArg,targetArg2,attrNatureType,attrType,attrValue,languages
默认值,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",1,,,0,,,<cn;tw;en;vn;th;kr;pt>
ID,名字,名字,名字,名字_韩,名字_越,名字_葡,名字_泰,描述,描述,描述,描述_越南,描述_韩,描述_韩,描述_韩,目标类型(1-总数量;2-单属性数量),目标参数（目标数量）,目标参数2（目标元素属性）,自然属性卡牌加成(0表示全部),加成属性type,加成属性值,语言区域
1,收集5全体精灵,收集5全體精靈,Collect 5 of all Pokémons,전체 포켓몬 5마리 수집,Collect 5 of all Pokémons,Collect 5 of all Pokémons,สะสมโปเกมอนทั้งหมด 5 ตัว,#C0xFF5B545B#全体精灵生命提升 #C0xFF60C456#350,#C0xFF5B545B#全體精靈生命提升 #C0xFF60C456#350,#C0xFF5B545B#HP of all Pokémons increases by #C0xFF60C456#350,#C0xFF5B545B# Toàn bộ Pokémon - HP tăng #C0xFF60C456#350,#C0xFF5B545B#전체 포켓몬 HP 증가: #C0xFF60C456#350,#C0xFF5B545B#HP of all Pokémons increases by #C0xFF60C456#350,#C0xFF5B545B#HP ของโปเกมอนทั้งหมดเพิ่มขึ้น #C0xFF60C456#350,1,5,,0,1,350,
2,收集10全体精灵,收集10全體精靈,Collect 10 of all Pokémons,전체 포켓몬 10마리 수집,Collect 10 of all Pokémons,Collect 10 of all Pokémons,สะสมโปเกมอนทั้งหมด 10 ตัว,#C0xFF5B545B#全体精灵物防提升 #C0xFF60C456#120,#C0xFF5B545B#全體精靈物防提升 #C0xFF60C456#120,#C0xFF5B545B#P.DEF of all Pokémons increases by #C0xFF60C456#120,#C0xFF5B545B# Toàn bộ Pokémon - Vật Phòng tăng #C0xFF60C456#120,#C0xFF5B545B#전체 포켓몬 방어 증가: #C0xFF60C456#120,#C0xFF5B545B#P.DEF of all Pokémons increases by #C0xFF60C456#120,#C0xFF5B545B#P.DEF ของโปเกมอนทั้งหมดเพิ่มขึ้น #C0xFF60C456#120,1,10,,0,9,120,
3,收集20全体精灵,收集20全體精靈,Collect 20 of all Pokémons,전체 포켓몬 20마리 수집,Collect 20 of all Pokémons,Collect 20 of all Pokémons,สะสมโปเกมอนทั้งหมด 20 ตัว,#C0xFF5B545B#全体精灵特防提升 #C0xFF60C456#150,#C0xFF5B545B#全體精靈特防提升 #C0xFF60C456#150,#C0xFF5B545B#SP.DEF of all Pokémons increases#C0xFF60C456#150,#C0xFF5B545B# Toàn bộ Pokémon - Đặc Phòng tăng #C0xFF60C456#150,#C0xFF5B545B#전체 포켓몬 특수방어 증가: #C0xFF60C456#150,#C0xFF5B545B#SP.DEF of all Pokémons increases#C0xFF60C456#150,#C0xFF5B545B#SP.DEF ของโปเกมอนทั้งหมดเพิ่มขึ้น #C0xFF60C456#150,1,20,,0,10,150,
4,收集30全体精灵,收集30全體精靈,Collect 30 of all Pokémons,전체 포켓몬 30마리 수집,Collect 30 of all Pokémons,Collect 30 of all Pokémons,สะสมโปเกมอนทั้งหมด 30 ตัว,#C0xFF5B545B#全体精灵暴击抗性提升#C0xFF60C456#3%,#C0xFF5B545B#全體精靈暴擊抗性提升#C0xFF60C456#3%,#C0xFF5B545B#Critical hit resistance of all Pokémons increases by #C0xFF60C456#3%,#C0xFF5B545B# Toàn bộ Pokémon - Kháng Bạo tăng #C0xFF60C456#3%,#C0xFF5B545B#전체 포켓몬 치명타 내성 증가: #C0xFF60C456#3%,#C0xFF5B545B#Critical hit resistance of all Pokémons increases by #C0xFF60C456#3%,#C0xFF5B545B#ความต้านทานคริติคอลของโปเกมอนทั้งหมดเพิ่มขึ้น #C0xFF60C456#3%,1,30,,0,16,300,
5,收集50全体精灵,收集50全體精靈,Collect 50 of all Pokémons,전체 포켓몬 50마리 수집,Collect 50 of all Pokémons,Collect 50 of all Pokémons,สะสมโปเกมอนทั้งหมด 50 ตัว,#C0xFF5B545B#全体精灵物防提升#C0xFF60C456#3%,#C0xFF5B545B#全體精靈物防提升#C0xFF60C456#3%,#C0xFF5B545B#P.DEF of all Pokémons increases by #C0xFF60C456#3%,#C0xFF5B545B# Toàn bộ Pokémon - Vật Phòng tăng #C0xFF60C456#3%,#C0xFF5B545B#전체 포켓몬 방어 증가: #C0xFF60C456#3%,#C0xFF5B545B#P.DEF of all Pokémons increases by #C0xFF60C456#3%,#C0xFF5B545B#P.DEF ของโปเกมอนทั้งหมดเพิ่มขึ้น #C0xFF60C456#3%,1,50,,0,9,300,
6,收集70全体精灵,收集70全體精靈,Collect 70 of all Pokémons,전체 포켓몬 70마리 수집,Collect 70 of all Pokémons,Collect 70 of all Pokémons,สะสมโปเกมอนทั้งหมด 70 ตัว,#C0xFF5B545B#全体精灵特防提升#C0xFF60C456#3%,#C0xFF5B545B#全體精靈特防提升#C0xFF60C456#3%,#C0xFF5B545B#SP.DEF of all Pokémons increases by #C0xFF60C456#3%,#C0xFF5B545B# Toàn bộ Pokémon - Đặc Phòng tăng #C0xFF60C456#3%,#C0xFF5B545B#전체 포켓몬 특수방어 증가: #C0xFF60C456#3%,#C0xFF5B545B#SP.DEF of all Pokémons increases by #C0xFF60C456#3%,#C0xFF5B545B#SP.DEF ของโปเกมอนทั้งหมดเพิ่มขึ้น #C0xFF60C456#3%,1,70,,0,10,300,
7,收集100全体精灵,收集100全體精靈,Collect 100 of all Pokémons,전체 포켓몬 100마리 수집,Collect 100 of all Pokémons,Collect 100 of all Pokémons,สะสมโปเกมอนทั้งหมด 100 ตัว,#C0xFF5B545B#全体精灵暴击抗性提升#C0xFF60C456#3%,#C0xFF5B545B#全體精靈暴擊抗性提升#C0xFF60C456#3%,#C0xFF5B545B#Critical hit resistance of all Pokémons increases by #C0xFF60C456#3%,#C0xFF5B545B# Toàn bộ Pokémon - Kháng Bạo tăng #C0xFF60C456#3%,#C0xFF5B545B#전체 포켓몬 치명타 내성 증가: #C0xFF60C456#3%,#C0xFF5B545B#Critical hit resistance of all Pokémons increases by #C0xFF60C456#3%,#C0xFF5B545B#ความต้านทานคริติคอลของโปเกมอนทั้งหมดเพิ่มขึ้น #C0xFF60C456#3%,1,100,,0,16,300,
8,收集150全体精灵,收集150全體精靈,Collect 150 of all Pokémons,전체 포켓몬 150마리 수집,Collect 150 of all Pokémons,Collect 150 of all Pokémons,สะสมโปเกมอนทั้งหมด 150 ตัว,#C0xFF5B545B#全体精灵物伤减免提升#C0xFF60C456#3%,#C0xFF5B545B#全體精靈物傷減免提升#C0xFF60C456#3%,#C0xFF5B545B#P.ATK of all Pokémons increases by #C0xFF60C456#3%,,#C0xFF5B545B#전체 포켓몬 피해감소 증가: #C0xFF60C456#3%,#C0xFF5B545B#P.ATK of all Pokémons increases by #C0xFF60C456#3%,#C0xFF5B545B#P.ATK ของโปเกมอนทั้งหมดเพิ่มขึ้น #C0xFF60C456#3%,1,150,,0,33,300,
9,收集200全体精灵,收集200全體精靈,Collect 200 of all Pokémons,전체 포켓몬 200마리 수집,Collect 200 of all Pokémons,Collect 200 of all Pokémons,สะสมโปเกมอนทั้งหมด 200 ตัว,#C0xFF5B545B#全体精灵特伤减免提升#C0xFF60C456#3%,#C0xFF5B545B#全體精靈特傷減免提升#C0xFF60C456#3%,#C0xFF5B545B#SP.ATK of all Pokémons increases by #C0xFF60C456#3%,,#C0xFF5B545B#전체 포켓몬 특수피해감소 증가: #C0xFF60C456#3%,#C0xFF5B545B#SP.ATK of all Pokémons increases by #C0xFF60C456#3%,#C0xFF5B545B#SP.ATK ของโปเกมอนทั้งหมดเพิ่มขึ้น #C0xFF60C456#3%,1,200,,0,35,300,
10,收集3全体精灵,收集3全體精靈,Collect 3 of all Pokémons,전체 포켓몬 3마리 수집,Collect 3 of all Pokémons,Collect 3 of all Pokémons,สะสมโปเกมอนทั้งหมด 3 ตัว,#C0xFF5B545B#全体精灵一般系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈一般系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Normal-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Thường tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 노말 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Normal-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทปกติทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,3,1,0,36,100,
11,收集6全体精灵,收集6全體精靈,Collect 6 of all Pokémons,전체 포켓몬 6마리 수집,Collect 6 of all Pokémons,Collect 6 of all Pokémons,สะสมโปเกมอนทั้งหมด 6 ตัว,#C0xFF5B545B#全体精灵一般系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈一般系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Normal-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Thường tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 노말 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Normal-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทปกติทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,6,1,0,36,100,
12,收集12全体精灵,收集12全體精靈,Collect 12 of all Pokémons,전체 포켓몬 12마리 수집,Collect 12 of all Pokémons,Collect 12 of all Pokémons,สะสมโปเกมอนทั้งหมด 12 ตัว,#C0xFF5B545B#全体精灵一般系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈一般系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Normal-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Thường tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 노말 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Normal-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทปกติทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,12,1,0,36,100,
13,收集18全体精灵,收集18全體精靈,Collect 18 of all Pokémons,전체 포켓몬 18마리 수집,Collect 18 of all Pokémons,Collect 18 of all Pokémons,สะสมโปเกมอนทั้งหมด 18 ตัว,#C0xFF5B545B#全体精灵一般系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈一般系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Normal-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Thường tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 노말 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Normal-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทปกติทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,18,1,0,36,100,
14,收集3全体精灵,收集3全體精靈,Collect 3 of all Pokémons,전체 포켓몬 3마리 수집,Collect 3 of all Pokémons,Collect 3 of all Pokémons,สะสมโปเกมอนทั้งหมด 3 ตัว,#C0xFF5B545B#全体精灵火系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈火系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fire-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Lửa tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 불꽃 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fire-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทไฟทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,3,2,0,37,100,
15,收集6全体精灵,收集6全體精靈,Collect 6 of all Pokémons,전체 포켓몬 6마리 수집,Collect 6 of all Pokémons,Collect 6 of all Pokémons,สะสมโปเกมอนทั้งหมด 6 ตัว,#C0xFF5B545B#全体精灵火系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈火系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fire-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Lửa tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 불꽃 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fire-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทไฟทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,6,2,0,37,100,
