变量名,range,periodAward,version
默认值,,{},0
ID,区间,结算奖励,奖励版本
1,<1;2>,{rmb=6000;coin1=1800;gold=500000},0
2,<2;3>,{rmb=4500;coin1=1450;gold=450000},0
3,<3;4>,{rmb=3000;coin1=1200;gold=400000},0
4,<4;5>,{rmb=1600;coin1=1000;gold=350000},0
5,<5;6>,{rmb=1500;coin1=750;gold=300000},0
6,<6;7>,{rmb=1400;coin1=720;gold=250000},0
7,<7;8>,{rmb=1300;coin1=690;gold=230000},0
8,<8;9>,{rmb=1200;coin1=660;gold=65000},0
9,<9;10>,{rmb=1100;coin1=630;gold=60000},0
10,<10;11>,{rmb=1000;coin1=600;gold=55000},0
11,<11;21>,{rmb=900;coin1=550;gold=50000},0
12,<21;31>,{rmb=800;coin1=510;gold=45000},0
13,<31;41>,{rmb=700;coin1=490;gold=40000},0
14,<41;51>,{rmb=600;coin1=460;gold=35000},0
15,<51;71>,{rmb=500;coin1=430;gold=30000},0
16,<71;101>,{rmb=400;coin1=400;gold=28000},0
17,<101;201>,{rmb=400;coin1=380;gold=26000},0
18,<201;301>,{rmb=400;coin1=360;gold=24000},0
19,<301;401>,{rmb=400;coin1=340;gold=22000},0
20,<401;501>,{rmb=400;coin1=320;gold=20000},0
21,<501;601>,{rmb=400;coin1=300;gold=18000},0
22,<601;701>,{rmb=400;coin1=280;gold=17000},0
23,<701;801>,{rmb=400;coin1=260;gold=16000},0
24,<801;1001>,{rmb=300;coin1=240;gold=15000},0
25,<1001;3001>,{rmb=300;coin1=220;gold=14000},0
26,<3001;5001>,{rmb=300;coin1=200;gold=13000},0
27,<5001;10001>,{rmb=300;coin1=195;gold=12000},0
28,<10001;15001>,{rmb=300;coin1=190;gold=11000},0
29,<15001;100000>,{rmb=300;coin1=185;gold=10000},0
101,<1;2>,{9016=3;coin1=3000;521=15;124=30;rmb=3000},101
102,<2;3>,{9016=2;coin1=2800;521=14;124=28;rmb=2800},101
103,<3;4>,{9016=1;coin1=2600;521=13;124=26;rmb=2600},101
104,<4;5>,{9016=1;coin1=2400;521=12;124=24;rmb=2400},101
105,<5;6>,{coin1=2200;521=11;124=22;rmb=2200},101
106,<6;7>,{coin1=2000;521=10;124=20;rmb=2000},101
107,<7;8>,{coin1=1800;521=9;124=18;rmb=1800},101
108,<8;9>,{coin1=1600;521=9;124=16;rmb=1600},101
109,<9;10>,{coin1=1400;521=8;124=14;rmb=1400},101
110,<10;11>,{coin1=1200;521=8;124=12;rmb=1200},101
111,<11;21>,{coin1=1000;521=7;124=10;rmb=1000},101
112,<21;31>,{coin1=800;521=7;124=8;rmb=800},101
113,<31;41>,{coin1=600;521=6;124=6;rmb=600},101
114,<41;51>,{coin1=600;521=5;124=4;rmb=600},101
115,<51;71>,{coin1=600;521=4;124=2;rmb=600},101
116,<71;101>,{coin1=550;521=3;124=1;rmb=550},101
117,<101;201>,{rmb=120;coin1=530;gold=76000},101
118,<201;301>,{rmb=100;coin1=510;gold=74000},101
119,<301;401>,{rmb=90;coin1=490;gold=72000},101
120,<401;501>,{rmb=80;coin1=470;gold=70000},101
121,<501;601>,{rmb=75;coin1=450;gold=68000},101
122,<601;701>,{rmb=70;coin1=430;gold=67000},101
123,<701;801>,{rmb=65;coin1=410;gold=66000},101
124,<801;1001>,{rmb=60;coin1=390;gold=65000},101
125,<1001;3001>,{rmb=55;coin1=370;gold=64000},101
126,<3001;5001>,{rmb=50;coin1=350;gold=63000},101
127,<5001;10001>,{rmb=45;coin1=345;gold=62000},101
128,<10001;15001>,{rmb=40;coin1=340;gold=61000},101
129,<15001;100000>,{rmb=40;coin1=335;gold=60000},101
