变量名,_beizhu,itemMap,costMap,exchangeLimit,regainHour,beginDate,endDate,vipStart,levelRange,limitType,limitTimes,showUnable,languages
默认值,,{},{},-1,0,0,20990101,0,<1;150>,0,0,FALSE,<cn;tw;en;vn;th;kr;pt>
商店ID,备注,商品ID表(ID=数量),消耗积分,兑换次数(-1表示无限次兑换),次数恢复间隔,开始贩售时间,结束贩售时间,vip等级限制,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见,语言区域
31,,{21421=5},{coin1=1500},-1,0,0,20990101,0,<1;250>,0,0,FALSE,
32,,{20571=5},{coin1=1500},-1,0,0,20990101,0,<1;250>,0,0,FALSE,
33,,{20601=5},{coin1=1500},-1,0,0,20990101,0,<1;250>,0,0,FALSE,
34,,{23281=5},{coin1=900},-1,0,0,20990101,0,<250;250>,0,0,FALSE,
35,,{23291=5},{coin1=900},-1,0,0,20990101,0,<250;250>,0,0,FALSE,
36,,{20131=5},{coin1=900},-1,0,0,20990101,0,<250;250>,0,0,FALSE,
37,,{20021=5},{coin1=900},-1,0,0,20990101,0,<250;250>,0,0,FALSE,
41,,{20631=5},{coin1=1500},-1,0,0,20990101,0,<1;250>,0,0,FALSE,
42,,{20591=5},{coin1=1500},-1,0,0,20990101,0,<1;250>,0,0,FALSE,
43,,{21391=5},{coin1=1500},-1,0,0,20990101,0,<1;250>,0,0,FALSE,
51,,{12=10},{coin1=300},-1,0,0,20990101,0,<250;250>,0,0,FALSE,
52,,{13=10},{coin1=600},-1,0,0,20990101,0,<250;250>,0,0,FALSE,
53,,{14=10},{coin1=1000},-1,0,0,20990101,0,<250;250>,0,0,FALSE,
54,,{2103=3},{coin1=600},-1,0,0,20990101,0,<250;250>,0,0,FALSE,
55,,{514=30},{coin1=1000},-1,0,0,20990101,0,<250;250>,0,0,FALSE,
61,,{23281=5},{coin1=900},-1,0,0,20990101,0,<1;250>,0,0,FALSE,
62,,{23291=5},{coin1=900},-1,0,0,20990101,0,<1;250>,0,0,FALSE,
63,,{20131=5},{coin1=900},-1,0,0,20990101,0,<1;250>,0,0,FALSE,
64,,{20021=5},{coin1=900},-1,0,0,20990101,0,<1;250>,0,0,FALSE,
65,,{22891=5},{coin1=900},-1,0,0,20990101,0,<1;250>,0,0,FALSE,
66,,{22961=5},{coin1=900},-1,0,0,20990101,0,<1;250>,0,0,FALSE,
71,,{12=10},{coin1=300},-1,0,0,20990101,0,<1;250>,0,0,FALSE,
72,,{13=10},{coin1=600},-1,0,0,20990101,0,<1;250>,0,0,FALSE,
73,,{14=10},{coin1=1000},-1,0,0,20990101,0,<1;250>,0,0,FALSE,
74,,{2103=3},{coin1=600},-1,0,0,20990101,0,<1;250>,0,0,FALSE,
75,,{514=30},{coin1=1000},-1,0,0,20990101,0,<1;250>,0,0,FALSE,
80,,{29002=50},{coin1=18000},-1,0,0,20990101,0,<1;250>,3,1,FALSE,
101,,{2205=1},{coin1=20000},-1,0,0,20990101,0,<1;250>,4,1,FALSE,
