变量名,gateID,_beizhu,itemMap,count,probability,itemCount
默认值,,,{},1,0,1
掉落ID,关卡ID,掉落物品名称,随机掉落物品ID权值数量,掉落次数,掉落物品概率,掉落道具数量
1,10101,,{510=42.1053;11=42.1053;5000=15.7895},5,38,1
2,10102,,{510=42.1053;11=42.1053;5000=15.7895},5,38,1
3,10103,,{510=42.1053;11=42.1053;5000=15.7895},5,38,1
4,10104,,{510=42.1053;11=42.1053;5000=15.7895},5,38,1
5,10105,,{510=42.1053;11=42.1053;5000=15.7895},5,38,1
6,10201,,{510=42.1053;11=42.1053;5000=15.7895},5,38,1
7,10202,,{510=42.1053;11=42.1053;5000=15.7895},5,38,1
8,10203,,{510=42.1053;11=42.1053;5000=15.7895},5,38,1
9,10204,,{510=42.1053;11=42.1053;5000=15.7895},5,38,1
10,10205,,{510=42.1053;11=42.1053;5000=15.7895},5,38,1
11,10206,,{510=42.1053;11=42.1053;5000=15.7895},5,38,1
12,10301,,{510=42.1053;11=42.1053;5000=15.7895},5,38,1
13,10302,,{510=42.1053;11=42.1053;5000=15.7895},5,38,1
14,10303,,{510=42.1053;11=42.1053;5000=15.7895},5,38,1
15,10304,,{510=42.1053;11=42.1053;5000=15.7895},5,38,1
16,10305,,{510=42.1053;11=42.1053;5000=15.7895},5,38,1
17,10306,,{510=42.1053;11=42.1053;5000=15.7895},5,38,1
18,10307,,{510=42.1053;11=42.1053;5000=15.7895},5,38,1
19,10308,,{510=42.1053;11=42.1053;5000=15.7895},5,38,1
20,10401,,{510=42.1053;11=42.1053;5000=15.7895},5,38,1
21,10402,,{510=42.1053;11=42.1053;5000=15.7895},5,38,1
22,10403,,{510=42.1053;11=42.1053;5000=15.7895},5,38,1
23,10404,,{510=42.1053;11=42.1053;5000=15.7895},5,38,1
24,10405,,{510=42.1053;11=42.1053;5000=15.7895},5,38,1
25,10406,,{510=42.1053;11=42.1053;5000=15.7895},5,38,1
26,10407,,{510=42.1053;11=42.1053;5000=15.7895},5,38,1
27,10408,,{510=42.1053;11=42.1053;5000=15.7895},5,38,1
28,10501,,{510=32;12=8;11=32;5000=12;511=16},5,50,1
29,10502,,{510=32;12=8;11=32;5000=12;511=16},5,50,1
30,10503,,{510=32;12=8;11=32;5000=12;511=16},5,50,1
31,10504,,{510=32;12=8;11=32;5000=12;511=16},5,50,1
32,10505,,{510=32;12=8;11=32;5000=12;511=16},5,50,1
33,10506,,{510=32;12=8;11=32;5000=12;511=16},5,50,1
34,10507,,{510=32;12=8;11=32;5000=12;511=16},5,50,1
35,10508,,{510=32;12=8;11=32;5000=12;511=16},5,50,1
36,10509,,{510=32;12=8;11=32;5000=12;511=16},5,50,1
37,10510,,{510=32;12=8;11=32;5000=12;511=16},5,50,1
38,10601,,{510=32;12=8;11=32;5000=12;511=16},5,50,1
39,10602,,{510=32;12=8;11=32;5000=12;511=16},5,50,1
40,10603,,{510=32;12=8;11=32;5000=12;511=16},5,50,1
41,10604,,{510=32;12=8;11=32;5000=12;511=16},5,50,1
42,10605,,{510=32;12=8;11=32;5000=12;511=16},5,50,1
43,10606,,{510=32;12=8;11=32;5000=12;511=16},5,50,1
44,10607,,{510=32;12=8;11=32;5000=12;511=16},5,50,1
45,10608,,{510=32;12=8;11=32;5000=12;511=16},5,50,1
46,10609,,{510=32;12=8;11=32;5000=12;511=16},5,50,1
47,10610,,{510=32;12=8;11=32;5000=12;511=16},5,50,1
48,10701,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
49,10702,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
50,10703,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
51,10704,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
52,10705,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
53,10706,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
54,10707,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
55,10708,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
56,10709,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
57,10710,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
58,10801,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
59,10802,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
60,10803,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
61,10804,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
62,10805,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
63,10806,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
64,10807,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
65,10808,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
66,10809,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
67,10810,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
68,10901,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
69,10902,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
70,10903,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
71,10904,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
72,10905,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
73,10906,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
74,10907,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
75,10908,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
76,10909,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
77,10910,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
78,11001,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
79,11002,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
80,11003,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
81,11004,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
82,11005,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
83,11006,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
84,11007,,{510=30.1887;512=3.7736;13=1.8868;12=7.5472;11=30.1887;5000=11.3208;511=15.0943},5,53,1
