变量名,group,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,weight,icon,iconBg,buffColor,buffType,attrNatureType1,attrType1,attrNum1,attrType2,attrNum2,attrNatureType3,attrType3,attrNum3,supplyType,supplyTarget,supplyNum,pointType,pointValue,passiveSkill,effectTimes,skillgroup,onlyOne,limit,changeLib,belongLib,condition
默认值,1,"""""","""""","""""","""""","""""","""""","""""",999,"""""","""""","""""",1,0,0,"""""",0,"""""",0,0,"""""",0,0,0,0,0,0,0,<>,FALSE,99,0,0,0
buffID,buff组别,描述,描述,描述,描述,描述_韩,描述_韩,描述_韩,buff权重,图标,图标背景,特效颜色,buff类型（1=属性加成;2=补给;3=积分加成;4=被动技能）,加成自然属性类型（0表示全体）,属性类型,属性加成数值,属性类型,属性加层数值,加成自然属性类型（0表示全体）,属性类型,属性加层数值,补给类型（1-回血；2-回怒；3-复活；4-扣血；5-扣怒）,补给对象（1-选择一只；2-上阵精灵；3-全体符合条件精灵）,回/扣血 回/扣怒百分比（以100为分母）,积分加成类型（1.剩余回合数  2.存活精灵数  3.当前层数）,积分加成系数,特殊被动技能,被动技能可用于几次战斗,被动技能组<group; 数值>， 同group数值大的会覆盖小的<1;1>,今日是否唯一,限制出现的次数,更换随机库,所属随机库,补给 前置条件（1-有精灵残血；2-有精灵没满怒；3-有精灵死亡）
1,1,我方精灵物攻+10%,我方精靈物攻+10%,P. ATK of allied Pokémons +10%,Công vật lý của Pokémon đồng minh +10%,아군 포켓몬 물리 공격+10%,P.ATK dos Pokémons aliados +10%,P.ATK ของโปเกมอนฝ่ายเรา +10%,100,city/develop/talent/icon_wg.png,city/adventure/random_tower/icon/box_yellow.png,effect,1,0,7,10%,0,,0,0,,0,0,0,0,0,0,0,<>,FALSE,99,0,0,0
2,2,我方精灵物攻+15%,我方精靈物攻+15%,P. ATK of allied Pokémons +15%,Công vật lý của Pokémon đồng minh +15%,아군 포켓몬 물리 공격+15%,P.ATK dos Pokémons aliados +15%,P.ATK ของโปเกมอนฝ่ายเรา +15%,100,city/develop/talent/icon_wg.png,city/adventure/random_tower/icon/box_yellow.png,effect,1,0,7,15%,0,,0,0,,0,0,0,0,0,0,0,<>,FALSE,3,0,0,0
3,3,我方精灵物攻+20%,我方精靈物攻+20%,P. ATK of allied Pokémons +20%,Công vật lý của Pokémon đồng minh +20%,아군 포켓몬 물리 공격+20%,P.ATK dos Pokémons aliados +20%,P.ATK ของโปเกมอนฝ่ายเรา +20%,100,city/develop/talent/icon_wg.png,city/adventure/random_tower/icon/box_yellow.png,effect,1,0,7,20%,0,,0,0,,0,0,0,0,0,0,0,<>,TRUE,1,0,0,0
4,1,我方精灵特攻+10%,我方精靈特攻+10%,SP.ATK of allied Pokémons +10%,Công đặc biệt của Pokémon đồng minh +10%,아군 포켓몬 특수 공격+10%,SP.ATK dos Pokémons aliados +10%,SP.ATK ของโปเกมอนฝ่ายเรา +10%,100,city/develop/talent/icon_tg.png,city/adventure/random_tower/icon/box_blue.png,effect,1,0,8,10%,0,,0,0,,0,0,0,0,0,0,0,<>,FALSE,99,0,0,0
5,2,我方精灵特攻+15%,我方精靈特攻+15%,SP.ATK of allied Pokémons +15%,Công đặc biệt của Pokémon đồng minh +15%,아군 포켓몬 특수 공격+15%,SP.ATK dos Pokémons aliados +15%,SP.ATK ของโปเกมอนฝ่ายเรา +15%,100,city/develop/talent/icon_tg.png,city/adventure/random_tower/icon/box_blue.png,effect,1,0,8,15%,0,,0,0,,0,0,0,0,0,0,0,<>,FALSE,3,0,0,0
6,3,我方精灵特攻+20%,我方精靈特攻+20%,SP.ATK of allied Pokémons +20%,Công đặc biệt của Pokémon đồng minh +20%,아군 포켓몬 특수 공격+20%,SP.ATK dos Pokémons aliados +20%,SP.ATK ของโปเกมอนฝ่ายเรา +20%,100,city/develop/talent/icon_tg.png,city/adventure/random_tower/icon/box_blue.png,effect,1,0,8,20%,0,,0,0,,0,0,0,0,0,0,0,<>,TRUE,1,0,0,0
7,1,我方精灵物攻和特攻+5%,我方精靈物攻和特攻+5%,P. ATK and SP.ATK of allied Pokémons +5%,Công vật lý và Công đặc biệt của Pokémon đồng minh +5%,아군 포켓몬 물리&특수 공격+5%,P.ATK e SP.ATK dos Pokémons aliados +5%,P.ATK และ SP.ATK ของโปเกมอนฝ่ายเรา +5%,150,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,1,0,8,5%,7,5%,0,0,,0,0,0,0,0,0,0,<>,FALSE,99,0,0,0
8,2,我方精灵物攻和特攻+10%,我方精靈物攻和特攻+10%,P. ATK and SP.ATK of allied Pokémons +10%,Công vật lý và Công đặc biệt của Pokémon đồng minh +10%,아군 포켓몬 물리&특수 공격+10%,P.ATK e SP.ATK dos Pokémons aliados +10%,P.ATK และ SP.ATK ของโปเกมอนฝ่ายเรา +10%,150,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,1,0,8,10%,7,10%,0,0,,0,0,0,0,0,0,0,<>,FALSE,3,0,0,0
