变量名,needPoint,award,version
默认值,,{},0
ID,需要积分,奖励,奖励版本
1,100,{4000=5;gold=2000;12=10;20301=2},0
2,300,{4000=5;gold=3000;12=10;20301=2},0
3,600,{4000=5;gold=4000;12=10;20301=2},0
4,1000,{4000=5;gold=5000;12=10;20301=2},0
5,2000,{4000=5;gold=6000;12=10;20301=2},0
6,3000,{4000=5;gold=7000;12=10;20301=2},0
7,4000,{4000=5;gold=8000;12=10;20301=2},0
8,5000,{4000=5;gold=9000;12=10;20301=2},0
9,7000,{4000=5;gold=10000;12=10;20301=2},0
10,9000,{4000=5;gold=11000;12=10;20301=2},0
11,11000,{4000=10;gold=12000;12=10;20301=2},0
12,13000,{4000=10;gold=13000;12=10;20301=2},0
13,15000,{4000=10;gold=14000;12=10;20301=2},0
14,18000,{4000=10;gold=15000;12=10;20301=2},0
15,21000,{4000=10;gold=16000;12=10;20301=2},0
16,24000,{4000=10;gold=17000;12=10;20591=1},0
17,27000,{4000=10;gold=18000;12=10;20591=1},0
18,30000,{4000=10;gold=19000;12=10;20591=1},0
19,33000,{4000=10;gold=20000;12=10;20591=1},0
20,36000,{4000=10;gold=21000;12=10;20591=1},0
21,39000,{4000=15;gold=22000;12=10;20591=1},0
22,42000,{4000=15;gold=23000;12=10;20591=1},0
23,45000,{4000=15;gold=24000;12=10;20591=1},0
24,48000,{4000=15;gold=25000;12=10;20591=1},0
25,51000,{4000=15;gold=26000;12=10;20591=1},0
26,54000,{4000=15;gold=27000;12=10;20591=1},0
27,57000,{4000=15;gold=28000;12=10;20591=1},0
28,60000,{4000=15;gold=29000;12=10;20591=1},0
29,63000,{4000=15;gold=30000;12=10;20591=1},0
30,66000,{4000=15;gold=31000;12=10;20591=1},0
31,69000,{4000=20;gold=32000;12=10;20591=1},0
32,72000,{4000=20;gold=33000;12=10;20591=1},0
33,75000,{4000=20;gold=34000;12=10;20591=1},0
34,78000,{4000=20;gold=35000;12=10;20591=1},0
35,81000,{4000=20;gold=36000;12=10;20591=1},0
36,84000,{4000=20;gold=37000;12=10;20591=1},0
37,87000,{4000=20;gold=38000;12=10;20591=1},0
38,90000,{4000=20;gold=39000;12=10;20591=1},0
39,93000,{4000=20;gold=40000;12=10;20591=1},0
40,96000,{4000=20;gold=41000;12=10;20591=1},0
41,99000,{4000=25;gold=42000;12=10;20591=1},0
42,102000,{4000=25;gold=43000;12=10;20591=1},0
43,105000,{4000=25;gold=44000;12=10;20591=1},0
44,108000,{4000=25;gold=45000;12=10;20591=1},0
45,111000,{4000=25;gold=46000;12=10;20591=1},0
46,114000,{4000=25;gold=47000;12=10;20591=1},0
47,117000,{4000=25;gold=48000;12=10;20591=1},0
48,120000,{4000=25;gold=49000;12=10;20591=1},0
49,123000,{4000=25;gold=50000;12=10;20591=1},0
50,126000,{4000=25;gold=50000;12=10;20591=1},0
51,129000,{4000=30;gold=50000;12=10;20591=1},0
52,132000,{4000=30;gold=50000;12=10;20591=1},0
53,135000,{4000=30;gold=50000;12=10;20591=1},0
54,138000,{4000=30;gold=50000;12=10;20591=1},0
55,141000,{4000=30;gold=50000;12=10;20591=1},0
56,144000,{4000=30;gold=50000;12=10;20591=1},0
57,147000,{4000=30;gold=50000;12=10;20591=1},0
58,150000,{4000=30;gold=50000;12=10;20591=1},0
59,160000,{4000=30;gold=50000;12=10;20591=1},0
60,170000,{4000=30;gold=50000;12=10;20591=1},0
61,180000,{4000=30;gold=50000;12=10;20591=1},0
62,190000,{4000=30;gold=50000;12=10;20591=1},0
63,200000,{4000=30;gold=50000;12=10;20591=1},0
64,210000,{4000=30;gold=50000;12=10;20591=1},0
65,220000,{4000=30;gold=50000;12=10;20591=1},0
66,230000,{4000=30;gold=50000;12=10;20591=1},0
67,240000,{4000=30;gold=50000;12=10;20591=1},0
68,250000,{4000=30;gold=50000;12=10;20591=1},0
69,260000,{4000=30;gold=50000;12=10;20591=1},0
70,270000,{4000=30;gold=50000;12=10;20591=1},0
71,280000,{4000=30;gold=50000;12=10;20591=1},0
