变量名,name,name_tw,name_vn,name_en,name_kr,name_pt,name_th,languages,logo,res,resAct,resSpine,crossMineResSpine,qFigureres,qRoleSpine,zOrder,resBack,type,showIdx,pos,actPos,desc,desc_tw,desc_vn,desc_en,desc_kr,desc_pt,desc_th,unlock,unlockDesc,unlockDesc_tw,unlockDesc_vn,unlockDesc_en,unlockDesc_kr,unlockDesc_pt,unlockDesc_th,unavalibleDesc,activeCost,attrNatureType1,attrType1,attrValue1,attrNatureType2,attrType2,attrValue2,attrNatureType3,attrType3,attrValue3,skills,activeLevel,hide,hide_tw,hide_en,hide_vn,hide_kr,overture,offPos,chattext1,chattext1_tw,chattext1_en,chattext1_vn,chattext1_kr,chattext1_pt,chattext1_th,chattext2,chattext2_tw,chattext2_en,chattext2_vn,chattext2_kr,chattext2_pt,chattext2_th,chattext3,chattext3_tw,chattext3_en,chattext3_vn,chattext3_kr,chattext3_pt,chattext3_th,crossArenaPos
默认值,"""""","""""","""""","""""","""""","""""","""""",<cn;tw;en;vn;th;kr;pt>,"""""","""""","""""","""""","""""","""""","""""",12,"""""",1,0,{x=1750;y=436},{x=0;y=0},"""""","""""","""""","""""","""""","""""","""""",{},"""""","""""","""""","""""","""""","""""","""""","""""",,0,0,"""""",0,0,"""""",0,0,"""""",<>,<>,0,0,0,0,0,TRUE,{x=160;y=-50},"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",{x=0;y=0}
ID,名字,名字,名字,名字,名字,名字,名字,语言区域,在列表中的显示,资源路径,战斗姿态,spine资源路径,跨服商业街的spine资源路径,Q版人物形象资源,Q版人物特效,层级,背景路径,分类（1普通2稀有）,同类型中的排序优先级(越大越优先),主角位置,战斗姿态资源位置偏移（针对战斗前动画界面）,描述,描述,描述,描述,描述,描述,描述,解锁条件格式 {条件=数值} 1=等级 2=关卡 5=VIP等级 6=战力 44=竞技场排名 79=训练家等级,解锁条件描述,解锁条件描述,解锁条件描述,解锁条件描述,解锁条件描述,解锁条件描述,解锁条件描述,无解锁条件和消耗且未获取时的描述,激活消耗,自然属性卡牌加成(0表示全部),属性类型1,属性数值1,自然属性卡牌加成(0表示全部),属性类型2,属性数值2,自然属性卡牌加成(0表示全部),属性类型3,属性数值3,解锁技能,技能激活对应role等级,隐藏显示（0为显示）,隐藏显示（0为显示）,隐藏显示（0为显示）,隐藏显示（0为显示）,隐藏显示（0为显示）,对话气泡是否需要翻转,对话框的位置偏移,对话内容1,对话内容1,对话内容1,对话内容1_越南,对话内容1_韩,对话内容1_葡,对话内容1_泰,对话内容2,对话内容2,对话内容2,对话内容2_越南,对话内容2_韩,对话内容2_葡,对话内容2_泰,对话内容3,对话内容3,对话内容3,对话内容3_越南,对话内容3_韩,对话内容3_葡,对话内容3_泰,跨服竞技场位置偏移值
1,小智,小智,Ash,Ash,지우,Ash,แอช,,config/portrait/toptouxiang/img_role_1@.png,config/big_role/show/img_role_1@.png,config/big_role/show/img_role_1@.png,figure/xiaozhi/xiaozhi.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_1@.png,townqrole/q_xiaozhi.skel,12,personal/img_bjt.png,1,900,{y=436;x=1750},{y=0;x=0},来自真新镇的训练家，目标是神奇宝贝大师,來自真新鎮的訓練家，目標是神奇寶貝大師,Huấn luyện viên đến từ Thị trấn Pallet với mục tiêu trở thành Bậc thầy Pokémon.,Trainer from Pallet Town who aims to be a Pokémon Master,"포켓몬 마스터가 되기를 꿈꾸는, 태초마을 출신의 트레이너입니다.",Treinador da cidade de Pallet que busca se tornar um Mestre Pokémon.,เทรนเนอร์จากเมืองพาเลทที่ตั้งเป้าจะเป็นโปเกมอนมาสเตอร์,{1=10},等级到达10级后可解锁,等級到達10級後可解鎖,Attain level 10 to unlock,Attain level 10 to unlock,10레벨 달성 후 개방 가능,Alcance o nível 10 para desbloquear,บรรลุระดับ 10 เพื่อปลดล็อค,,{gold=30000},0,1,220,0,9,26,0,0,,<>,<>,0,0,0,0,0,TRUE,{y=-50;x=160},我一定会成为神奇宝贝大师的！,我一定會成為寶可夢大師！,I will definitely become a Pokémon Master!,tôi chắc chắn sẽ trở thành bậc thầy pokémon!,나는 반드시 포켓몬 마스터가 될 거야!,eu definitivamente me tornarei um mestre pokémon!,ฉันจะต้องเป็นโปเกมอนมาสเตอร์ให้ได้!,什么时候我也想拿个冠军啊,我什麼時候也能拿到冠軍呢…,When can I get a championship too...,Khi nào tôi cũng có thể vô địch nhỉ…,나도 언제 챔피언이 될 수 있을까…,Quando eu também vou ganhar um campeonato…,เมื่อไหร่ฉันจะได้แชมป์บ้าง…,去吧！皮卡丘！就决定是你了！,去吧，皮卡丘！我選擇你！,"Go, Pikachu! I choose you!","đi nào, pikachu! tớ chọn cậu!","가자, 피카츄! 내가 너를 선택했어!","Vamos, Pikachu! Eu te escolho!",ไปกันเถอะ พิคาชู! ฉันเลือกเธอ!,{y=0;x=-50}
2,小霞,小霞,Misty,Misty,이슬,Misty,มิสตี้,,config/portrait/toptouxiang/img_role_2@.png,config/big_role/show/img_role_2@.png,config/big_role/show/img_role_2@.png,figure/xiaoxia/xiaoxia.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_2@.png,townqrole/q_xiaoxia.skel,12,personal/img_bjt1.png,1,800,{y=436;x=1750},{y=0;x=0},华蓝道馆馆主，水属性精灵的专家,華藍道館館主，水屬性精靈的達人,"Thủ lĩnh nhà thi đấu thành phố Cerulean, chuyên về Pokémon hệ Nước.","Gym leader of Cerulean Gym, specialized in Water-type Pokémons","물타입 포켓몬을 전문으로 하는, 블루시티 체육관의 관장입니다.","Líder do Ginásio de Cerulean, especializado em Pokémon do tipo Água.",ผู้นำยิมเมืองเซอรูเลียน ผู้เชี่ยวชาญโปเกมอนสายประเภทน้ำ,{1=10},等级到达10级后可解锁,等級到達10級後可解鎖,Attain level 10 to unlock,Attain level 10 to unlock,10레벨 달성 후 개방 가능,Alcance o nível 10 para desbloquear,บรรลุระดับ 10 เพื่อปลดล็อค,,{gold=30000},0,1,220,0,10,26,0,0,,<>,<>,0,0,0,0,0,TRUE,{y=-50;x=160},是用水属性宝可梦进攻进攻进攻……一个劲儿地进攻！,牠使用水屬性的寶可夢攻擊，攻擊，再攻擊……永不停止！,"It uses water-type Pokémon to attack, attack and attack... and never stops!","nó dùng pokémon hệ nước để tấn công, tấn công và tấn công… và không bao giờ dừng lại!","물 타입 포켓몬으로 공격하고, 공격하고, 또 공격해… 절대 멈추지 않아!","usa pokémon do tipo água para atacar, atacar e atacar… e nunca para!",มันใช้โปเกมอนธาตุน้ำโจมตี โจมตี และโจมตี… แล้วก็ไม่หยุดเลย!,等我什么时候变得足够强了，我一定要再次出门旅行哟！,當我變得足夠強大，我一定會再次踏上旅程！,"When I become strong enough, I will definitely embark in another journey again!","Khi tôi đủ mạnh, tôi chắc chắn sẽ lại lên đường!",강해지면 꼭 다시 여행을 떠날 거야!,"Quando eu ficar forte o bastante, com certeza vou começar outra jornada!",เมื่อฉันแข็งแกร่งพอ ฉันจะเริ่มการผจญภัยใหม่แน่นอน!,这里的海滩好浪漫，我喜欢这里~,「我喜歡這個海灘，這裡好浪漫！」,"I love this beach, it's so romantic here!","“tớ rất thích bãi biển này, nó thật lãng mạn!”","“이 해변 정말 좋아, 너무 로맨틱해!”","“Eu amo esta praia, é tão romântica aqui!”",“ฉันชอบชายหาดนี้ มันโรแมนติกมากเลย!”,{y=0;x=-10}
3,拉普,拉普,Rapp,Rapp,랩,Rapp,แร็ปป์,,config/portrait/toptouxiang/img_role_3@.png,config/big_role/show/img_role_3@.png,config/big_role/act/img_role_3@.png,figure/lapu/lapu.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_3@.png,townqrole/q_lapu.skel,12,personal/img_bjt.png,1,500,{y=436;x=1750},{y=0;x=0},"骷髅队的手下,常跟伙伴达帕和吉普出现",骷髏隊成員，經常與圖普和齊普一同出現。,"Thành viên của Team Skull, thường xuất hiện cùng Tupp và Zipp.",Member of Team Skull that often appears with Tupp and Zipp,자주 터프와 집과 함께 등장하는 팀 스컬의 일원입니다.,Membro da Equipe Skull que frequentemente aparece com Tupp e Zipp.,สมาชิกทีมสกัลที่มักปรากฏตัวพร้อมกับทัปป์และซิปป์,{1=45},等级到达45级后可解锁,等級到達45級後可解鎖,Attain level 45 to unlock,Attain level 45 to unlock,45레벨 달성 후 개방 가능,Alcance o nível 45 para desbloquear,บรรลุระดับ 45 เพื่อปลดล็อค,,{rmb=380},0,1,1200,0,10,60,0,0,,<>,<>,0,0,0,0,0,TRUE,{y=-50;x=160},既然你诚心…哦，不好意思，看错台词了,有人問過……哎呀，我想那不是我的台詞,"Did someone ask ...... oops, I think that's not my line","có ai hỏi… ồ, hình như đó không phải câu của tôi","누가 물었나…… 어, 그건 내 대사가 아닌 것 같은데","alguém perguntou… opa, acho que essa não é minha fala",มีใครถามมั้ย… โอ๊ะ นี่ไม่ใช่ประโยคของฉันนี่นา,诸岛巡礼？那是什么，好吃么？,環島跳躍？那是什麼？好吃的嗎？,Island hopping? What's that? Something delicious?,Nhảy đảo? Là cái gì vậy? Có ngon không?,섬 뛰어넘기? 그게 뭐야? 맛있는 거야?,Ilha a ilha? O que é isso? Algo gostoso?,เกาะต่อเกาะ? นั่นอะไร? อร่อยไหม?,实力，我们有老大就行了！,力量？我們有我們的老闆！,Strength? We have our boss!,sức mạnh? chúng ta có ông chủ của mình rồi!,힘? 우리 보스가 있어!,Força? Nós temos nosso chefe!,พลัง? เรามีเจ้านายของเรา!,{y=0;x=0}
4,布尔美丽,布林美麗,Plumeria,Plumeria,플루메리,Plumeria,พลัมเมเรีย,,config/portrait/toptouxiang/img_role_4@.png,config/big_role/show/img_role_4@.png,config/big_role/act/img_role_4@.png,figure/buermeili/buermeili.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_4@.png,,12,personal/img_bjt.png,2,700,{y=436;x=1750},{y=0;x=0},骷髅队干部,骷髏隊首領,Thủ lĩnh Đội Skull,Team Skull Leader,스컬단 단장,Líder da Equipe Skull,หัวหน้าทีมสกัล,{1=1},特殊活动投放,特殊活動投放,Put in for Special Event,Put in for Special Event,특수 이벤트 지급,Coloque em evento especial,ใส่สำหรับกิจกรรมพิเศษ,,{2204=1},0,7,1%,0,8,1%,0,0,,<70001>,<1>,0,0,0,0,0,TRUE,{y=-50;x=160},切，真麻烦，我揍你哦！,哼，真麻煩，我要打敗你！,"Tsk, that's so troublesome, I'll beat you up!","chà, thật phiền phức, tôi sẽ đánh bại bạn!","에휴, 정말 귀찮아, 내가 이길 거야!","que chato, eu vou te derrotar!",อืม น่ารำคาญจัง ฉันจะสอนบทเรียนให้เธอเอง!,哈，这点小事都办不好，你闪开，我来！,哈，你連這麼簡單的事都做不好！讓開，交給我！,"Ha, you can't even get this simple thing done! Step aside, let me do it!","Ha, bạn còn không làm nổi chuyện đơn giản này! Tránh ra để tôi làm!","하, 너는 이 간단한 일도 못 해! 비켜, 내가 할게!","Ha, você nem consegue fazer essa coisa simples! Sai da frente, deixa comigo!",ฮ่า คุณยังทำเรื่องง่ายๆ นี้ไม่ได้เลย! ออกไป เดี๋ยวฉันจัดการเอง!,我负责统领骷髅队……也就是他们的大姐头。如你所知，这班家伙都笨得要命。,我負責骷髏隊……還有她們的女老闆。你知道，這些傢伙都很笨。,"I'm in charge of Team Skull... and also their lady boss. As you know, these guys are all very dumb.","tớ phụ trách đội sọ… và cả bà chủ của họ nữa. như cậu biết đấy, mấy thằng này đều rất ngu.","나는 팀 스컬을 책임지고 있어… 그리고 그들의 여성 보스도. 알다시피, 이 녀석들은 모두 아주 멍청해.","Eu sou responsável pelo Team Skull… e também pela chefe deles. Como você sabe, esses caras são todos muito burrinhos.",ฉันรับผิดชอบทีมสคัลล์… และเจ้านายหญิงของพวกเขาด้วย อย่างที่คุณรู้ พวกนี้โง่มาก,{y=0;x=-20}
5,露美旦,露美旦,Morgan,Morgan,르마탱,Morgan,มอร์แกน,,config/portrait/toptouxiang/img_role_5@.png,config/big_role/show/img_role_5@.png,config/big_role/act/img_role_5@.png,figure/lumeidan/lumeidan.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_5@.png,,12,personal/img_bjt.png,2,600,{y=436;x=1750},{y=0;x=0},对战宅第的对战女城主之一，四姊妹中的长女,對戰宅第的對戰女城主之一，四姊妹中的長女,"Một trong những thủ lĩnh của Battle Maison, chị cả trong số các Battle Chatelaine.","One of the leaders of the Battle Maison, the eldest of the Battle Chatelaine.","배틀하우스의 배틀샤틀레느 중 한 명, 4자매의 장녀.","Um dos líderes da Battle Maison, o mais velho da Battle Chatelaine.",หนึ่งในผู้นำของ Battle Maison ผู้เป็นพี่คนโตของ Battle Chatelaine,{1=1},竞技场内兑换获得,競技場內兌換獲得,Obtained by exchanging in the Arena,Obtained by exchanging in the Arena,아레나 내 교환으로 획득,Obtido por troca na Arena,ได้รับจากการแลกเปลี่ยนในอารีน่า,,{2205=1},0,7,1%,0,14,100,0,0,,<70002>,<1>,0,0,0,0,0,TRUE,{y=-50;x=160},要来一场愉快的对战么？,想和我來場過癮的對戰嗎？,Wanna have a satisfying battle with me?,muốn chiến đấu thật thỏa mãn với tôi chứ?,나랑 만족스러운 배틀 해볼래?,quer ter uma batalha satisfatória comigo?,อยากมีการต่อสู้ที่น่าพอใจกับฉันไหม?,我喜欢与各种各样的挑战者进行轮盘对战,我喜歡跟各種挑戰者玩輪盤遊戲,I like to play roulette against various challengers,Tôi thích chơi roulette với nhiều đối thủ khác nhau,나는 다양한 도전자와 룰렛 게임하는 걸 좋아해,Eu gosto de jogar roleta contra vários desafiantes,ฉันชอบเล่นรูเล็ตกับผู้ท้าชิงหลากหลาย,兰昼妮的性子有点好胜，有点担心啊,我擔心Dana，她有點過於好勝。,"I'm worried about Dana, she can be a little overly competitive","tớ lo cho dana, cô ấy hơi quá cạnh tranh.","다나가 걱정돼, 그녀는 조금 지나치게 경쟁적일 수 있어.","Estou preocupado com a Dana, ela pode ser um pouco competitiva demais.",ฉันเป็นห่วงดาน่า เธออาจจะแข่งขันมากเกินไปหน่อย,{y=0;x=-35}
6,梅雅利,梅雅麗,Meray,Meray,메아리,Meray,เมอเรย์,,config/portrait/toptouxiang/img_role_6@.png,config/big_role/show/img_role_6@.png,config/big_role/act/img_role_6@.png,figure/meiyali/meiyali.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_6@.png,townqrole/q_meiyali.skel,12,personal/img_bjt.png,2,100,{y=436;x=1750},{y=0;x=0},照顾幻之神奇宝贝胡帕的少女。在创世之谷与胡帕一同成长。,照顧幻之神奇寶貝胡帕的少女。在創世之谷與胡帕一同成長。,Cô gái trẻ chăm sóc Pokémon Djinn Hoopa và sống cùng nó ở Thung lũng Arche.,"Young girl that takes care of the Djinn Pokémon Hoopa, and lives with it at the Arche Valley.","환상의 포켓몬 후파를 돌보는 소녀, 아르케의 계곡에서 후파와 함께 자랐다.",Jovem garota que cuida do Pokémon Djinn Hoopa e vive com ele no Vale Arche.,เด็กสาวที่ดูแลจินน์โปเกมอนฮูปาและอาศัยอยู่กับมันที่หุบเขาอาร์เช,{1=1},特殊活动投放,特殊活動投放,Put in for Special Event,Put in for Special Event,특수 이벤트 지급,Coloque em evento especial,ใส่สำหรับกิจกรรมพิเศษ,,{2206=1},0,10,1%,0,10,120,0,0,,<70031>,<1>,0,0,0,0,0,TRUE,{y=-50;x=160},我是梅雅利，在负责照顾胡帕,我是梅蕾，照顧胡帕的,"I'm Meray, taking care of Hoopa","tôi là meray, người chăm sóc hoopa","나는 메레이, 후파를 돌보고 있어","sou a meray, cuido do hoopa",ฉันชื่อเมเรย์ ดูแลฮูปา,胡帕，加油啊！惩戒什么的，都让他过去吧！,胡帕，來吧！處罰什麼的，放他走！,"Hoopa, come on! Punishment or something, let him go!","Hoopa, thôi nào! Phạt hay gì đó, thả anh ta đi!","후파, 이리 와! 벌칙이든 뭐든, 걔를 풀어줘!","Hoopa, vamos! Punição ou algo assim, deixa ele ir!",โฮปปะ มาเลย! ลงโทษหรืออะไร ปล่อยมันไปเถอะ!,太好了，胡帕，你终于可以自己穿过环了！,太好了，胡帕，你終於可以自己穿過那個環了！,"Great, Hoopa, you can finally get through the ring yourself!","tuyệt quá, hoopa, cuối cùng cậu cũng có thể tự mình xuyên qua vòng rồi!","좋아, 후파, 이제 너 혼자서 링을 통과할 수 있겠구나!","Ótimo, Hoopa, você finalmente pode passar pelo anel sozinho!",ดีมาก ฮูปปะ ในที่สุดเธอก็สามารถผ่านห่วงได้ด้วยตัวเอง!,{y=0;x=0}
7,三色堇,三色堇,Alexa,Alexa,팬지,Alexa,อเล็กซา,,config/portrait/toptouxiang/img_role_7@.png,config/big_role/show/img_role_7@.png,config/big_role/show/img_role_7@.png,figure/sansejin/sansejin.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_7@.png,townqrole/q_sansejin.skel,12,personal/img_bjt.png,1,600,{y=436;x=1750},{y=0;x=0},来自密阿雷市的记者，紫罗兰的姐姐,來自密阿雷市的記者，紫羅蘭的姐姐,"Phóng viên đến từ Thành phố Lumiose, chị gái của Viola.","Reporter from Lumiose City, elder sister of Viola.","미르시티의 기자, 비올라의 언니.","Repórter de Lumiose City, irmã mais velha de Viola.",นักข่าวจากเมืองลูมิโอเซ่ พี่สาวของไวโอล่า,{1=30},等级到达30级后可解锁,等級到達30級後可解鎖,Attain level 30 to unlock,Attain level 30 to unlock,30레벨 달성 후 개방 가능,Alcance o nível 30 para desbloquear,บรรลุระดับ 30 เพื่อปลดล็อค,,{rmb=280},0,1,900,0,9,45,0,0,,<>,<1>,0,0,0,0,0,TRUE,{y=-50;x=160},作为记者，当然是全天24小时都在取材！,作為記者，我一天24小時收集素材！,"As a reporter, I collect materials 24 hours a day!","là phóng viên, tôi thu thập tư liệu 24/7!",기자로서 하루 24시간 자료를 수집해!,"como repórter, coleto material 24 horas por dia!",ในฐานะนักข่าว ฉันเก็บข้อมูล 24 ชั่วโมงต่อวัน!,你也对果实岛传统收获祭典感兴趣嘛，那真是太好了,你也對穗乃里島的傳統豐收節感興趣嗎？太好了,Are you also interested in the traditional harvest festival of Minori Island? That’s great,Bạn cũng quan tâm đến lễ hội thu hoạch truyền thống ở đảo Minori à? Tuyệt quá,너도 미노리 섬의 전통 수확제에 관심 있어? 좋네,Você também se interessa pelo festival tradicional da colheita da Ilha Minori? Que ótimo,คุณสนใจงานเทศกาลเก็บเกี่ยวแบบดั้งเดิมของเกาะมิโนริด้วยเหรอ? ดีจัง,并不是所有的信息都是可以报导的哦，人都有点小秘密,不是所有資訊都能公開，每個人都有小秘密。,"Not all information can be disclosed, everyone has a little secret","không phải mọi thông tin đều có thể tiết lộ, ai cũng có bí mật riêng.","모든 정보를 공개할 수는 없어, 모두에게 작은 비밀이 있어.","Nem todas as informações podem ser divulgadas, todo mundo tem um segredinho.",ไม่ได้เปิดเผยข้อมูลทั้งหมด ทุกคนมีความลับเล็กๆ น้อยๆ,{y=0;x=0}
8,紫罗兰,紫羅蘭,Viola,Viola,비올라,Viola,ไวโอลา,,config/portrait/toptouxiang/img_role_8@.png,config/big_role/show/img_role_8@.png,config/big_role/show/img_role_8@.png,figure/ziluolan/ziluolan.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_8@.png,townqrole/ziluolan.skel,12,personal/img_bjt.png,2,400,{y=436;x=1750},{y=0;x=0},卡洛斯地区白檀市白檀道馆道馆馆主，专长为虫属性宝可梦,卡洛斯地區白檀市白檀道館道館館主，專長為蟲屬性寶可夢,"Thủ lĩnh Gym Santalune ở vùng Kalos, chuyên về Pokémon hệ Bọ.","Gym Leader of Santalune Gym in Kalos region, specialized in Bug-type Pokémons","칼로스지방 백단시티 백단체육관의 관장, 벌레 타입 포켓몬 전문이다.","Líder de ginásio do Santalune Gym na região de Kalos, especializado em Pokémon do tipo Inseto",ยิมลีดเดอร์ของยิม Santalune ในภูมิภาคคาโลส เชี่ยวชาญด้านโปเกมอนประเภทแมลง,{1=1},跨服石英大会内兑换获得,跨服石英大會內兌換獲得,Get by exchanging in Global Indigo Plateau Conference,Get by exchanging in Global Indigo Plateau Conference,글로벌 석영 대회 내 교환으로 획득,Ganhe trocando na Conferência Global Indigo Plateau,รับได้โดยการแลกเปลี่ยนที่ Global Indigo Plateau Conference,,{2208=1},0,15,200,0,0,,0,0,,<70014>,<1>,0,0,0,0,0,TRUE,{y=-50;x=160},我喜欢喜欢拍下一切值得拍摄的东西,我喜歡拍攝所有值得拍的東西。,I enjoy taking pictures of all things that are worth taking.,tôi thích chụp ảnh mọi thứ đáng chụp,찍을 만한 모든 걸 찍는 걸 좋아해.,gosto de tirar fotos de tudo que vale a pena fotografar.,ฉันชอบถ่ายภาพสิ่งที่น่าถ่ายทุกอย่าง,就让我来拍下你最闪亮的一刻吧！,讓我幫你捕捉最棒的時刻！,Let me capture your best moments!,Để tôi ghi lại những khoảnh khắc đẹp nhất của bạn!,네 최고의 순간을 찍어줄게!,Deixe-me capturar seus melhores momentos!,ให้ฉันบันทึกช่วงเวลาที่ดีที่สุดของคุณ!,获胜的秘诀？那就是充满自信！,勝利的祕訣是什麼？自信！,What's the secret to victory? Confidence!,bí quyết chiến thắng là gì? sự tự tin!,승리의 비결은 뭐야? 자신감!,Qual é o segredo da vitória? Confiança!,ความลับของชัยชนะคืออะไร? ความมั่นใจ!,{y=0;x=-55}
