变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,icon,languages,unlockDesc,unlockDesc_tw,unlockDesc_en,unlockDesc_vn,unlockDesc_kr,unlockDesc_pt,unlockDesc_th
默认值,"""""","""""","""""","""""","""""","""""","""""",,<cn;tw;en;vn;th;kr;pt>,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,Desbloqueio por meio especial,ปลดล็อกผ่านวิธีพิเศษ
ID,名字,名字,名字,名字_越南,名字_韩,名字_葡,名字_泰,头像框（支持spine）,语言区域,解锁条件,解锁条件,解锁条件,解锁条件_越南,解锁条件_韩,解锁条件,解锁条件
1,默认头像框,默認頭像框,Default avatar frame,Default avatar frame,기본 아바타 프레임,Default avatar frame,กรอบรูปโปรไฟล์เริ่มต้น,config/portrait/frame/box_head_default.png,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
2,黄金训练师,黃金訓練師,Golden Training Master,Golden Training Master,황금 트레이너,Golden Training Master,เทรนเนอร์ทอง,config/portrait/frame/icon_lv50.png,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
100,草苗龟,草苗龜,Turtwig,Turtwig,이상해씨,Turtwig,ตะบองเพชร,config/portrait/frame/icon_cmg@.png,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
101,莲叶童子,蓮葉童子,Lotad,Lotad,이상해풀,Lotad,หน่อไม้ฝรั่ง,config/portrait/frame/icon_lytz@.png,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
102,皮卡丘,皮卡丘,Pikachu,Pikachu,피카츄,Pikachu,ปีคาจู,config/portrait/frame/icon_pkq@.png,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
103,火焰鸡,火焰雞,Blaziken,Blaziken,번치코,Blaziken,เปลวไฟ,config/portrait/frame/icon_hyj@.png,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
104,甲贺忍蛙,甲賀忍蛙,Greninja,Greninja,개굴닌자,Greninja,กบอสูร,config/portrait/frame/icon_jhrw@.png,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
200,超梦,超夢,Mewtwo,Mewtwo,뮤츠,Mewtwo,มิวทู,frame/touxiangkuang_cm.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
201,凤王,鳳王,Ho-Oh,Ho-Oh,파이어로,Ho-Oh,ฟีนิกซ์,frame/touxiangkuang_fw.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
202,洛奇亚,洛奇亞,Lugia,Lugia,루기아,Lugia,ลูเกีย,frame/lqy_txk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
203,裂空座,裂空座,Rayquaza,Rayquaza,레쿠쟈,Rayquaza,เร็คคูซ่า,frame/liekongzuo_touxiang.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
204,盖欧卡,蓋歐卡,Kyogre,Kyogre,카이오가,Kyogre,คาโยกะ,frame/gok_txk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
205,达克莱伊,達克萊伊,Darkrai,Darkrai,다크라이,Darkrai,ดาร์ไคร,frame/txk_dkly.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
206,雷吉奇卡斯,雷吉奇卡斯,Regigigas,Regigigas,레지기가스,Regigigas,เรจิจิกัส,frame/txk_ljqks.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
207,帝牙卢卡,帝牙盧卡,Dialga,Dialga,디아루가,Dialga,เดียลุก้า,frame/txk_dylk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
208,帕路奇亚,帕路奇亞,Palkia,Palkia,펄기아,Palkia,พัลลูเซีย,frame/plqy_txk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
209,骑拉帝纳,騎拉帝納,Giratina,Giratina,기라티나,Giratina,กิราติน่า,frame/guilong_toux.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
210,谢米,謝米,Shaymin,Shaymin,쉐이미,Shaymin,เชมี่,frame/xiemi_touxiang.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
211,惩戒胡帕,懲戒胡帕,Hoopa Confined,Hoopa Confined,후파,Hoopa Confined,ฮูป้า,frame/hupa_touxiang.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
212,莱希拉姆,萊希拉姆,Reshiram,Reshiram,레시라무,Reshiram,เลซีรัม,frame/lxlm_txk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
213,捷克罗姆,捷克羅姆,Zekrom,Zekrom,제크로무,Zekrom,เจครอม,frame/heilong_kuang.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
214,酋雷姆,酋雷姆,Kyurem,Kyurem,큐레무,Kyurem,คิวเร็ม,frame/qiuleimu_tou.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
215,超级烈空座,超級烈空座,megaRayquaza,megaRayquaza,메가 레쿠쟈,megaRayquaza,เมก้าเร็คคูซ่า,frame/liekong_mage_tou.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
216,美洛耶塔·歌声,美洛耶塔·歌聲,Meloetta - Aria,Meloetta - Aria,멜로에타 (노래),Meloetta - Aria,เมโลเอย์ตา (ร้องเพลง),frame/meiluoyeta_gs.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
217,美洛耶塔·舞步,美洛耶塔·舞步,Meloetta - Pirouette,Meloetta - Pirouette,멜로에타 (춤),Meloetta - Pirouette,เมโลเอย์ตา (เต้น),frame/meiluoyeta_wb.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
218,基拉祈,基拉祈,Jirachi,Jirachi,기라티나,Jirachi,กิราทิน่า,frame/jlq_txk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
219,美录梅塔,美錄梅塔,Melmetall,Melmetall,디안시,Melmetall,ดีแอนซี่,frame/mlmt_txk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
220,伊裴尔塔尔,伊裴爾塔爾,Yveltal,Yveltal,이블탈,Yveltal,อิปเปลทาร์,frame/yshen_tou.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
221,时拉比,時拉比,Celebi,Celebi,세레비,Celebi,ชีราบิ,frame/xlb_txk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
222,盖诺赛克特,蓋諾賽克特,Genesect,Genesect,게노세크트,Genesect,เกโนเซ็กต์,frame/gnskt_txk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
223,哲尔尼亚斯,哲爾尼亞斯,Xerneas,Xerneas,제르네아스,Xerneas,เจอร์เนียส,frame/x_touxiang.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
224,原始固拉多,原始固拉多,OriginalGroudon,OriginalGroudon,원시 그란돈,OriginalGroudon,กรันดอนดั้งเดิม,frame/guladuomega.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
225,捷拉奥拉,捷拉奧拉,Zeraora,Zeraora,제라오라,Zeraora,เจราโอล่า,frame/jlal_tx.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
226,比克提尼,比克提尼,Victini,Victini,비크티니,Victini,บิคตินี่,frame/bktn_txk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
227,波尔凯尼恩,波爾凱尼恩,Volcanion,Volcanion,볼케니온,Volcanion,โวลเคเนียน,frame/brknrtxk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
228,超级蒂安希,超級蒂安希,Mega Diancie,Mega Diancie,메가디안시,Mega Diancie,เมก้าเดียนซี,frame/dianxi_mega_txk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
229,原始盖欧卡,原始蓋歐卡,Primal Kyogre,Primal Kyogre,원시가이오가,Primal Kyogre,ไคโอกาดั้งเดิม,frame/goktxmegamega.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
230,露奈雅拉,露奈雅拉,Lunala,Lunala,루나아라,Lunala,ลูนาอาลา,frame/lunaiyala_txk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
231,玛机雅娜,瑪機雅娜,Magearna,Magearna,마기아나,Magearna,มาเกียนา,frame/majiyanatouxiang.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
232,玛夏多,瑪夏多,Marshadow,Marshadow,마샤도,Marshadow,มาร์ชาโดว์,frame/maxiaduo_kuang.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
233,奈克洛兹玛,奈克洛茲瑪,Necrozma,Necrozma,네크로즈마,Necrozma,เนครอสมา,frame/naikeluozima_tou.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
234,闪光超级班基拉斯,閃光超級班基拉斯,Mega Tyranitar Shiny,Shiny Mega Tyranitar,색이 다른 메가마기라스,Mega Tyranitar Brilhante,เมก้าบันกิรัสสีแตกต่าง,frame/sgbjltxk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
235,闪光超级耿鬼,閃光超級耿鬼,Mega Gengar Shiny,Shiny Mega Gengar,색이 다른 메가 팬텀,Mega Gengar Brilhante,เมก้าเก็งการ์สีแตกต่าง,frame/sgggtxk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
236,索尔迦雷欧,索爾迦雷歐,Solgaleo,Solgaleo,솔가레오,Solgaleo,โซลกาเลโอ,frame/suoerjialeiou_txk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
237,玛纳霏,瑪納霏,Manaphy,Manaphy,마나피,Manaphy,มานาฟี,frame/txk_mnf.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
238,基格尔德,基格爾德,Zygarde,Zygarde,지가르데,Zygarde,ซี่การ์ด,frame/z_tou.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
239,小智版甲贺忍蛙,小智版甲賀忍蛙,Ash-Greninja,Ash-Greninja,지우개굴닌자,Ash-Greninja,เก็คโคกะซาโตชิ,frame/zhiwa_tou.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
240,超级超梦X,超級超夢X,Mega Mewtwo X,Mega Mewtwo X,메가뮤츠X,Mega Mewtwo X,เมก้ามิวทู X,frame/cjcmx_txk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
241,起源梦幻,起源夢幻,Mew Khởi nguyên,Origin Mew,기원 뮤,Mew Origem,มิวต้นกำเนิด,frame/qymh_txk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
242,闪光超级艾路雷朵,閃光超級艾路雷朵,Mega Gallade Shiny,Shiny Mega Gallade,색이 다른 메가 엘레이드,Mega Gallade Brilhante,เมก้าเอล레이ดสีแตกต่าง,frame/sgcjalld_txk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
243,藏然玛特,藏瑪然特 (百戰勇者),Zamazenta (Anh hùng),Zamazenta (Hero of Many Battles),자마젠타 (역전의 용사),Zamazenta (Hero of Many Battles),ซามาเซ็นต้า (ผู้กล้าในอดีต),frame/zmrt_txk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
244,闪光超级沙奈朵,閃光超級沙奈朵,Mega Gardevoir Shiny,Shiny Mega Gardevoir,색이 다른 메가 가디안,Mega Gardevoir Brilhante,เมก้าเซอร์ไนท์สีแตกต่าง,frame/sgcjsnd_txk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
245,苍响,蒼響 (劍之王),Zacian (Vua kiếm),Zacian (Crowned Sword),자시안 (왕의 검),Zacian (Crowned Sword),ซาเชียน (ราชาแห่งดาบ),frame/cx_txk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
246,凯路迪欧·觉悟,凱路迪歐 (覺悟的樣子),Keldeo (Resolute Form),Keldeo (Resolute Form),케르디오 (각오의 모습),Keldeo (Resolute Form),เคลดิโอ (คาคุโกะโนะซึงาตะ),frame/kldo_tou.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
247,萨戮德,薩戮德,Zarude,Zarude,자루도,Zarude,ซารู้ด,frame/salude_txk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
248,闪光超级巨金怪,閃光超級巨金怪,Mega Metagross Shiny,Shiny Mega Metagross,색이 다른 메가 메타그로스,Mega Metagross Brilhante,เมก้าเมทากรอสสีแตกต่าง,frame/txk_sgjjg.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
249,焰白酋雷姆头像框,焰白酋雷姆頭像框,Khung đại diện White Kyurem,White Kyurem Avatar Frame,화이트큐레무 아바타 프레임,Moldura de Avatar do White Kyurem,กรอบรูปไวท์คิวเรม,frame/ybqlmtxk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
250,超级超梦Y,超級超夢Y,Mega Mewtwo Y,Mega Mewtwo Y,메가뮤츠Y,Mega Mewtwo Y,เมก้ามิวทู Y,frame/cmy_txk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
251,闪光超级路卡利欧,閃光超級路卡利歐,Mega Lucario Shiny,Shiny Mega Lucario,색이 다른 메가 루카리오,Mega Lucario Brilhante,เมก้าลูคาริโอสีแตกต่าง,frame/sglklo_txk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
252,竹兰超级烈咬陆鲨,竹蘭 超級烈咬陸鯊,Mega Garchomp của Cynthia,Cynthia's Mega Garchomp,난천의 메가 한카리아스,Mega Garchomp de Cynthia,เมก้ากาเบรียสของชิโรนะ,frame/bzcjlyls_txk.skel,,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
