变量名,roleId,level,_beizhu,skills,fight_soul,roleForce,star,activeSkill,classify,hp,mp1,mp2,hpRecover,mp1Recover,mp2Recover,damage,specialDamage,defence,specialDefence,defenceIgnore,specialDefenceIgnore,speed,strike,strikeDamage,strikeResistance,block,breakBlock,blockPower,dodge,hit,damageAdd,damageSub,ultimateAdd,ultimateSub,damageDeepen,damageReduce,suckBlood,rebound,cure,natureRestraint
默认值,,90,,{},{},,5,0,0,1,600,1,1,1,1,1,1,1,1,1,1,1,1,15000,1,1,1,1,0,10000,1,1,0,0,1,1,0,0,1,0
ID,角色id,等级,备注信息,技能(技能id=等级;技能id=等级...),斗魂,势力,星级,主动技能激活,标识,HP,MP1,MP2,HP回复,MP1回复,MP2回复,物理攻击,特殊攻击,物理防御力,特殊防御力,物理防御忽视,特殊防御忽视,先手值,会心一击,会心一击伤害,会心一击抗性,格挡等级10000,破格挡等级10000,格挡强度10000,闪避,命中,伤害加成10000,伤害减免10000,必杀加成,必杀抗性,伤害加深,伤害降低,吸血,反弹,治疗效果,属性克制
1,30001,90,,{},{},1,5,0,3,250000,600,1,1,1,1,50000,50000,0,0,0,0,1500,0,15000,1,1,1,1,0,10000,1,1,0,0,1,1,0,0,1,0
2,30002,90,,{},{},1,5,0,3,650000,600,1,1,1,1,55000,55000,0,0,0,0,1100,0,15000,1,1,1,1,0,10000,1,1,0,0,1,1,0,0,1,0
3,30003,90,,{},{},1,5,0,3,400000,600,1,1,1,1,50000,50000,0,0,0,0,1400,0,15000,1,1,1,1,0,10000,1,1,0,0,1,1,0,0,1,0
4,30004,90,,{},{},1,5,0,3,120000,600,1,1,1,1,50000,50000,0,0,0,0,900,0,15000,1,1,1,1,0,10000,1,1,0,0,1,1,0,0,1,0
5,30005,90,,{},{},1,5,0,3,600000,600,1,1,1,1,50000,50000,0,0,0,0,600,0,15000,1,1,1,1,0,10000,1,1,0,0,1,1,0,0,1,0
6,30006,90,,{},{},1,5,0,3,130000,600,1,1,1,1,50000,50000,0,0,0,0,100,0,15000,1,1,1,1,0,10000,1,1,0,0,1,1,0,0,1,0
7,30007,90,,{},{},2,5,0,3,300000,600,1,1,1,1,50000,50000,0,0,0,0,1200,0,15000,1,1,1,1,0,10000,1,1,0,0,1,1,0,0,1,0
8,30008,90,,{},{},2,5,0,3,300000,600,1,1,1,1,50000,50000,0,0,0,0,800,0,15000,1,1,1,1,0,10000,1,1,0,0,1,1,0,0,1,0
9,30009,90,,{},{},2,5,0,3,200000,600,1,1,1,1,50000,50000,0,0,0,0,1300,0,15000,1,1,1,1,0,10000,1,1,0,0,1,1,0,0,1,0
10,30010,90,,{},{},2,5,0,3,200000,600,1,1,1,1,50000,50000,0,0,0,0,0,0,15000,1,1,1,1,0,10000,1,1,0,0,1,1,0,0,1,0
11,30011,90,,{},{},2,5,0,3,600000,600,1,1,1,1,50000,50000,0,0,0,0,700,0,15000,1,1,1,1,0,10000,1,1,0,0,1,1,0,0,1,0
12,30012,90,,{},{},2,5,0,3,90000,600,1,1,1,1,50000,50000,0,0,0,0,1000,0,15000,1,1,1,1,0,10000,1,1,0,0,1,1,0,0,1,0
