±äÁ¿Ãû,level,randomWeight,card1,skillMap1,card2,skillMap2,card3,skillMap3,card4,skillMap4,card5,skillMap5,card6,skillMap6
Ä¬ÈÏÖµ,1,1,{},{},{},{},{},{},{},{},{},{},{},{}
ID,µÈ¼¶,Ëæ»úÈ¨Öµ,¿¨ÅÆID1,¿¨ÅÆ¼¼ÄÜµÈ¼¶ÅäÖÃ1,¿¨ÅÆID2,¿¨ÅÆ¼¼ÄÜµÈ¼¶ÅäÖÃ2,¿¨ÅÆID3,¿¨ÅÆ¼¼ÄÜµÈ¼¶ÅäÖÃ3,¿¨ÅÆID4,¿¨ÅÆ¼¼ÄÜµÈ¼¶ÅäÖÃ4,¿¨ÅÆID5,¿¨ÅÆ¼¼ÄÜµÈ¼¶ÅäÖÃ5,¿¨ÅÆID6,¿¨ÅÆ¼¼ÄÜµÈ¼¶ÅäÖÃ6
1,8,100,{id=231},{2313=1;2312=1;2311=1},{star=1;id=3561},{35613=1;35611=1;35612=1},{star=1;id=131},{1311=1;1313=1;1312=1},{star=1;id=81},{813=1;812=1;811=1},{},{},{},{}
2,8,100,{id=101},{1013=1;1011=1;1012=1},{star=1;id=891},{8911=1;8912=1;8913=1},{star=1;id=121},{1213=1;1211=1;1212=1},{star=1;id=71},{712=1;711=1;713=1},{},{},{},{}
3,8,100,{id=451},{4512=1;4511=1;4513=1},{star=1;id=1},{11=1;13=1;12=1},{star=1;id=2011},{20112=1;20111=1;20113=1},{star=1;id=231},{2313=1;2312=1;2311=1},{},{},{},{}
4,8,100,{id=51},{512=1;513=1;511=1},{star=1;id=301},{3013=1;3012=1;3011=1},{star=1;id=61},{613=1;612=1;611=1},{star=1;id=231},{2313=1;2312=1;2311=1},{},{},{},{}
5,8,100,{id=541},{5413=1;5411=1;5412=1},{star=1;id=81},{813=1;812=1;811=1},{star=1;id=121},{1213=1;1211=1;1212=1},{star=1;id=71},{712=1;711=1;713=1},{},{},{},{}
6,8,100,{id=451},{4512=1;4511=1;4513=1},{star=1;id=171},{1712=1;1713=1;1711=1},{star=1;id=71},{712=1;711=1;713=1},{star=1;id=2891},{28912=1;28911=1;28913=1},{},{},{},{}
7,8,100,{id=3561},{35613=1;35611=1;35612=1},{star=1;id=31},{311=1;313=1;312=1},{star=1;id=121},{1213=1;1211=1;1212=1},{star=1;id=51},{512=1;513=1;511=1},{},{},{},{}
8,8,100,{id=351},{3512=1;3513=1;3511=1},{star=1;id=891},{8911=1;8912=1;8913=1},{star=1;id=2011},{20112=1;20111=1;20113=1},{star=1;id=61},{613=1;612=1;611=1},{},{},{},{}
9,8,100,{id=11},{112=1;111=1;113=1},{star=1;id=131},{1311=1;1313=1;1312=1},{star=1;id=81},{813=1;812=1;811=1},{star=1;id=891},{8911=1;8912=1;8913=1},{},{},{},{}
10,8,100,{id=11},{112=1;111=1;113=1},{star=1;id=191},{1911=1;1912=1;1913=1},{star=1;id=781},{7811=1;7812=1;7813=1},{star=1;id=1351},{13511=1;13513=1;13512=1},{},{},{},{}
11,8,100,{id=351},{3512=1;3513=1;3511=1},{star=1;id=81},{813=1;812=1;811=1},{star=1;id=111},{1113=1;1111=1;1112=1},{star=1;id=541},{5413=1;5411=1;5412=1},{},{},{},{}
12,8,100,{id=11},{112=1;111=1;113=1},{star=1;id=61},{613=1;612=1;611=1},{star=1;id=171},{1712=1;1713=1;1711=1},{star=1;id=131},{1311=1;1313=1;1312=1},{},{},{},{}
13,8,100,{id=121},{1213=1;1211=1;1212=1},{star=1;id=81},{813=1;812=1;811=1},{star=1;id=1611},{16113=1;16111=1;16112=1},{star=1;id=191},{1911=1;1912=1;1913=1},{},{},{},{}
14,8,100,{id=451},{4512=1;4511=1;4513=1},{star=1;id=1},{11=1;13=1;12=1},{star=1;id=1611},{16113=1;16111=1;16112=1},{star=1;id=121},{1213=1;1211=1;1212=1},{},{},{},{}
15,8,100,{id=391},{3912=1;3913=1;3911=1},{star=1;id=891},{8911=1;8912=1;8913=1},{star=1;id=71},{712=1;711=1;713=1},{star=1;id=2071},{20712=1;20713=1;20711=1},{},{},{},{}
16,8,100,{id=2891},{28912=1;28911=1;28913=1},{star=1;id=121},{1213=1;1211=1;1212=1},{star=1;id=541},{5413=1;5411=1;5412=1},{star=1;id=101},{1013=1;1011=1;1012=1},{},{},{},{}
17,8,100,{id=11},{112=1;111=1;113=1},{star=1;id=111},{1113=1;1111=1;1112=1},{star=1;id=2011},{20112=1;20111=1;20113=1},{star=1;id=131},{1311=1;1313=1;1312=1},{},{},{},{}
18,8,100,{id=3561},{35613=1;35611=1;35612=1},{star=1;id=71},{712=1;711=1;713=1},{star=1;id=61},{613=1;612=1;611=1},{star=1;id=51},{512=1;513=1;511=1},{},{},{},{}
19,8,100,{id=171},{1712=1;1713=1;1711=1},{star=1;id=461},{4612=1;4611=1;4613=1},{star=1;id=891},{8911=1;8912=1;8913=1},{star=1;id=2071},{20712=1;20713=1;20711=1},{},{},{},{}
20,8,100,{id=41},{411=1;412=1;413=1},{star=1;id=171},{1712=1;1713=1;1711=1},{star=1;id=2011},{20112=1;20111=1;20113=1},{star=1;id=191},{1911=1;1912=1;1913=1},{},{},{},{}
21,8,100,{id=131},{1311=3;1313=3;1312=3},{star=1;id=1351},{13511=3;13513=3;13512=3},{star=1;id=351},{3512=3;3513=3;3511=3},{star=1;id=171},{1712=3;1713=3;1711=3},{},{},{},{}
22,8,100,{id=31},{311=3;313=3;312=3},{star=1;id=1351},{13511=3;13513=3;13512=3},{star=1;id=3561},{35613=3;35611=3;35612=3},{star=1;id=51},{512=3;513=3;511=3},{},{},{},{}
23,8,100,{id=71},{712=3;711=3;713=3},{star=1;id=1},{11=3;13=3;12=3},{star=1;id=81},{813=3;812=3;811=3},{star=1;id=41},{411=3;412=3;413=3},{},{},{},{}
24,8,100,{id=81},{813=3;812=3;811=3},{star=1;id=461},{4612=3;4611=3;4613=3},{star=1;id=61},{613=3;612=3;611=3},{star=1;id=171},{1712=3;1713=3;1711=3},{},{},{},{}
