变量名,vipDouble,months,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12
默认值,9999,<>,{},{},{},{},{},{},{},{},{},{},{},{}
签到ID,vip双倍,这一天在哪个月份显示特效,1月奖励,2月奖励,3月奖励,4月奖励,5月奖励,6月奖励,7月奖励,8月奖励,9月奖励,10月奖励,11月奖励,12月奖励
1,1,<>,{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000}
2,9999,<>,{rmb=600},{rmb=600},{rmb=600},{rmb=600},{rmb=600},{rmb=600},{rmb=600},{rmb=600},{rmb=600},{rmb=600},{rmb=600},{rmb=600}
3,2,<>,{503=10},{503=10},{503=10},{503=10},{503=10},{503=10},{503=10},{503=10},{503=10},{503=10},{503=10},{503=10}
4,9999,<>,{526=20},{526=20},{526=20},{526=20},{526=20},{526=20},{526=20},{526=20},{526=20},{526=20},{526=20},{526=20}
5,3,<1;2;3;4;5;6;7;8;9;10;11;12>,{22391=10},{22351=10},{23252=10},{24023=10},{21271=10},{21261=10},{22361=10},{23301=10},{23211=10},{23221=10},{21961=10},{21971=10}
6,3,<>,{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000}
7,9999,<>,{rmb=700},{rmb=700},{rmb=700},{rmb=700},{rmb=700},{rmb=700},{rmb=700},{rmb=700},{rmb=700},{rmb=700},{rmb=700},{rmb=700}
8,4,<>,{503=10},{503=10},{503=10},{503=10},{503=10},{503=10},{503=10},{503=10},{503=10},{503=10},{503=10},{503=10}
9,9999,<>,{526=20},{526=20},{526=20},{526=20},{526=20},{526=20},{526=20},{526=20},{526=20},{526=20},{526=20},{526=20}
10,4,<1;2;3;4;5;6;7;8;9;10;11;12>,{22391=10},{22351=10},{23252=10},{24023=10},{21271=10},{21261=10},{22361=10},{23301=10},{23211=10},{23221=10},{21961=10},{21971=10}
11,5,<>,{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000}
12,9999,<>,{rmb=800},{rmb=800},{rmb=800},{rmb=800},{rmb=800},{rmb=800},{rmb=800},{rmb=800},{rmb=800},{rmb=800},{rmb=800},{rmb=800}
13,6,<>,{503=10},{503=10},{503=10},{503=10},{503=10},{503=10},{503=10},{503=10},{503=10},{503=10},{503=10},{503=10}
14,9999,<1;2;3;4;5;6;7;8;9;10;11;12>,{526=20},{526=20},{526=20},{526=20},{526=20},{526=20},{526=20},{526=20},{526=20},{526=20},{526=20},{526=20}
15,7,<1;2;3;4;5;6;7;8;9;10;11;12>,{22391=20},{22351=20},{23252=20},{24023=20},{21271=20},{21261=20},{22361=20},{23301=20},{23211=20},{23221=20},{21961=20},{21971=20}
16,8,<>,{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000}
17,9999,<>,{rmb=900},{rmb=900},{rmb=900},{rmb=900},{rmb=900},{rmb=900},{rmb=900},{rmb=900},{rmb=900},{rmb=900},{rmb=900},{rmb=900}
18,9,<>,{503=10},{503=10},{503=10},{503=10},{503=10},{503=10},{503=10},{503=10},{503=10},{503=10},{503=10},{503=10}
19,9999,<>,{526=20},{526=20},{526=20},{526=20},{526=20},{526=20},{526=20},{526=20},{526=20},{526=20},{526=20},{526=20}
20,10,<1;2;3;4;5;6;7;8;9;10;11;12>,{22391=30},{22351=30},{23252=30},{24023=30},{21271=30},{21261=30},{22361=30},{23301=30},{23211=30},{23221=30},{21961=30},{21971=30}
21,10,<>,{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000},{gold=500000}
