变量名,_name,targetType,skillTarget,input,process,targetFormula,specialChoose,targetLimit,fixPos,buffList,buffLifeRound,buffProb,buffLevel,buffValue1,effectEventID,extraArgs
默认值,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,,
ID,技能过程名功能备注(程序不读取，策划使用),目标类型(0友方1敌方),技能伤害目标(目标位置),阵营,在input下的目标类型,公式选择目标，优先级高于process，{process={key=self:hasBuff(54214); value=<hpRatioMax;hpRatioMin>}},单个特殊目标位置选择(填写1和8时，过程段只能写一段)(target查找参数),随机目标上限(target查找参数),固定位置(target查找参数),触发buffId,buff持续回合,buff成功率,buff生效等级,buff效果参数1,effect_event对应ID,下一个过程段
111,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,111,
112,,0,14,,,{},,99,,<1225>,<2>,<self:flagZ1() and 1 or 0>,<>,<500>,,
121,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,121,
122,,1,1,,,{},,99,,<1311>,<1>,<self:flagZ2() and 1 or 0.6>,<>,<0>,,
123,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,,
131,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,131,
132,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,132,
133,,0,11,,,{},,99,,<1313;1316>,<3;1>,"<1;moreEqualThan(self:star(),11) and 1 or 0>",<>,"<self:specialDamage()*(0.3+(skillLv(16,26,36) or 0)*0.002-0.002+0.1*(moreEqualThan(self:star(),8) and 1 or 0));(self:specialDamage()*(0.3+(skillLv(16,26,36) or 0)*0.002-0.002+0.1*(moreEqualThan(self:star(),8) and 1 or 0)))*(self:flagZ3() and 2 or 1)>",,
134,,0,11,,,{},,99,,<>,<>,<1>,<>,<>,,
161,,1,1,selfForce | nodead,random(1),{},,99,,<1313>,<3>,<1>,<>,"<self:specialDamage()*(0.3+(skillLv(16,26,36) or 0)*0.002-0.002+0.1*(moreEqualThan(self:star(),8) and 1 or 0))>",,
162,,0,14,,,{},,99,,<1313>,<3>,<self:flagZ4() and 0.3 or 0>,<>,"<self:specialDamage()*(0.3+(skillLv(16,26,36) or 0)*0.002-0.002+0.1*(moreEqualThan(self:star(),8) and 1 or 0))>",,
211,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,211,
212,,0,14,,,{},,99,,<1225>,<2>,<self:flagZ1() and 1 or 0>,<>,<500>,,
221,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,221,
222,,1,1,,,{},,99,,<1311>,<1>,<self:flagZ2() and 1 or 0.6>,<>,<0>,,
223,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,,
231,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,231,
232,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,232,
233,,0,11,,,{},,99,,<1313;1316>,<3;1>,"<1;moreEqualThan(self:star(),11) and 1 or 0>",<>,<self:specialDamage()*(0.4+(skillLv(46) or 0)*0.002-0.002);(self:specialDamage()*(0.4+(skillLv(46) or 0)*0.002-0.002))*(self:flagZ3() and 2 or 1)>,,
234,,0,11,,,{},,99,,<>,<>,<1>,<>,<>,,
261,,1,1,selfForce | nodead,random(1),{},,99,,<1313>,<3>,<1>,<>,"<self:specialDamage()*(0.3+(skillLv(16,26,36) or 0)*0.002-0.002+0.1*(moreEqualThan(self:star(),8) and 1 or 0))>",,
262,,0,14,,,{},,99,,<1313>,<3>,<self:flagZ4() and 0.3 or 0>,<>,"<self:specialDamage()*(0.3+(skillLv(16,26,36) or 0)*0.002-0.002+0.1*(moreEqualThan(self:star(),8) and 1 or 0))>",,
311,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,311,
312,,0,14,,,{},,99,,<1225>,<2>,<self:flagZ1() and 1 or 0>,<>,<500>,,
321,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,321,
322,,1,1,,,{},,99,,<1311>,<1>,<self:flagZ2() and 1 or 0.6>,<>,<0>,,
323,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,,
331,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,331,
332,,1,1,,,{},,99,,<>,<>,<1>,<>,<>,332,
