变量名,_beizhu,name,name_tw,name_kr,name_en,name_vn,name_pt,name_th,feature,goto,unionlevel,openseq,roundKey,roundState,icon,bg,txt,txt_tw,txt_en,txt_kr,txt_vn,txt_pt,txt_th,sighid,startTime,startTimes,endTime,priority,serverday,reminder
默认值,"""""",,,,,,,,"""""","""""",,<1;2;3;4;5;6;7>,,,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",0,<>,2400,0,1,0
序号,系统名字,功能名,功能名,功能名,功能名,功能名,功能名,功能名,功能key,跳转,公会等级,开放周期序列,服务器round字段,根据服务器round状态判是否开启,系统图标,背景资源,文本说明,文本说明,文本说明,文本说明_韩,文本说明_韩,文本说明_韩,文本说明_韩,类型标识,开始时间,开始时间点，刷新判定,结束时间,显示优先级(大的优先显示),开服天数,提醒类型(0 :长显，1:一次提醒，2:多次提醒)
1,,元素挑戰,元素挑戰,엘리멘탈 챌린지,Elemental Challenge,Thử thách Nguyên tố,Desafio Elemental,การท้าทายธาตุ,cloneBattle,cloneBattle,,<1;2;3;4;5;6;7>,,,,,正在进行,正在進行,In progress,진행 중,Đang diễn ra,Em andamento,กำลังดำเนินการ,1,1200,<>,2400,1002,1,1
2,,公會紅包,公會紅包,길드 홍바오,Guild Red Packet,Bao lì xì Bang hội,Envelope Vermelho da Guilda,อั่งเปากิลด์,unionRedpacket,redpacket,2,<1;2;3;4;5;6;7>,,,,,开始发放,開始發放,Begin distribution,분배 시작,Bắt đầu phân phát,Começar distribuição,เริ่มแจกจ่าย,2,1,<>,2399,2000,1,1
3,,石英大會,石英大會,석영 대회,Indigo Plateau Conference,Hội nghị Cao nguyên Chàm,Conferência do Planalto Índigo,การประชุมที่ราบสูงอินดิโก,craft,craft,,<1;2;3;4;5;6;7>,,,,,开始报名,開始報名,Registration begins,등록 시작,Bắt đầu đăng ký,Inscrições abertas,เริ่มลงทะเบียน,3,1000,<>,1950,1001,1,1
4,,石英大會,石英大會,석영 대회,Indigo Plateau Conference,Hội nghị Cao nguyên Chàm,Conferência do Planalto Índigo,การประชุมที่ราบสูงอินดิโก,craft,craft,,<1;2;3;4;5;6;7>,,,,,火热进行,火熱進行,Hot,인기,Nóng,Quente,ยอดนิยม,4,2000,<>,2050,2,1,0
5,,公會戰,公會戰,길드전,Guild War,Chiến tranh Bang hội,Guerra de Guildas,สงครามกิลด์,unionFight,unionFight,4,<2;3;4;5;6>,,,,,开始报名,開始報名,Registration begins,등록 시작,Bắt đầu đăng ký,Inscrições abertas,เริ่มลงทะเบียน,5,930,<>,2050,1004,1,1
6,,公會戰,公會戰,길드전,Guild War,Chiến tranh Bang hội,Guerra de Guildas,สงครามกิลด์,unionFight,unionFight,4,<2;3;4;5;6>,,,,,火热进行,火熱進行,Hot,인기,Nóng,Quente,ยอดนิยม,6,2050,<>,2130,3,1,0
7,,跨服石英,跨服石英,크로스 서버 석영 대회,Cross-server Indigo Plateau Conference,Hội nghị Cao nguyên Chàm Liên server,Conferência do Planalto Índigo Inter-servidor,การประชุมที่ราบสูงอินดิโกข้ามเซิร์ฟเวอร์,crossCraft,crossCraft,,<1;5>,,,,,开始报名,開始報名,Registration begins,등록 시작,Bắt đầu đăng ký,Inscrições abertas,เริ่มลงทะเบียน,7,1000,<>,1850,5,1,1
8,,跨服石英,跨服石英,크로스 서버 석영 대회,Cross-server Indigo Plateau Conference,Hội nghị Cao nguyên Chàm Liên server,Conferência do Planalto Índigo Inter-servidor,การประชุมที่ราบสูงอินดิโกข้ามเซิร์ฟเวอร์,crossCraft,crossCraft,,<1;5>,,,,,火热进行,火熱進行,Hot,인기,Nóng,Quente,ยอดนิยม,8,1900,<>,1946,6,1,0
