变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,icon,headIcon,treeID,attrDesc,attrDesc_tw,attrDesc_en,attrDesc_vn,attrDesc_kr,attrDesc_pt,attrDesc_th,attrAddDesc1,attrAddDesc1_tw,attrAddDesc1_en,attrAddDesc1_vn,attrAddDesc1_kr,attrAddDesc1_pt,attrAddDesc1_th,attrAddDesc2,attrAddDesc2_tw,attrAddDesc2_en,attrAddDesc2_vn,attrAddDesc2_kr,attrAddDesc2_pt,attrAddDesc2_th,levelUp,preTalentID,preTalentLevel,roleLevel,costID,addType1,natureType1,damageRelation1,attrType1,attrNum1,addType2,natureType2,damageRelation2,attrType2,attrNum2
默认值,,,,,,,,,,,提升所有精灵的生命值、攻击力,提升所有精靈的生命值、攻擊力,提升所有精灵的生命值、攻击力,提升所有精灵的生命值、攻击力,提升所有精灵的生命值、攻击力,提升所有精灵的生命值、攻击力,提升所有精灵的生命值、攻击力,所有精灵生命值增加,所有精靈生命值增加,所有精灵生命值增加,所有精灵生命值增加,所有精灵生命值增加,所有精灵生命值增加,所有精灵生命值增加,所有精灵家攻击力增加,所有精靈家攻擊力增加,Attack power of all Pokémon increases,Tăng sức tấn công của tất cả Pokémon,모든 포켓몬의 공격력 증가,O poder de ataque de todos os Pokémon aumenta,เพิ่มพลังโจมตีของโปเกมอนทั้งหมด,10,,0,1,1,,,<>,,"""""",,,<>,,""""""
ID,名称,名称,名称,名称_越南,名称_韩,名称_韩,名称_韩,icon,headIcon,所属天赋树,属性说明,屬性說明,属性说明,属性说明_越南,属性说明_韩,属性说明_韩,属性说明_韩,属性加成说明1,屬性加成說明1,属性加成说明1,属性加成说明1_越南,属性加成说明1_韩,属性加成说明1_韩,属性加成说明1_韩,属性加成说明2,屬性加成說明2,属性加成说明2,属性加成说明2_越南,属性加成说明2_韩,属性加成说明2_韩,属性加成说明2_韩,上限等级,前置序列,前置天赋等级,战队等级要求,消耗序列id,加成类型1,针对4和5加成类型元素属性类型1-18针对6场景类型,针对5技能伤害加成<0;20>减免<1;4%>,属性类型1,属性数值1,加成类型2,针对4和5加成类型元素属性类型1-18针对6场景类型,针对5技能伤害加成<0;20>减免<1;4%>,属性类型2,属性数值2
100,基础天赋,基礎天賦,Base talent,Thiên phú Cơ bản,기초 특성,Talento Básico,พรสวรรค์พื้นฐาน,city/develop/talent/icon_smz.png,,1,提升所有精灵的生命和速度,提升所有精靈的生命和速度,Increase HP and Speed of all Pokémons,Tăng HP và Tốc độ của tất cả Pokémon,모든 포켓몬의 HP와 스피드를 증가시킨다,Aumenta o HP e a Velocidade de todos os Pokémons,เพิ่ม HP และความเร็วของโปเกมอนทั้งหมด,生命增加,生命增加,HP increases,Tăng HP,HP 증가,HP aumenta,เพิ่ม HP,速度增加,速度增加,Speed increases,Speed increases,스피드 증가,Speed increases,Speed increases,10,,0,25,1,3,,<>,1,200,3,,<>,13,10
101,基础天赋,基礎天賦,Base talent,Thiên phú Cơ bản,기초 특성,Talento Básico,พรสวรรค์พื้นฐาน,city/develop/talent/icon_sg.png,,1,提升所有精灵的物攻和特攻,提升所有精靈的物攻和特攻,Increase P.ATK and SP.ATK of all Pokémons,Tăng P.ATK và SP.ATK của tất cả Pokémon,모든 포켓몬의 공격 및 특수 공격을 강화한다,Aumenta o P.ATK e o SP.ATK de todos os Pokémons,เพิ่ม P.ATK และ SP.ATK ของโปเกมอนทั้งหมด,物攻增加,物攻增加,P.ATK increase,Tăng P.ATK,공격 증가,Aumento de P.ATK,เพิ่ม P.ATK,特攻增加,特攻增加,SP.ATK increases,SP.ATK increases,특수 공격 증가,SP.ATK increases,SP.ATK increases,10,100,7,25,1,3,,<>,7,50,3,,<>,8,50
102,基础天赋,基礎天賦,Base talent,Thiên phú Cơ bản,기초 특성,Talento Básico,พรสวรรค์พื้นฐาน,city/develop/talent/icon_sf.png,,1,提升所有精灵的物防和特防,提升所有精靈的物防和特防,Increase P.DEF and SP.DEF of all Pokémons,Tăng P.DEF và SP.DEF của tất cả Pokémon,모든 포켓몬의 방어 및 특수 방어를 강화한다,Aumenta o P.DEF e o SP.DEF de todos os Pokémons,เพิ่ม P.DEF และ SP.DEF ของโปเกมอนทั้งหมด,物防增加,物防增加,P.DEF increases,Tăng P.DEF,방어 증가,P.DEF aumenta,เพิ่ม P.DEF,特防增加,特防增加,SP.DEF increases,SP.DEF increases,특수 방어 증가,SP.DEF increases,SP.DEF increases,10,100,7,25,1,3,,<>,9,28,3,,<>,10,28
103,基础天赋,基礎天賦,Base talent,Thiên phú Cơ bản,기초 특성,Talento Básico,พรสวรรค์พื้นฐาน,city/develop/talent/icon_smz.png,,1,战斗中提升前排精灵的生命,戰鬥中提升前排精靈的生命,Increases HP for Pokémons at the front lines during battle,Tăng HP cho Pokémon ở hàng trước trong trận đấu,전투 중 전방 라인 포켓몬의 HP를 증가시킨다,Aumenta o HP de Pokémons na linha de frente durante a batalha,เพิ่ม HP ให้กับโปเกมอนในแถวหน้าขณะต่อสู้,生命增加,生命增加,HP increases,Tăng HP,HP 증가,HP aumenta,เพิ่ม HP,所有精灵家攻击力增加,所有寶可夢攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,102,7,25,1,1,,<>,1,1.00%,,,<>,,
104,基础天赋,基礎天賦,Base talent,Thiên phú Cơ bản,기초 특성,Talento Básico,พรสวรรค์พื้นฐาน,city/develop/talent/icon_sg.png,,1,战斗中提升后排精灵的物攻和特攻,戰鬥中提升後排精靈的物攻和特攻,Increases P.ATK and SP.ATK of Pokémons at the back lines during battle,Tăng P.ATK và SP.ATK của Pokémon ở hàng sau trong trận đấu,전투 중 후방 라인 포켓몬의 공격 및 특수 공격을 강화한다,Aumenta o P.ATK e o SP.ATK de Pokémons na linha de trás durante a batalha,เพิ่ม P.ATK และ SP.ATK ของโปเกมอนในแถวหลังขณะต่อสู้,物攻增加,物攻增加,P.ATK increase,Tăng P.ATK,공격 증가,Aumento de P.ATK,เพิ่ม P.ATK,特攻增加,特攻增加,SP.ATK increases,SP.ATK increases,특수 공격 증가,SP.ATK increases,SP.ATK increases,10,101,7,25,1,2,,<>,7,1.00%,3,,<>,8,1.00%
105,基础天赋,基礎天賦,Base talent,Thiên phú Cơ bản,기초 특성,Talento Básico,พรสวรรค์พื้นฐาน,city/develop/talent/icon_shjc.png,,1,战斗中提升后排精灵的伤害加成,戰鬥中提升後排精靈的傷害加成,Increases damage bonus for Pokémons at the back lines during battle,Tăng thưởng sát thương cho Pokémon ở hàng sau trong trận đấu,전투 중 후방 라인 포켓몬의 피해 보너스를 증가시킨다,Aumenta o bônus de dano de Pokémons na linha de trás durante a batalha,เพิ่มโบนัสความเสียหายให้กับโปเกมอนในแถวหลังขณะต่อสู้,伤害加成增加,傷害加成增加,Damage bonus increases,Tăng thưởng sát thương,피해 보너스 증가,Bônus de dano aumenta,เพิ่มโบนัสความเสียหาย,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,104,7,25,1,2,,<>,22,100,,,<>,,
106,基础天赋,基礎天賦,Base talent,Thiên phú Cơ bản,기초 특성,Talento Básico,พรสวรรค์พื้นฐาน,city/develop/talent/icon_shjm.png,,1,战斗中提升前排精灵的伤害减免,戰鬥中提升前排精靈的傷害減免,Increases damage reduction for Pokémons at the front lines during battle,Tăng giảm sát thương cho Pokémon ở hàng trước trong trận đấu,전투 중 전방 라인 포켓몬의 피해 감소를 증가시킨다,Aumenta a redução de dano de Pokémons na linha de frente durante a batalha,เพิ่มการลดความเสียหายให้กับโปเกมอนในแถวหน้าขณะต่อสู้,伤害减免增加,傷害減免增加,Damage reduction increases,Tăng giảm sát thương,피해 감소 증가,Redução de dano aumenta,เพิ่มการลดความเสียหาย,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,103,7,25,1,1,,<>,23,100,,,<>,,
200,进阶天赋,進階天賦,Upgrade talent,Thiên phú Cơ bản,진급 특성,Talento Avançado,พรสวรรค์ขั้นสูง,city/develop/talent/icon_smz.png,,2,提升所有精灵的基础生命百分比,提升所有精靈的基礎生命百分比,Increase base HP % of all Pokémons,Tăng % HP cơ bản của tất cả Pokémon,모든 포켓몬의 기본 HP 퍼센티지를 증가시킨다,Aumenta o % de HP base de todos os Pokémons,เพิ่ม % HP พื้นฐานของโปเกมอนทั้งหมด,生命增加,生命增加,HP increases,Tăng HP,HP 증가,HP aumenta,เพิ่ม HP,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,,0,45,2,3,,<>,1,0.50%,,,<>,,
