变量名,costTalent1,costGold1,costTalent2,costGold2,costTalent3,costGold3,costTalent4,costGold4,costTalent5,costGold5,costTalent6,costGold6,costTalent7,costGold7,costTalent8,costGold8,costTalent9,costGold9,costTalent10,costGold10,costTalent11,costGold11,costTalent12,costGold12
默认值,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
等级,消耗天赋点1,消耗金币1,消耗天赋点2,消耗金币2,消耗天赋点3,消耗金币3,消耗天赋点4,消耗金币4,消耗天赋点5,消耗金币5,消耗天赋点6,消耗金币6,消耗天赋点7,消耗金币7,消耗天赋点8,消耗金币8,消耗天赋点9,消耗金币9,消耗天赋点10,消耗金币10,消耗天赋点11,消耗金币11,消耗天赋点12,消耗金币12
0,2,5000,2,20000,3,20000,4,20000,3,30000,4,30000,5,30000,6,30000,4,60000,5,60000,6,60000,6,600000
1,2,10000,2,20000,3,20000,4,20000,3,30000,4,30000,5,30000,6,30000,4,120000,5,120000,6,120000,6,600000
2,2,20000,2,30000,3,30000,4,30000,3,60000,4,60000,5,60000,6,60000,4,200000,5,200000,6,200000,6,600000
3,3,30000,3,40000,4,40000,5,40000,4,80000,5,80000,6,80000,7,80000,5,300000,6,300000,7,300000,7,720000
4,3,30000,3,50000,4,50000,5,50000,4,100000,5,100000,6,100000,7,100000,5,400000,6,400000,7,400000,7,720000
5,4,40000,4,60000,5,60000,6,60000,5,120000,6,120000,7,120000,8,120000,6,500000,7,500000,8,500000,7,720000
6,4,40000,4,80000,5,80000,6,80000,5,160000,6,160000,7,160000,8,160000,6,600000,7,600000,8,600000,8,840000
7,5,60000,5,100000,6,100000,7,100000,6,200000,7,200000,8,200000,9,200000,7,700000,8,700000,9,700000,8,840000
8,5,80000,5,120000,6,120000,7,120000,6,250000,7,250000,8,250000,9,250000,7,800000,8,800000,9,800000,8,840000
9,6,100000,6,150000,7,150000,8,150000,7,300000,8,300000,9,300000,10,300000,8,1000000,9,1000000,10,1000000,9,960000
10,6,100000,6,150000,7,150000,8,150000,7,300000,8,300000,9,300000,10,300000,8,1000000,9,1000000,10,1000000,9,960000
11,7,200000,7,300000,8,300000,10,300000,8,600000,10,600000,11,600000,13,600000,10,1500000,11,1500000,13,1500000,11,2960000
12,8,300000,8,450000,9,450000,12,450000,9,900000,12,900000,13,900000,16,900000,12,2000000,13,2000000,16,2000000,13,4960000
13,9,400000,9,600000,10,600000,14,600000,10,1200000,14,1200000,15,1200000,19,1200000,14,2500000,15,2500000,19,2500000,15,6960000
14,10,500000,10,750000,11,750000,16,750000,11,1500000,16,1500000,17,1500000,22,1500000,16,3000000,17,3000000,22,3000000,17,8960000
15,11,600000,11,900000,12,900000,18,900000,12,1800000,18,1800000,19,1800000,25,1800000,18,3500000,19,3500000,25,3500000,19,10960000
16,12,700000,12,1050000,13,1050000,20,1050000,13,2100000,20,2100000,21,2100000,28,2100000,20,4000000,21,4000000,28,4000000,21,12960000
17,13,800000,13,1200000,14,1200000,22,1200000,14,2400000,22,2400000,23,2400000,31,2400000,22,4500000,23,4500000,31,4500000,23,14960000
