变量名,huodongID,_beizhu,rank,award,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th
默认值,,,,{},无奖励吗,无奖励吗,无奖励吗,Phần thưởng Boss Thế Giới,无奖励吗,Recompensas do Chefe Mundial,รางวัลบอสโลก
ID,活动版本号,备注,名次内,排行奖励,奖励描述,奖励描述,奖励描述,奖励描述,奖励描述_韩,奖励描述_韩,奖励描述_韩
1,1001,天赋点,1,{talent_point=10;gold=250000;14=30;rmb=1800},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
2,1001,天赋点,2,{talent_point=8;gold=200000;14=25;rmb=1500},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
3,1001,天赋点,3,{talent_point=6;gold=160000;14=20;rmb=1300},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
4,1001,天赋点,6,{talent_point=5;gold=140000;14=15;rmb=1250},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
5,1001,天赋点,10,{talent_point=4;gold=120000;14=12},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
6,1001,天赋点,30,{talent_point=3;gold=100000;14=10},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
7,1001,天赋点,999,{talent_point=2;gold=90000;14=8},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
,,,,,,,,,,,
101,1002,携带,1,{2103=20;gold=250000;14=30;rmb=1800},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
102,1002,携带,2,{2103=18;gold=200000;14=25;rmb=1500},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
103,1002,携带,3,{2103=15;gold=160000;14=20;rmb=1300},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
104,1002,携带,6,{2103=10;gold=140000;14=15;rmb=1250},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
105,1002,携带,10,{2103=5;gold=120000;14=12},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
106,1002,携带,30,{2103=4;gold=100000;14=10},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
107,1002,携带,999,{2103=4;gold=90000;14=8},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
,,,,,,,,,,,
201,1003,潜能,1,{850=360;gold=250000;14=30;rmb=1800},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
202,1003,潜能,2,{850=300;gold=200000;14=25;rmb=1500},世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
