变量名,huodongID,taskParam,award
默认值,0,9999,{}
ID,活动版本ID,目标数量,任务奖励
1,1001,5,{519=1;2315=1;rmb=50;gold=200000}
2,1001,10,{502=3;519=2;rmb=50;gold=200000}
3,1001,20,{519=2;rmb=100;2016=1;gold=300000}
4,1001,30,{519=2;501=1;rmb=100;gold=300000}
5,1001,50,{519=3;gold=500000;rmb=150;2405=1}
11,1002,5,{gold=200000;2327=1;rmb=50;519=1}
12,1002,10,{502=3;519=2;rmb=50;gold=200000}
13,1002,20,{519=2;gold=300000;rmb=100;2029=1}
14,1002,30,{519=2;501=1;rmb=100;gold=300000}
15,1002,50,{519=3;2418=1;rmb=150;gold=500000}
