变量名,huodongID,rechargeID,icon,name,awards,buyTimes,optionalAwards1,optionalAwards2,optionalAwards3,optionalAwards4
默认值,,0,"""""","""""",{},0,<>,<>,<>,<>
ID,活动版本号,对应的兑换ID,礼包资源图,优惠礼包,固定奖励（可为空）,限购次数,自选槽位配置1,自选槽位配置2,自选槽位配置3,自选槽位配置4
1,1001,101,,1元订制礼包,{},1,<{53=20};{111=10};{rmb=30};{card={id=11}}>,<>,<>,<>
2,1001,102,,6元订制礼包,{},2,<{602=10};{925=1};{rmb=30};{card={id=11}}>,<>,<>,<>
3,1001,103,,12元订制礼包,{rmb=200},1,<{602=10};{925=1};{rmb=30};{card={id=11}}>,<>,<>,<>
4,1001,104,,18元订制礼包,{rmb=300},2,<{20001=5};{925=1};{rmb=30};{card={id=11}}>,<>,<>,<>
5,1001,105,,25元订制礼包,{},1,<{20001=5};{925=1};{rmb=30};{card={id=11}}>,<>,<>,<>
6,1001,106,,30元订制礼包,{},2,<{20641=10};{20721=10};{20731=10};{20741=10}>,<{coin7=300};{coin8=300};{coin14=300};{coin1=300}>,<>,<>
7,1001,107,,60元订制礼包,{rmb=600},1,<{card={id=1031}};{card={id=1081}};{card={id=1171}};{card={id=1291}}>,<>,<>,<>
8,1001,108,,98元订制礼包,{},2,<{card={id=1221}};{card={id=1231}};{card={id=1241}}>,<{coin7=1000};{coin8=1000};{coin14=1000};{coin1=1000}>,<{53=90};{11=90};{100=60};{523=40}>,<>
9,1001,109,,128元订制礼包,{rmb=1280},1,<{card={id=1221}};{card={id=1231}};{card={id=1241}}>,<>,<>,<>
10,1001,110,,168元订制礼包,{rmb=1680},2,<{502=50};{521=20}>,<{gold=1000000};{coin6=1000};{coin10=1000};{coin11=1000}>,<>,<>
11,1001,111,,198元订制礼包,{967=20},1,<{602=100};{603=60}>,<{6231=2};{6232=2};{6233=2};{6234=2}>,<>,<>
12,1001,112,,328元订制礼包,{},2,<{502=100};{521=50}>,<{coin7=5000};{coin8=5000};{coin14=5000};{coin1=5000}>,<{53=300};{11=300};{100=100};{523=100}>,<{20641=50};{20721=50};{20731=50};{20741=50}>
13,1001,113,,648元订制礼包,{},1,<{card={id=1971}};{card={id=1961}};{card={id=1981}}>,<{coin7=10000};{coin8=10000};{coin14=10000};{coin1=10000}>,<>,<>
101,1002,102,,6元订制礼包,{},30,<{gold=5000000};{rmb=10000};{452=200};{9100=1};{2153=1}>,<{500=10};{521=20};{539=10};{16=10};{930=50}>,<{2103=50};{850=1000};{851=400};{4000=1000};{9016=2}>,<{124=50};{19=5};{6059=1};{501=5};{529=1000};{151=500};{152=10}>
102,1002,106,,30元订制礼包,{},30,<{gold=25000000};{rmb=50000};{452=1000};{9100=5};{2153=3}>,<{500=50};{521=100};{539=50};{16=50};{930=250}>,<{2103=250};{850=5000};{851=1000};{4000=5000};{9016=10}>,<{124=250};{19=25};{6059=5};{501=25};{529=5000};{151=2500};{152=50}>
103,1002,107,,60元订制礼包,{},30,<{gold=50000000};{rmb=100000};{452=2000};{9100=10};{2153=6}>,<{500=100};{521=200};{539=100};{16=100};{930=500}>,<{2103=500};{850=10000};{851=2000};{4000=10000};{9016=20}>,<{124=500};{19=50};{6059=10};{501=50};{529=10000};{151=5000};{152=100}>
104,1002,108,,98元订制礼包,{},20,<{gold=100000000};{rmb=200000};{452=4000};{6071=2000};{9100=20};{2153=12}>,<{500=200};{521=400};{539=200};{16=200};{930=1000}>,<{2103=1000};{850=20000};{851=4000};{4000=20000};{9016=40}>,<{124=1000};{19=100};{6059=20};{501=100};{529=20000};{151=10000};{152=200}>
105,1002,111,,198元订制礼包,{},20,<{gold=200000000};{rmb=400000};{452=8000};{6071=4000};{9100=40};{2153=24}>,<{500=400};{521=800};{539=400};{16=400};{6199=1};{930=2000}>,<{2103=2000};{850=40000};{851=8000};{4000=40000};{9016=80};{2192=1}>,<{124=2000};{19=200};{6059=40};{501=200};{529=40000};{151=20000};{152=400};{2191=1};{6915=1}>
106,1002,112,,328元订制礼包,{},20,<{gold=400000000};{rmb=800000};{452=16000};{6071=8000};{9100=80};{2153=48}>,<{500=800};{521=1600};{539=800};{16=800};{6199=2};{930=4000}>,<{2103=4000};{850=80000};{851=16000};{4000=80000};{9016=160};{2192=2}>,<{124=4000};{19=400};{6059=80};{501=400};{529=80000};{151=40000};{152=800};{2191=2};{6915=2}>
107,1002,113,,648元订制礼包,{},10,<{gold=800000000};{rmb=1600000};{452=32000};{6071=16000};{9100=160};{2153=100}>,<{500=1600};{521=3200};{539=1600};{16=1600};{6199=4};{930=8000}>,<{2103=8000};{850=160000};{851=32000};{4000=160000};{9016=320};{2192=4}>,<{124=8000};{19=800};{6059=160};{501=800};{529=160000};{151=80000};{152=1600};{2191=4};{6915=4}>
