变量名,huodongID,taskType,taskParam,taskSpecialParam,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,award,goTo
默认值,1001,0,9999,{},"""""","""""","""""","""""","""""","""""","""""",{},""""""
ID,活动版本ID,任务类型,任务参数,任务特殊参数,描述,描述,描述,描述_越南,描述_韩,描述_韩,描述_韩,奖励,跳转目标
1,1001,17,1,{},今日登陆,今日登錄,Login today,Đăng nhập hôm nay,오늘 로그인,Login de hoje,ล็อกอินวันนี้,{8112=3},
2,1001,55,5,{},公会捐献5次,公會捐獻5次,Donate to guild 5 times,Hiến tặng cho hội 5 lần,길드 기부 5회,Doar à guilda 5 vezes,บริจาคให้กิลด์ 5 ครั้ง,{8112=1},union
3,1001,41,5,{},竞技场累计战斗5次,競技場累計戰鬥5次,Battle in the arena 5 times in total,Chiến đấu tổng cộng 5 lần tại Đấu Trường,아레나 총 전투 5회,Lutar 5 vezes na arena no total,ต่อสู้ในอารีนารวม 5 ครั้ง,{8112=1},arena
4,1001,86,1,{1=4},完成S级以上的派遣1次,完成S級以上的派遣1次,Complete 1 S-level or above dispatch,Hoàn thành 1 nhiệm vụ phái S trở lên,S등급 이상 파견 1회 완료,Concluir 1 envio de nível S ou superior,ทำภารกิจส่งระดับ S ขึ้นไป 1 ครั้ง,{8112=1},dispatchTask
5,1001,30,15,{},挑战精英关卡次数15次,挑戰精英關卡次數15次,Challenge elite stage 15 times,Thách đấu ải tinh anh 15 lần,엘리트 스테이지 15회 도전,Desafiar estágio de elite 15 vezes,ท้าทายด่านอีลิท 15 ครั้ง,{8112=1},20000
6,1001,26,2,{},购买体力2次,購買體力2次,Buy stamina 2 times,Mua thể lực 2 lần,스태미나 2회 구매,Comprar energia 2 vezes,ซื้อพลังงาน 2 ครั้ง,{8112=1},gainStamina
7,1001,21,200,{},累计消费200钻,累計消費200鑽,Spend a total of 200 diamonds,Tiêu hao tích lũy 200 kim cương,누적 200다이아 소비,Gastar um total de 200 diamantes,ใช้เพชรรวม 200 เม็ด,{8112=2},
10,1001,0,1,{},累计触发获得宝箱1次,累計觸發獲得寶箱1次,Trigger to get a treasure chest 1 time in total,Tổng cộng kích hoạt rương báu 1 lần,보물 상자 1회 획득 트리거,Ativar baú do tesouro 1 vez no total,กระตุ้นรับหีบสมบัติ 1 ครั้ง,{27001=5;6393=15;gold=300000;5000=50},
11,1001,0,2,{},累计触发获得宝箱2次,累計觸發獲得寶箱2次,Trigger to get a treasure chest 2 times in total,Tổng cộng kích hoạt rương báu 2 lần,보물 상자 2회 획득 트리거,Ativar baú do tesouro 2 vezes no total,กระตุ้นรับหีบสมบัติ 2 ครั้ง,{930=50;6393=15;27001=5;gold=300000},
12,1001,0,4,{},累计触发获得宝箱4次,累計觸發獲得寶箱4次,Trigger to get a treasure chest 4 times in total,Tổng cộng kích hoạt rương báu 4 lần,보물 상자 4회 획득 트리거,Ativar baú do tesouro 4 vezes no total,กระตุ้นรับหีบสมบัติ 4 ครั้ง,{27001=5;6393=15;16=15;gold=300000},
13,1001,0,7,{},累计触发获得宝箱7次,累計觸發獲得寶箱7次,Trigger to get a treasure chest 7 times in total,Tổng cộng kích hoạt rương báu 7 lần,보물 상자 7회 획득 트리거,Ativar baú do tesouro 7 vezes no total,กระตุ้นรับหีบสมบัติ 7 ครั้ง,{850=100;6393=15;27001=5;gold=300000},
14,1001,0,10,{},累计触发获得宝箱10次,累計觸發獲得寶箱10次,Trigger to get a treasure chest 10 times in total,Tổng cộng kích hoạt rương báu 10 lần,보물 상자 10회 획득 트리거,Ativar baú do tesouro 10 vezes no total,กระตุ้นรับหีบสมบัติ 10 ครั้ง,{27001=5;6393=15;902=25;gold=300000},
15,1001,0,13,{},累计触发获得宝箱13次,累計觸發獲得寶箱13次,Trigger to get a treasure chest 13 times in total,Tổng cộng kích hoạt rương báu 13 lần,보물 상자 13회 획득 트리거,Ativar baú do tesouro 13 vezes no total,กระตุ้นรับหีบสมบัติ 13 ครั้ง,{27001=5;6393=15;gold=300000;5000=50},
16,1001,0,16,{},累计触发获得宝箱16次,累計觸發獲得寶箱16次,Trigger to get a treasure chest 16 times in total,Tổng cộng kích hoạt rương báu 16 lần,보물 상자 16회 획득 트리거,Ativar baú do tesouro 16 vezes no total,กระตุ้นรับหีบสมบัติ 16 ครั้ง,{930=50;6393=15;27001=5;gold=300000},
17,1001,0,19,{},累计触发获得宝箱19次,累計觸發獲得寶箱19次,Trigger to get a treasure chest 19 times in total,Tổng cộng kích hoạt rương báu 19 lần,보물 상자 19회 획득 트리거,Ativar baú do tesouro 19 vezes no total,กระตุ้นรับหีบสมบัติ 19 ครั้ง,{27001=5;6393=15;16=15;gold=300000},
18,1001,0,22,{},累计触发获得宝箱22次,累計觸發獲得寶箱22次,Trigger to get a treasure chest 22 times in total,Tổng cộng kích hoạt rương báu 22 lần,보물 상자 22회 획득 트리거,Ativar baú do tesouro 22 vezes no total,กระตุ้นรับหีบสมบัติ 22 ครั้ง,{850=50;6393=15;27001=5;gold=300000},
19,1001,0,25,{},累计触发获得宝箱25次,累計觸發獲得寶箱25次,Trigger to get a treasure chest 25 times in total,Tổng cộng kích hoạt rương báu 25 lần,보물 상자 25회 획득 트리거,Ativar baú do tesouro 25 vezes no total,กระตุ้นรับหีบสมบัติ 25 ครั้ง,{27001=5;6393=15;902=25;gold=300000},
