变量名,huodongID,belongPart,_beizhu,icon,showType,res,zOrder,isDefault,lookPos
默认值,0,,"""""","""""",txt,"""""",1,FALSE,{x=0;y=0}
ID,活动版本ID,部位，10000之后是默认装饰的部位ID,备注,造型图标,显示类型,资源,资源层级,是否默认,各个内容的场景位置偏移
1,101030,1,,activity/snowman/icon_r_gloves.png,pic,activity/snowman/img_h_xr_shoutao.png,35,TRUE,{y=-61;x=7}
2,101030,1,,activity/snowman/icon_y_gloves.png,pic,activity/snowman/img_xr_shoutao.png,35,FALSE,{y=-61;x=7}
3,101030,1,,activity/snowman/icon_g_gloves.png,pic,activity/snowman/img_lv_xr_shoutao.png,35,FALSE,{y=-61;x=7}
4,101030,1,,activity/snowman/icon_b_gloves.png,pic,activity/snowman/img_lan_xr_shoutao.png,35,FALSE,{y=-61;x=7}
5,101030,2,,activity/snowman/icon_r_scarf.png,pic,activity/snowman/img_h_xr_weijin.png,35,TRUE,{y=-1;x=24}
6,101030,2,,activity/snowman/icon_y_scarf.png,pic,activity/snowman/img_xr_weijin.png,35,FALSE,{y=-1;x=24}
7,101030,2,,activity/snowman/icon_g_scarf.png,pic,activity/snowman/img_lv_xr_weijin.png,35,FALSE,{y=-1;x=24}
8,101030,2,,activity/snowman/icon_b_scarf.png,pic,activity/snowman/img_lan_xr_weijin.png,35,FALSE,{y=-1;x=24}
9,101030,3,,activity/snowman/icon_r_hat.png,pic,activity/snowman/img_h_xr_maozi.png,35,TRUE,{y=141;x=16}
10,101030,3,,activity/snowman/icon_y_hat.png,pic,activity/snowman/img_xr_maozi.png,35,FALSE,{y=141;x=16}
11,101030,3,,activity/snowman/icon_g_hat.png,pic,activity/snowman/img_lv_maozi.png,35,FALSE,{y=141;x=16}
12,101030,3,,activity/snowman/icon_b_hat.png,pic,activity/snowman/img_lab_xr_maozi.png,35,FALSE,{y=141;x=16}
13,101030,10000,,,spine,christmassnowman/shengdanshu_shu.skel,20,FALSE,{y=-127;x=-124}
14,101030,10001,,,spine,christmassnowman/shengdanshu_riyue.skel,20,FALSE,{y=-127;x=-124}
17,101030,10002,,,spine,christmassnowman/shengdanshu_dengpai.skel,40,FALSE,{y=-153;x=-140}
20,101030,10003,,,spine,christmassnowman/shengdanshu_dengtiao.skel,15,FALSE,{y=-128;x=-126}
101,10001,1,,activity/snowman/icon_r_gloves.png,pic,activity/snowman/img_h_xr_shoutao.png,35,TRUE,{y=-61;x=7}
102,10001,1,,activity/snowman/icon_y_gloves.png,pic,activity/snowman/img_xr_shoutao.png,35,FALSE,{y=-61;x=7}
103,10001,1,,activity/snowman/icon_g_gloves.png,pic,activity/snowman/img_lv_xr_shoutao.png,35,FALSE,{y=-61;x=7}
104,10001,1,,activity/snowman/icon_b_gloves.png,pic,activity/snowman/img_lan_xr_shoutao.png,35,FALSE,{y=-61;x=7}
105,10001,2,,activity/snowman/icon_r_scarf.png,pic,activity/snowman/img_h_xr_weijin.png,35,TRUE,{y=-1;x=24}
106,10001,2,,activity/snowman/icon_y_scarf.png,pic,activity/snowman/img_xr_weijin.png,35,FALSE,{y=-1;x=24}
107,10001,2,,activity/snowman/icon_g_scarf.png,pic,activity/snowman/img_lv_xr_weijin.png,35,FALSE,{y=-1;x=24}
108,10001,2,,activity/snowman/icon_b_scarf.png,pic,activity/snowman/img_lan_xr_weijin.png,35,FALSE,{y=-1;x=24}
109,10001,3,,activity/snowman/icon_r_hat.png,pic,activity/snowman/img_h_xr_maozi.png,35,TRUE,{y=141;x=16}
110,10001,3,,activity/snowman/icon_y_hat.png,pic,activity/snowman/img_xr_maozi.png,35,FALSE,{y=141;x=16}
111,10001,3,,activity/snowman/icon_g_hat.png,pic,activity/snowman/img_lv_maozi.png,35,FALSE,{y=141;x=16}
112,10001,3,,activity/snowman/icon_b_hat.png,pic,activity/snowman/img_lab_xr_maozi.png,35,FALSE,{y=141;x=16}
113,10001,10000,,,spine,christmassnowman/shengdanshu_shu.skel,20,FALSE,{y=-127;x=-124}
114,10001,10001,,,spine,christmassnowman/shengdanshu_riyue.skel,20,FALSE,{y=-127;x=-124}
117,10001,10002,,,spine,christmassnowman/shengdanshu_dengpai.skel,40,FALSE,{y=-153;x=-140}
120,10001,10003,,,spine,christmassnowman/shengdanshu_dengtiao.skel,15,FALSE,{y=-128;x=-126}
