变量名,huodongID,costMap,items,exchangeTimes,limit,desc,desc_tw,desc_en
默认值,0,{},{},0,{},"""""","""""",""""""
ID,活动版本ID,消耗道具,兑换道具,兑换限制次数0无限,兑换限制(1-vip;2-等级;3-图鉴;4-头像;5-皮肤),描述,描述,描述
1,10001,{rmb=11;gold=100},{gold=1},10,{},测试活动,,
2,10001,{rmb=13;gold=100},{gold=1},5,{},测试活动,,
3,10001,{rmb=13;gold=100},{gold=1},4,{},测试活动,,
4,10001,{rmb=15;gold=100},{gold=1},4,{},测试活动,,
5,10001,{rmb=16;gold=100},{gold=1},4,{},测试活动,,
6,10001,{rmb=18;gold=100},{gold=1},4,{},测试活动,,
7,10001,{gold=109},{gold=1},4,{},测试活动,,
8,10001,{gold=111},{gold=1},4,{},测试活动,,
11,10002,{rmb=11;gold=100},{gold=1},10,{},测试活动,,
12,10002,{rmb=13;gold=100},{gold=1},5,{},测试活动,,
13,10002,{rmb=13;gold=100},{gold=1},4,{},测试活动,,
14,10002,{rmb=15;gold=100},{gold=1},4,{},测试活动,,
15,10002,{rmb=16;gold=100},{gold=1},4,{},测试活动,,
16,10002,{rmb=18;gold=100},{gold=1},4,{},测试活动,,
17,10002,{gold=109},{gold=1},4,{},测试活动,,
18,10002,{gold=111},{gold=1},4,{},测试活动,,
101,1001,{6321=1},{2300=1},1,{4=900},圣诞节专属头像,,
102,1001,{6321=10},{2008=1},1,{},圣诞节专属称号框,,
103,1001,{6321=10},{2400=1},1,{},圣诞节称号,,
104,1001,{6321=10},{talent_point=2},3,{},天赋点*2,,
105,1001,{6321=1},{515=1},5,{},体力药水(中)*1,,
106,1001,{6321=1},{502=1},8,{},万能升星碎片*1,,
107,1001,{6321=1},{501=1},3,{},觉醒合金*1,,
108,1001,{6321=1},{rmb=388},1,{},钻石*388,,
109,1001,{6321=1},{519=10},1,{},抽卡券*10,,
110,1001,{6321=1},{503=10},1,{},饰品钥匙*5,,
111,1001,{6321=1},{520=5},1,{},探险器抽卡*5,,
112,1001,{6321=1},{gold=100000},100,{},金币*10w,,
113,1001,{6321=1},{930=8},100,{},晶石盒子*5,,
114,1001,{6321=10},{2102=2},100,{},蓝携带强化*2,,
115,1001,{6321=10},{5000=8},100,{},能量药剂*5,,
116,1001,{6321=100},{902=1},100,{},紫色好感度礼物*1,,
117,1001,{6321=1},{850=20},100,{},蓝色潜能石*30,,
118,1001,{6321=1000},{8000=1},1,{5=101},几何雪花·圣诞魔影,,
119,1001,{6321=1000},{8008=1},1,{5=105},街头拳手·巨钳螳螂,,
120,1001,{6321=500},{card={id=11}},1,{3=11},小火龙,,
121,1001,{6321=20},{2012=1},1,{},五一头像框*1,,
122,1001,{6321=20},{2403=1},1,{},五一称号*1,,
123,1001,{6321=5},{521=1},100,{},神兽万能碎片*1,,
124,1001,{6321=3},{602=1},100,{},银项链*1,,
125,1001,{6321=3},{2103=2},100,{},紫强化*1,,
126,1001,{6321=3},{851=8},100,{},紫色潜能石*8,,
127,1001,{6321=2},{850=20},100,{},蓝色潜能石*20,,
128,1001,{6321=2},{5000=5},100,{},晶石盒子*5,,
129,1001,{6321=2},{930=5},100,{},能量药剂*5,,
130,1001,{6321=2},{gold=50000},100,{},金币*5W,,
131,1001,{6321=1},{59002=3},100,{},中级Z觉醒碎片,,
132,1001,{6321=4},{59003=4},50,{},高级Z觉醒碎片,,
133,1001,{6321=3},{501=1},10,{},饰品升星道具,,
134,1001,{6321=5},{521=2},120,{},神兽万能碎片,,
135,1001,{6321=1000},{6120=1},1,{},最老四个橙色携带道具宝箱,,
136,1001,{6321=1},{121=1},10,{},洗练核心,,
137,1001,{6321=5},{23631=4},100,{3=3631},蒂安希碎片,,
138,1001,{6321=5},{21261=4},100,{3=1261},洛奇亚碎片,,
139,1001,{6321=5},{21961=4},100,{3=1961},盖欧卡碎片,,
140,1001,{6321=5},{22431=4},100,{3=2431},达克莱伊碎片,,
141,1001,{6321=5},{22381=4},100,{3=2381},雷吉奇卡斯碎片,,
142,1001,{6321=5},{22351=4},100,{3=2351},帝牙卢卡碎片,,
143,1001,{6321=5},{22361=4},100,{3=2361},帕路奇亚碎片,,
144,1001,{6321=5},{22391=4},100,{3=2391},骑拉帝纳碎片,,
145,1001,{6321=1},{gold=300000},100,{},金币,,
146,1001,{6321=1},{870=10},50,{},古旧突破材料礼袋,,
147,1001,{6321=1},{539=1},50,{},古旧突破材料礼袋,,
201,1002,{2153=100},{gold=1},1,{},,,
202,1002,{500=1600},{gold=1},1,{},,,
203,1002,{4000=160000},{gold=1},1,{},,,
204,1002,{6059=160},{gold=1},1,{},,,
1001,10101,{rmb=100},{20391=3},2,{},鬼斯,,
1002,10101,{rmb=100},{20491=3},2,{},独角犀牛,,
1003,10101,{rmb=100},{20571=3},2,{},飞天螳螂,,
1004,10101,{rmb=100},{20631=3},2,{},暴鲤龙,,
1005,10101,{rmb=100},{20721=3},2,{},急冻鸟,,
1006,10101,{rmb=100},{20771=3},2,{},梦幻,,
1007,10101,{rmb=100},{21081=3},2,{},狃拉,,
1008,10101,{rmb=100},{21221=3},2,{},雷公,,
1009,10101,{rmb=100},{21251=3},2,{},幼基拉斯,,
1010,10101,{rmb=100},{21421=3},2,{},懒人獭,,
1011,10101,{rmb=100},{21841=3},2,{},阿勃梭鲁,,
1012,10101,{rmb=100},{23021=3},2,{},几何雪花,,
1013,10101,{rmb=100},{23301=3},2,{},呱呱泡蛙,,
1014,10101,{rmb=100},{23351=3},2,{},花蓓蓓,,
1015,10101,{rmb=100},{21891=3},2,{},宝贝龙碎片,,
1016,10101,{rmb=100},{22241=3},2,{},利欧路碎片,,
1017,10101,{rmb=100},{21931=3},2,{},雷吉斯奇鲁碎片,,
1018,10101,{rmb=100},{21911=3},2,{},雷吉洛克碎片,,
1021,10102,{rmb=100},{20261=3},2,{},凯西碎片,,
1022,10102,{rmb=100},{20401=3},2,{},大岩蛇碎片,,
1023,10102,{rmb=100},{21231=3},2,{},炎帝碎片,,
1024,10102,{rmb=100},{20241=3},2,{},卡蒂狗碎片,,
1025,10102,{rmb=100},{20741=3},2,{},火焰鸟碎片,,
