变量名,serverOpenDays,fightPointLimit,vipLimit
默认值,,0,0
ID,开服天数,战力限制,VIP限制
1,1,80000,11
2,2,80000,11
3,3,80000,11
4,4,80000,11
5,5,80000,11
6,6,80000,11
7,7,80000,11
8,8,80000,11
9,9,80000,11
10,10,80000,11
11,11,90000,11
12,12,90000,11
13,13,90000,11
14,14,90000,11
15,15,90000,11
16,16,90000,11
17,17,90000,11
18,18,90000,11
19,19,90000,11
20,20,90000,11
21,21,100000,11
22,22,100000,11
23,23,100000,11
24,24,100000,11
25,25,100000,11
26,26,100000,11
27,27,100000,11
28,28,100000,11
29,29,100000,11
30,30,100000,11
31,31,110000,11
32,32,110000,11
33,33,110000,11
34,34,110000,11
35,35,110000,11
36,36,110000,11
37,37,110000,11
38,38,110000,11
39,39,110000,11
40,40,110000,11
41,41,120000,11
42,42,120000,11
43,43,120000,11
44,44,120000,11
45,45,120000,11
46,46,120000,11
47,47,120000,11
48,48,120000,11
49,49,120000,11
50,50,120000,11
51,51,130000,11
52,52,130000,11
53,53,130000,11
54,54,130000,11
55,55,130000,11
56,56,130000,11
57,57,130000,11
58,58,130000,11
59,59,130000,11
60,60,130000,11
61,61,140000,11
62,62,140000,11
63,63,140000,11
64,64,140000,11
65,65,140000,11
66,66,140000,11
67,67,140000,11
68,68,140000,11
69,69,140000,11
70,70,140000,11
71,71,150000,11
72,72,150000,11
73,73,150000,11
74,74,150000,11
75,75,150000,11
76,76,150000,11
77,77,150000,11
78,78,150000,11
79,79,150000,11
80,80,150000,11
81,81,160000,11
82,82,160000,11
83,83,160000,11
84,84,160000,11
85,85,160000,11
86,86,160000,11
87,87,160000,11
88,88,160000,11
89,89,160000,11
90,90,160000,11
91,91,170000,11
92,92,170000,11
93,93,170000,11
94,94,170000,11
95,95,170000,11
96,96,170000,11
97,97,170000,11
98,98,170000,11
99,99,170000,11
100,100,170000,11
101,101,180000,11
102,102,180000,11
103,103,180000,11
104,104,180000,11
105,105,180000,11
106,106,180000,11
107,107,180000,11
108,108,180000,11
109,109,180000,11
110,110,180000,11
111,111,190000,11
112,112,190000,11
113,113,190000,11
114,114,190000,11
115,115,190000,11
116,116,190000,11
117,117,190000,11
118,118,190000,11
119,119,190000,11
120,120,190000,11
121,121,200000,11
122,122,200000,11
123,123,200000,11
124,124,200000,11
125,125,200000,11
126,126,200000,11
127,127,200000,11
128,128,200000,11
129,129,200000,11
130,130,200000,11
131,131,210000,11
132,132,210000,11
133,133,210000,11
134,134,210000,11
135,135,210000,11
136,136,210000,11
137,137,210000,11
138,138,210000,11
139,139,210000,11
140,140,210000,11
