变量名,huodongID,_beizhu,name,name_tw,name_en,name_kr,item,rmbCost,rechargeID,duration,sort,group,sumRechargeRMB,targetType1,targetArg1_1,targetArg1_2,targetType2,targetArg2_1,targetArg2_2,bgPath,countPath
默认值,0,"""""","""""","""""","""""","""""",{},1000,0,300,0,0,<>,0,0,0,0,0,0,"""""",""""""
ID,活动版本ID,备注,名字,名字,名字,名字_韩,道具id,价格,recharge表id,持续时间（分钟）,排序,互斥组（0表示非互斥）,累计充值钻石区间（左闭右闭）,触发条件类型1（1-等级；2-关卡；3-指定卡牌数量；4-创角天数；5-vip等级；6-指定稀有度数量；7-立即激活）,条件参数1-1,条件参数1-2(markID/rarity),触发条件类型2（1-等级；2-关卡；3-指定卡牌数量；4-创角天数；5-vip等级；6-指定稀有度数量；7-立即激活）,条件参数2-1,条件参数2-2(markID/rarity),背景图资源路径,倒计时背景资源路径
1001,23001,,10级礼包,,,,{rmb=12;card={id=21}},1000,101,120,0,0,<>,1,10,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
1002,23001,,20级礼包,,,,{rmb=12;card={id=21}},1000,102,120,0,0,<>,1,20,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
1003,23001,,30级礼包,,,,{rmb=12;card={id=21}},1000,103,120,0,0,<>,1,30,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
1004,23001,,40级礼包,,,,{rmb=12;card={id=21}},1000,104,120,0,0,<>,1,40,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
1005,23001,,关卡助力礼包,,,,{rmb=12;card={id=21}},1000,105,120,0,0,<>,2,10101,0,0,0,0,activity/limit_buy_gift/bg_xslb_tgzl.png,activity/limit_buy_gift/bg_tgzl_1.png
1006,23001,,神兽突破礼包,,,,{rmb=12;card={id=21}},1000,106,120,0,0,<>,3,1,11,0,0,0,activity/limit_buy_gift/bg_xslb_sstp.png,activity/limit_buy_gift/bg_sstp_1.png
1007,23001,,立即激活礼包,,,,{rmb=12;card={id=21}},1000,107,120,0,0,<>,7,0,0,0,0,0,activity/limit_buy_gift/bg_xslb_tgzl.png,activity/limit_buy_gift/bg_tgzl_1.png
1008,23001,,创角天数礼包,,,,{12=3},1000,108,120,0,0,<>,4,2,0,0,0,0,activity/limit_buy_gift/bg_xslb_tgzl.png,activity/limit_buy_gift/bg_tgzl_1.png
1009,23001,,VIP15礼包,,,,{12=3},1000,109,120,0,0,<>,5,15,0,0,0,0,activity/limit_buy_gift/bg_xslb_tgzl.png,activity/limit_buy_gift/bg_tgzl_1.png
1010,23001,,稀有度2S2A礼包,,,,{12=3},1000,110,120,0,0,<>,6,2,4,6,2,3,activity/limit_buy_gift/bg_xslb_tgzl.png,activity/limit_buy_gift/bg_tgzl_1.png
1011,23001,,稀有度10B礼包,,,,{12=3},1000,111,120,0,0,<>,6,10,2,0,0,0,activity/limit_buy_gift/bg_xslb_tgzl.png,activity/limit_buy_gift/bg_tgzl_1.png
1012,23001,,VIP+快龙礼包,,,,{12=3},1000,112,120,0,0,<>,5,15,0,3,1,751,activity/limit_buy_gift/bg_xslb_tgzl.png,activity/limit_buy_gift/bg_tgzl_1.png
2001,20001,,30级限时礼包,,,,{503=10;rmb=600;452=100},1000,106,240,0,1,<0;100>,1,30,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2002,20001,,50级限时礼包,,,,{503=10;rmb=600;452=100},1000,106,240,0,2,<0;100>,1,50,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2003,20001,,60级限时礼包,,,,{503=10;rmb=600;452=100},1000,106,240,0,3,<0;100>,1,60,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2004,20001,,70级限时礼包,,,,{503=10;rmb=600;452=100},1000,106,240,0,4,<0;100>,1,70,0,0,0,0,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
