变量名,huodongID,drawID,rmbCost,goldCost,vip,vipIcon,rmbRndMax,range1,weight1,range2,weight2,range3,weight3,range4,weight4,range5,weight5
默认值,0,0,100,100,0,"""""",200,<1;100>,1,<1;100>,1,<1;100>,1,<1;100>,1,<1;100>,1
ID,活动版本ID,抽奖序号,消耗钻石,消耗金币,vip等级限制,vip标识,本次随机上限,区间1,区间1权重,区间2,区间2权重,区间3,区间3权重,区间4,区间4权重,区间5,区间5权重
1,17001,0,88,100,0,,288,<170;200>,60,<170;200>,40,<170;200>,60,<170;200>,40,<170;200>,40
2,17001,1,288,100,0,,688,<460;510>,60,<460;510>,40,<460;510>,60,<460;510>,40,<460;510>,40
3,17001,2,888,100,0,,1888,<1150;1200>,60,<1150;1200>,40,<1150;1200>,60,<1150;1200>,40,<1150;1200>,40
4,17001,3,2088,100,0,,4888,<2500;3000>,60,<2500;3000>,40,<2500;3000>,60,<2500;3000>,40,<2500;3000>,40
5,17001,4,5088,100,0,,9888,<6500;7000>,60,<6500;7000>,40,<6500;7000>,60,<6500;7000>,40,<6500;7000>,40
6,17001,5,10888,100,5,,18888,<13000;14000>,60,<13000;14000>,40,<13000;14000>,60,<13000;14000>,40,<13000;14000>,40
7,17001,6,20888,100,7,,38888,<23000;25000>,60,<23000;25000>,40,<23000;25000>,60,<23000;25000>,40,<23000;25000>,40
8,17001,7,40888,100,10,,78888,<44000;47500>,60,<44000;47500>,40,<44000;47500>,60,<44000;47500>,40,<44000;47500>,40
9,17001,8,68888,100,12,,98888,<70888;73888>,60,<70888;73888>,40,<70888;73888>,60,<70888;73888>,40,<70888;73888>,40
11,17002,0,88,100,0,,288,<170;200>,60,<170;200>,40,<170;200>,60,<170;200>,40,<170;200>,40
12,17002,1,288,100,0,,688,<460;510>,60,<460;510>,40,<460;510>,60,<460;510>,40,<460;510>,40
13,17002,2,888,100,0,,1888,<1150;1200>,60,<1150;1200>,40,<1150;1200>,60,<1150;1200>,40,<1150;1200>,40
14,17002,3,2088,100,0,,4888,<2500;3000>,60,<2500;3000>,40,<2500;3000>,60,<2500;3000>,40,<2500;3000>,40
15,17002,4,5088,100,0,,9888,<6500;7000>,60,<6500;7000>,40,<6500;7000>,60,<6500;7000>,40,<6500;7000>,40
16,17002,5,10888,100,5,,18888,<13000;14000>,60,<13000;14000>,40,<13000;14000>,60,<13000;14000>,40,<13000;14000>,40
17,17002,6,20888,100,7,,38888,<23000;25000>,60,<23000;25000>,40,<23000;25000>,60,<23000;25000>,40,<23000;25000>,40
18,17002,7,40888,100,10,,78888,<44000;48000>,60,<44000;48000>,40,<44000;48000>,60,<44000;48000>,40,<44000;48000>,40
21,17003,0,88,100,0,,288,<170;200>,60,<170;200>,40,<170;200>,60,<170;200>,40,<170;200>,40
22,17003,1,288,100,0,,688,<460;510>,60,<460;510>,40,<460;510>,60,<460;510>,40,<460;510>,40
23,17003,2,888,100,0,,1888,<1150;1200>,60,<1150;1200>,40,<1150;1200>,60,<1150;1200>,40,<1150;1200>,40
24,17003,3,2088,100,0,,4888,<2500;3000>,60,<2500;3000>,40,<2500;3000>,60,<2500;3000>,40,<2500;3000>,40
25,17003,4,5088,100,0,,9888,<6500;7000>,60,<6500;7000>,40,<6500;7000>,60,<6500;7000>,40,<6500;7000>,40
26,17003,5,10888,100,5,,18888,<13000;14000>,60,<13000;14000>,40,<13000;14000>,60,<13000;14000>,40,<13000;14000>,40
27,17003,6,20888,100,7,,38888,<23000;25000>,60,<23000;25000>,40,<23000;25000>,60,<23000;25000>,40,<23000;25000>,40
28,17003,7,40888,100,10,,78888,<44000;48000>,60,<44000;48000>,40,<44000;48000>,60,<44000;48000>,40,<44000;48000>,40
31,17004,0,88,100,0,,288,<170;200>,60,<170;200>,40,<170;200>,60,<170;200>,40,<170;200>,40
32,17004,1,288,100,0,,688,<460;510>,60,<460;510>,40,<460;510>,60,<460;510>,40,<460;510>,40
33,17004,2,888,100,0,,1888,<1150;1200>,60,<1150;1200>,40,<1150;1200>,60,<1150;1200>,40,<1150;1200>,40
34,17004,3,2088,100,0,,4888,<2500;3000>,60,<2500;3000>,40,<2500;3000>,60,<2500;3000>,40,<2500;3000>,40
35,17004,4,5088,100,0,,9888,<6500;7000>,60,<6500;7000>,40,<6500;7000>,60,<6500;7000>,40,<6500;7000>,40
36,17004,5,10888,100,5,,18888,<13000;14000>,60,<13000;14000>,40,<13000;14000>,60,<13000;14000>,40,<13000;14000>,40
37,17004,6,20888,100,7,,38888,<23000;25000>,60,<23000;25000>,40,<23000;25000>,60,<23000;25000>,40,<23000;25000>,40
38,17004,7,40888,100,10,,78888,<44000;47500>,60,<44000;47500>,40,<44000;47500>,60,<44000;47500>,40,<44000;47500>,40
41,17005,0,88,100,0,,288,<170;200>,60,<170;200>,40,<170;200>,60,<170;200>,40,<170;200>,40
42,17005,1,288,100,0,,688,<460;510>,60,<460;510>,40,<460;510>,60,<460;510>,40,<460;510>,40
43,17005,2,888,100,0,,1888,<1150;1200>,60,<1150;1200>,40,<1150;1200>,60,<1150;1200>,40,<1150;1200>,40
44,17005,3,2088,100,0,,4888,<2500;3000>,60,<2500;3000>,40,<2500;3000>,60,<2500;3000>,40,<2500;3000>,40
45,17005,4,5088,100,0,,9888,<6500;7000>,60,<6500;7000>,40,<6500;7000>,60,<6500;7000>,40,<6500;7000>,40
46,17005,5,10888,100,5,,18888,<13000;14000>,60,<13000;14000>,40,<13000;14000>,60,<13000;14000>,40,<13000;14000>,40
47,17005,6,20888,100,7,,38888,<23000;25000>,60,<23000;25000>,40,<23000;25000>,60,<23000;25000>,40,<23000;25000>,40
48,17005,7,40888,100,10,,78888,<44000;47500>,60,<44000;47500>,40,<44000;47500>,60,<44000;47500>,40,<44000;47500>,40
51,17006,0,88,100,0,,288,<170;200>,60,<170;200>,40,<170;200>,60,<170;200>,40,<170;200>,40
52,17006,1,288,100,0,,688,<460;510>,60,<460;510>,40,<460;510>,60,<460;510>,40,<460;510>,40
53,17006,2,888,100,0,,1888,<1150;1200>,60,<1150;1200>,40,<1150;1200>,60,<1150;1200>,40,<1150;1200>,40
54,17006,3,2088,100,0,,4888,<2500;3000>,60,<2500;3000>,40,<2500;3000>,60,<2500;3000>,40,<2500;3000>,40
55,17006,4,5088,100,0,,9888,<6500;7000>,60,<6500;7000>,40,<6500;7000>,60,<6500;7000>,40,<6500;7000>,40
56,17006,5,10888,100,5,,18888,<13000;14000>,60,<13000;14000>,40,<13000;14000>,60,<13000;14000>,40,<13000;14000>,40
57,17006,6,20888,100,7,,38888,<23000;25000>,60,<23000;25000>,40,<23000;25000>,60,<23000;25000>,40,<23000;25000>,40
58,17006,7,40888,100,10,,78888,<44000;47500>,60,<44000;47500>,40,<44000;47500>,60,<44000;47500>,40,<44000;47500>,40
61,17007,0,88,100,0,,288,<170;200>,60,<170;200>,40,<170;200>,60,<170;200>,40,<170;200>,40
62,17007,1,288,100,0,,688,<460;510>,60,<460;510>,40,<460;510>,60,<460;510>,40,<460;510>,40
63,17007,2,888,100,0,,1888,<1150;1200>,60,<1150;1200>,40,<1150;1200>,60,<1150;1200>,40,<1150;1200>,40
64,17007,3,2088,100,0,,4888,<2500;3000>,60,<2500;3000>,40,<2500;3000>,60,<2500;3000>,40,<2500;3000>,40
65,17007,4,5088,100,0,,9888,<6500;7000>,60,<6500;7000>,40,<6500;7000>,60,<6500;7000>,40,<6500;7000>,40
66,17007,5,10888,100,5,,18888,<13000;14000>,60,<13000;14000>,40,<13000;14000>,60,<13000;14000>,40,<13000;14000>,40
67,17007,6,20888,100,7,,38888,<23000;25000>,60,<23000;25000>,40,<23000;25000>,60,<23000;25000>,40,<23000;25000>,40
68,17007,7,40888,100,10,,78888,<44000;47500>,60,<44000;47500>,40,<44000;47500>,60,<44000;47500>,40,<44000;47500>,40
71,17008,0,88,100,0,,288,<170;200>,60,<170;200>,40,<170;200>,60,<170;200>,40,<170;200>,40
72,17008,1,288,100,0,,688,<460;510>,60,<460;510>,40,<460;510>,60,<460;510>,40,<460;510>,40
73,17008,2,888,100,0,,1888,<1150;1200>,60,<1150;1200>,40,<1150;1200>,60,<1150;1200>,40,<1150;1200>,40
74,17008,3,2088,100,0,,4888,<2500;3000>,60,<2500;3000>,40,<2500;3000>,60,<2500;3000>,40,<2500;3000>,40
75,17008,4,5088,100,0,,9888,<6500;7000>,60,<6500;7000>,40,<6500;7000>,60,<6500;7000>,40,<6500;7000>,40
76,17008,5,10888,100,5,,18888,<13000;14000>,60,<13000;14000>,40,<13000;14000>,60,<13000;14000>,40,<13000;14000>,40
77,17008,6,20888,100,7,,38888,<23000;25000>,60,<23000;25000>,40,<23000;25000>,60,<23000;25000>,40,<23000;25000>,40
78,17008,7,40888,100,10,,78888,<44000;47500>,60,<44000;47500>,40,<44000;47500>,60,<44000;47500>,40,<44000;47500>,40
81,17009,0,88,100,0,,288,<170;200>,60,<170;200>,40,<170;200>,60,<170;200>,40,<170;200>,40
82,17009,1,288,100,0,,688,<460;510>,60,<460;510>,40,<460;510>,60,<460;510>,40,<460;510>,40
83,17009,2,888,100,0,,1888,<1150;1200>,60,<1150;1200>,40,<1150;1200>,60,<1150;1200>,40,<1150;1200>,40
84,17009,3,2088,100,0,,4888,<2500;3000>,60,<2500;3000>,40,<2500;3000>,60,<2500;3000>,40,<2500;3000>,40
85,17009,4,5088,100,0,,9888,<6500;7000>,60,<6500;7000>,40,<6500;7000>,60,<6500;7000>,40,<6500;7000>,40
86,17009,5,10888,100,5,,18888,<13000;14000>,60,<13000;14000>,40,<13000;14000>,60,<13000;14000>,40,<13000;14000>,40
87,17009,6,20888,100,7,,38888,<23000;25000>,60,<23000;25000>,40,<23000;25000>,60,<23000;25000>,40,<23000;25000>,40
88,17009,7,40888,100,10,,78888,<44000;47500>,60,<44000;47500>,40,<44000;47500>,60,<44000;47500>,40,<44000;47500>,40
89,17010,0,100,660000,0,,2060000,<1460000;1860000>,60,<1460000;1860000>,40,<1460000;1860000>,60,<1460000;1860000>,40,<1460000;1860000>,40
90,17010,1,100,1660000,0,,3060000,<2660000;3060000>,60,<2660000;3060000>,40,<2660000;3060000>,60,<2660000;3060000>,40,<2660000;3060000>,40
91,17010,2,100,5660000,0,,10600000,<7360000;8260000>,60,<7360000;8260000>,40,<7360000;8260000>,60,<7360000;8260000>,40,<7360000;8260000>,40
92,17010,3,100,10600000,0,,16660000,<12560000;13560000>,60,<12560000;13560000>,40,<12560000;13560000>,60,<12560000;13560000>,40,<12560000;13560000>,40
93,17010,4,100,15600000,1,,25660000,<17360000;18560000>,60,<17360000;18560000>,40,<17360000;18560000>,60,<17360000;18560000>,40,<17360000;18560000>,40
94,17010,5,100,21600000,6,,32660000,<23560000;24760000>,60,<23560000;24760000>,40,<23560000;24760000>,60,<23560000;24760000>,40,<23560000;24760000>,40
95,17010,6,100,27600000,10,,38660000,<29760000;30960000>,60,<29760000;30960000>,40,<29760000;30960000>,60,<29760000;30960000>,40,<29760000;30960000>,40
100,17011,0,88,100,0,,288,<170;200>,60,<170;200>,40,<170;200>,60,<170;200>,40,<170;200>,40
101,17011,1,288,100,0,,688,<460;510>,60,<460;510>,40,<460;510>,60,<460;510>,40,<460;510>,40
102,17011,2,888,100,0,,1888,<1150;1200>,60,<1150;1200>,40,<1150;1200>,60,<1150;1200>,40,<1150;1200>,40
103,17011,3,2088,100,0,,4888,<2500;3000>,60,<2500;3000>,40,<2500;3000>,60,<2500;3000>,40,<2500;3000>,40
104,17011,4,5088,100,0,,9888,<6500;7000>,60,<6500;7000>,40,<6500;7000>,60,<6500;7000>,40,<6500;7000>,40
105,17011,5,10888,100,5,,18888,<13000;14000>,60,<13000;14000>,40,<13000;14000>,60,<13000;14000>,40,<13000;14000>,40
106,17011,6,20888,100,7,,38888,<23000;25000>,60,<23000;25000>,40,<23000;25000>,60,<23000;25000>,40,<23000;25000>,40
107,17011,7,40888,100,10,,78888,<44000;47500>,60,<44000;47500>,40,<44000;47500>,60,<44000;47500>,40,<44000;47500>,40
110,17012,0,88,100,0,,288,<170;200>,60,<170;200>,40,<170;200>,60,<170;200>,40,<170;200>,40
111,17012,1,288,100,0,,688,<460;510>,60,<460;510>,40,<460;510>,60,<460;510>,40,<460;510>,40
112,17012,2,888,100,0,,1888,<1150;1200>,60,<1150;1200>,40,<1150;1200>,60,<1150;1200>,40,<1150;1200>,40
113,17012,3,2088,100,0,,4888,<2500;3000>,60,<2500;3000>,40,<2500;3000>,60,<2500;3000>,40,<2500;3000>,40
114,17012,4,5088,100,0,,9888,<6500;7000>,60,<6500;7000>,40,<6500;7000>,60,<6500;7000>,40,<6500;7000>,40
115,17012,5,10888,100,5,,18888,<13000;14000>,60,<13000;14000>,40,<13000;14000>,60,<13000;14000>,40,<13000;14000>,40
116,17012,6,20888,100,7,,38888,<23000;25000>,60,<23000;25000>,40,<23000;25000>,60,<23000;25000>,40,<23000;25000>,40
117,17012,7,40888,100,10,,78888,<44000;47500>,60,<44000;47500>,40,<44000;47500>,60,<44000;47500>,40,<44000;47500>,40
118,17012,8,68888,100,15,,98888,<72000;75500>,60,<72000;75500>,40,<72000;75500>,60,<72000;75500>,40,<72000;75500>,40
120,17013,0,888,100,0,,2888,<1700;2000>,60,<1700;2000>,40,<1700;2000>,60,<1700;2000>,40,<1700;2000>,40
121,17013,1,2888,100,0,,6888,<4600;5100>,60,<4600;5100>,40,<4600;5100>,60,<4600;5100>,40,<4600;5100>,40
122,17013,2,8888,100,0,,18888,<11500;12000>,60,<11500;12000>,40,<11500;12000>,60,<11500;12000>,40,<11500;12000>,40
123,17013,3,28888,100,0,,48888,<29000;30000>,60,<30000;31000>,40,<29000;30000>,60,<30000;31000>,40,<30000;31000>,40
124,17013,4,58888,100,0,,98888,<59000;60000>,60,<60000;62000>,40,<59000;60000>,60,<60000;62000>,40,<60000;62000>,40
125,17013,5,188888,100,19,,288888,<190000;200000>,60,<200000;210000>,40,<190000;200000>,60,<200000;210000>,40,<200000;210000>,40
126,17013,6,288888,100,21,,388888,<298888;308888>,60,<308888;318888>,40,<298888;308888>,60,<308888;318888>,40,<308888;318888>,40
127,17013,7,488888,100,23,,788888,<500000;520000>,60,<518888;538888>,40,<500000;520000>,60,<518888;538888>,40,<518888;538888>,40
128,17013,8,688888,100,25,,988888,<700000;730000>,60,<720000;755000>,40,<700000;730000>,60,<720000;755000>,40,<720000;755000>,40
130,17014,0,100,5000000,0,,6800000,<5100000;5500000>,60,<5100000;5500000>,40,<5100000;5500000>,60,<5100000;5500000>,40,<5100000;5500000>,40
131,17014,1,100,10000000,0,,15800000,<11000000;11800000>,60,<11000000;11800000>,40,<11000000;11800000>,60,<11000000;11800000>,40,<11000000;11800000>,40
132,17014,2,100,30000000,0,,38880000,<31800000;33800000>,60,<31800000;33800000>,40,<31800000;33800000>,60,<31800000;33800000>,40,<31800000;33800000>,40
133,17014,3,100,50000000,0,,62800000,<52800000;53800000>,60,<52800000;53800000>,40,<52800000;53800000>,60,<52800000;53800000>,40,<52800000;53800000>,40
134,17014,4,100,80000000,0,,96000000,<83800000;85800000>,60,<83800000;85800000>,40,<83800000;85800000>,60,<83800000;85800000>,40,<83800000;85800000>,40
135,17014,5,100,100000000,19,,150000000,<103000000;106000000>,60,<103000000;106000000>,40,<103000000;106000000>,60,<103000000;106000000>,40,<103000000;106000000>,40
136,17014,6,100,300000000,21,,400000000,<320000000;350000000>,60,<320000000;350000000>,40,<320000000;350000000>,60,<320000000;350000000>,40,<320000000;350000000>,40
137,17014,7,100,500000000,23,,650000000,<550000000;580000000>,60,<550000000;580000000>,40,<550000000;580000000>,60,<550000000;580000000>,40,<550000000;580000000>,40
138,17014,8,100,800000000,25,,1000000000,<880000000;920000000>,60,<880000000;920000000>,40,<880000000;920000000>,60,<880000000;920000000>,40,<880000000;920000000>,40
139,17014,9,100,1500000000,27,,3000000000,<1800000000;2300000000>,60,<1800000000;2300000000>,40,<1800000000;2300000000>,60,<1800000000;2300000000>,40,<1800000000;2300000000>,40
