变量名,huodongID,_beizhu,daySum,amount,desc,desc_tw,desc_en,desc_vn,desc_kr,award,special
默认值,0,-1,-1,0,"""""","""""","""""","""""","""""",{},{}
ID,活动版本ID,备注,每日计数-1表示不计数,额度,描述,描述,描述,描述_越南,描述_韩,奖励,特殊奖励
1,4003,-1,1,300,累计充值300钻石,,,,,{13=6;20261=10;gold=60000},{}
2,4003,-1,2,300,累计充值300钻石,,,,,{13=6;20261=10;gold=70000},{}
3,4003,-1,3,300,累计充值300钻石,,,,,{13=6;20261=10;gold=80000},{}
4,4003,-1,4,300,累计充值300钻石,,,,,{13=6;20261=10;gold=90000},{}
5,4003,-1,5,300,累计充值300钻石,,,,,{20261=100;13=6;rmb=10;gold=100000},{20261=100}
6,4004,-1,1,600,累计充值300钻石,,,,,{13=6;gold=60000;20011=10},{}
7,4004,-1,2,600,累计充值300钻石,,,,,{13=6;gold=70000;20011=10},{}
8,4004,-1,3,600,累计充值300钻石,,,,,{13=6;gold=80000;20011=10},{}
9,4004,-1,4,600,累计充值300钻石,,,,,{13=6;gold=90000;20011=10},{}
10,4004,-1,5,600,累计充值300钻石,,,,,{card={id=11};13=6;gold=90000;20011=10},{card={id=11}}
11,4005,-1,1,60,累计充值300钻石,,,,,{13=6;20031=10;gold=60000},{}
12,4005,-1,2,60,累计充值300钻石,,,,,{13=6;20031=10;gold=70000},{}
13,4005,-1,3,60,累计充值300钻石,,,,,{13=6;20031=10;gold=80000},{}
14,4005,-1,4,60,累计充值300钻石,,,,,{13=6;20031=10;gold=90000},{}
15,4005,-1,5,60,累计充值300钻石,,,,,{20031=100;13=6;rmb=10;gold=100000},{20031=100}
101,4011,-1,1,300,累计充值300钻石,,,,,{20591=10;516=6;gold=60000},{}
102,4011,-1,2,300,累计充值300钻石,,,,,{20591=10;516=6;gold=70000},{}
103,4011,-1,3,300,累计充值300钻石,,,,,{20591=10;516=6;gold=80000},{}
104,4011,-1,4,300,累计充值300钻石,,,,,{20591=10;516=6;gold=90000},{}
105,4011,-1,5,300,累计充值300钻石,,,,,{20591=10;card={id=9002};516=6;gold=100000},{card={id=9002}}
201,4012,-1,1,300,累计充值300钻石,,,,,{21291=10;2103=2;gold=60000},{}
202,4012,-1,2,300,累计充值300钻石,,,,,{21291=10;2103=2;gold=70000},{}
203,4012,-1,3,300,累计充值300钻石,,,,,{21291=10;2103=2;gold=80000},{}
204,4012,-1,4,300,累计充值300钻石,,,,,{21291=10;2103=2;gold=90000},{}
205,4012,-1,5,300,累计充值300钻石,,,,,{card={id=9002};21291=10;2103=2;gold=100000},{card={id=9002}}
211,4013,-1,1,300,累计充值300钻石,,,,,{21421=10;2103=2;gold=60000},{}
212,4013,-1,2,300,累计充值300钻石,,,,,{21421=10;2103=2;gold=70000},{}
213,4013,-1,3,300,累计充值300钻石,,,,,{21421=10;2103=2;gold=80000},{}
214,4013,-1,4,300,累计充值300钻石,,,,,{21421=10;2103=2;gold=90000},{}
215,4013,-1,5,300,累计充值300钻石,,,,,{gold=100000;card={id=9002};2103=2;21421=10},{card={id=9002}}
221,4014,-1,1,300,累计充值300钻石,,,,,{21311=10;516=6;gold=60000},{}
222,4014,-1,2,300,累计充值300钻石,,,,,{21311=10;516=6;gold=70000},{}
223,4014,-1,3,300,累计充值300钻石,,,,,{21311=10;516=6;gold=80000},{}
224,4014,-1,4,300,累计充值300钻石,,,,,{21311=10;516=6;gold=90000},{}
225,4014,-1,5,300,累计充值300钻石,,,,,{card={id=9002};21311=10;516=6;gold=100000},{card={id=9002}}
1001,4101,-1,1,300,累计充值300钻石,,,,,{20731=10;2103=2;gold=60000},{}
1002,4101,-1,2,300,累计充值300钻石,,,,,{20731=10;2103=2;gold=70000},{}
1003,4101,-1,3,300,累计充值300钻石,,,,,{20731=10;2103=2;gold=80000},{}
1004,4101,-1,4,300,累计充值300钻石,,,,,{20731=10;2103=2;gold=90000},{}
1005,4101,-1,5,300,累计充值300钻石,,,,,{20731=10;card={id=9002};2103=2;gold=100000},{card={id=9002}}
1011,4102,-1,1,300,累计充值300钻石,,,,,{23541=10;2103=2;gold=60000},{}
1012,4102,-1,2,300,累计充值300钻石,,,,,{23541=10;2103=2;gold=70000},{}
1013,4102,-1,3,300,累计充值300钻石,,,,,{23541=10;2103=2;gold=80000},{}
1014,4102,-1,4,300,累计充值300钻石,,,,,{23541=10;2103=2;gold=90000},{}
1015,4102,-1,5,300,累计充值300钻石,,,,,{card={id=9002};23541=10;2103=2;gold=100000},{card={id=9002}}
1021,4103,-1,1,300,累计充值300钻石,,,,,{20391=10;2103=2;gold=60000},{}
1022,4103,-1,2,300,累计充值300钻石,,,,,{20391=10;2103=2;gold=70000},{}
1023,4103,-1,3,300,累计充值300钻石,,,,,{20391=10;2103=2;gold=80000},{}
1024,4103,-1,4,300,累计充值300钻石,,,,,{20391=10;2103=2;gold=90000},{}
1025,4103,-1,5,300,累计充值300钻石,,,,,{card={id=9002};20391=10;2103=2;gold=100000},{card={id=9002}}
1031,4104,-1,1,300,累计充值300钻石,,,,,{21241=10;2103=2;gold=60000},{}
1032,4104,-1,2,300,累计充值300钻石,,,,,{21241=10;2103=2;gold=70000},{}
1033,4104,-1,3,300,累计充值300钻石,,,,,{21241=10;2103=2;gold=80000},{}
1034,4104,-1,4,300,累计充值300钻石,,,,,{21241=10;2103=2;gold=90000},{}
1035,4104,-1,5,300,累计充值300钻石,,,,,{21241=10;card={id=9002};2103=2;gold=100000},{card={id=9002}}
1041,4105,-1,1,300,累计充值300钻石,,,,,{21391=10;2103=2;gold=60000},{}
1042,4105,-1,2,300,累计充值300钻石,,,,,{21391=10;2103=2;gold=70000},{}
1043,4105,-1,3,300,累计充值300钻石,,,,,{21391=10;2103=2;gold=80000},{}
1044,4105,-1,4,300,累计充值300钻石,,,,,{21391=10;2103=2;gold=90000},{}
1045,4105,-1,5,300,累计充值300钻石,,,,,{21391=10;card={id=9002};2103=2;gold=100000},{card={id=9002}}
1051,4106,-1,1,300,累计充值300钻石,,,,,{20721=10;2103=2;gold=60000},{}
1052,4106,-1,2,300,累计充值300钻石,,,,,{20721=10;2103=2;gold=70000},{}
1053,4106,-1,3,300,累计充值300钻石,,,,,{20721=10;2103=2;gold=80000},{}
1054,4106,-1,4,300,累计充值300钻石,,,,,{20721=10;2103=2;gold=90000},{}
1055,4106,-1,5,300,累计充值300钻石,,,,,{20721=10;card={id=9002};2103=2;gold=100000},{card={id=9002}}
1061,4107,-1,1,300,累计充值300钻石,,,,,{21231=10;2103=2;gold=60000},{}
1062,4107,-1,2,300,累计充值300钻石,,,,,{21231=10;2103=2;gold=60000},{}
1063,4107,-1,3,300,累计充值300钻石,,,,,{21231=10;2103=2;gold=60000},{}
1064,4107,-1,4,300,累计充值300钻石,,,,,{21231=10;2103=2;gold=60000},{}
1065,4107,-1,5,300,累计充值300钻石,,,,,{21231=10;card={id=9002};2103=2;gold=100000},{card={id=9002}}
