变量名,huodongID,type,num,award
默认值,0,1,0,{}
ID,活动版本ID,页签类型(1-签到;2-积分),目标值,任务奖励
1,101031,1,1,{502=3;503=2;rmb=88;gold=680000}
2,101031,1,2,{502=1;503=1;rmb=38;gold=280000}
3,101031,1,3,{521=4;503=6;rmb=288;gold=1680000}
4,101031,1,4,{521=2;503=4;rmb=168;gold=1080000}
5,101031,1,5,{502=3;503=2;rmb=88;gold=680000}
6,101031,1,6,{502=1;503=1;rmb=38;gold=280000}
7,101031,1,7,{521=4;503=6;rmb=288;gold=1680000}
8,101031,2,300,{502=3;503=2;rmb=88;gold=680000}
9,101031,2,600,{502=1;503=1;rmb=38;gold=280000}
10,101031,2,800,{521=4;503=6;rmb=288;gold=1680000}
11,101031,2,1000,{521=2;503=4;rmb=168;gold=1080000}
12,101031,2,1300,{502=3;503=2;rmb=88;gold=680000}
13,101031,2,1600,{502=1;503=1;rmb=38;gold=280000}
14,101031,2,2000,{521=4;503=6;rmb=288;gold=1680000}
15,101031,2,2300,{521=2;503=4;rmb=168;gold=1080000}
16,101031,2,2600,{502=3;503=2;rmb=88;gold=680000}
17,101031,2,3900,{502=1;503=1;rmb=38;gold=280000}
18,101031,2,4200,{521=4;503=6;rmb=288;gold=1680000}
19,101031,2,4400,{521=2;503=4;rmb=168;gold=1080000}
20,101031,2,4600,{502=3;503=2;rmb=88;gold=680000}
21,101031,2,5000,{502=1;503=1;rmb=38;gold=280000}
101,10001,1,1,{6326=8;rmb=1888;gold=1888888}
102,10001,1,2,{6326=8;rmb=1888;gold=1888888}
103,10001,1,3,{6326=8;rmb=1888;gold=1888888}
104,10001,1,4,{6326=8;rmb=1888;gold=1888888}
105,10001,1,5,{6326=8;rmb=1888;gold=1888888}
106,10001,1,6,{6326=8;rmb=1888;gold=1888888}
107,10001,1,7,{6326=8;rmb=1888;gold=1888888}
108,10001,1,8,{6326=8;rmb=1888;gold=1888888}
109,10001,1,9,{6326=8;rmb=1888;gold=1888888}
110,10001,1,10,{6326=8;rmb=1888;gold=1888888}
111,10001,1,11,{6326=8;rmb=1888;gold=1888888}
112,10001,1,12,{6326=8;rmb=1888;gold=1888888}
113,10001,1,13,{6326=8;rmb=1888;gold=1888888}
114,10001,1,14,{6326=8;rmb=1888;gold=1888888}
201,10001,2,200,{502=8;515=8;14=8}
202,10001,2,400,{502=10;515=10;14=10}
203,10001,2,600,{502=12;515=12;14=12}
204,10001,2,800,{502=14;515=14;14=14}
205,10001,2,1000,{930=10;rmb=888;gold=1000000}
206,10001,2,1200,{930=20;rmb=1088;gold=1200000}
207,10001,2,1400,{930=30;rmb=1288;gold=1400000}
208,10001,2,1600,{930=40;rmb=1488;gold=1600000}
209,10001,2,1800,{930=50;rmb=1688;gold=1800000}
210,10001,2,2000,{930=60;rmb=1888;gold=2000000}
211,10001,2,2200,{521=5;9016=2;500=2}
212,10001,2,2400,{521=10;9016=4;500=4}
213,10001,2,2600,{521=15;9016=6;500=6}
214,10001,2,2800,{521=20;9016=10;500=10}
