变量名,huodongID,day,award
默认值,,99,{}
ID,活动版本号,天数,资源奖励
101,1001,1,{521=888;rmb=50000;gold=20000000}
102,1001,2,{521=200;rmb=50000;gold=20000000}
103,1001,3,{521=200;rmb=50000;gold=20000000}
104,1001,4,{521=200;rmb=50000;gold=20000000}
105,1001,5,{521=200;rmb=50000;gold=20000000}
106,1001,6,{521=200;rmb=50000;gold=20000000}
107,1001,7,{521=200;rmb=50000;gold=20000000}
111,1002,1,{539=888;rmb=50000;gold=20000000}
112,1002,2,{539=200;rmb=50000;gold=20000000}
113,1002,3,{539=200;rmb=50000;gold=20000000}
114,1002,4,{539=200;rmb=50000;gold=20000000}
115,1002,5,{539=200;rmb=50000;gold=20000000}
116,1002,6,{539=200;rmb=50000;gold=20000000}
117,1002,7,{539=200;rmb=50000;gold=20000000}
121,1003,1,{502=2400;rmb=50000;gold=20000000}
122,1003,2,{502=600;rmb=50000;gold=20000000}
123,1003,3,{502=600;rmb=50000;gold=20000000}
124,1003,4,{502=600;rmb=50000;gold=20000000}
125,1003,5,{502=600;rmb=50000;gold=20000000}
126,1003,6,{502=600;rmb=50000;gold=20000000}
127,1003,7,{502=600;rmb=50000;gold=20000000}
131,1004,1,{521=400;9016=20;rmb=60000}
132,1004,2,{521=100;9016=5;rmb=15000}
133,1004,3,{521=100;9016=5;rmb=15000}
134,1004,4,{521=100;9016=5;rmb=15000}
135,1004,5,{521=100;9016=5;rmb=15000}
136,1004,6,{521=100;9016=5;rmb=15000}
137,1004,7,{521=100;9016=5;rmb=15000}
141,1005,1,{521=600;9016=20;rmb=60000}
142,1005,2,{521=200;9016=10;rmb=15000}
143,1005,3,{521=200;9016=10;rmb=15000}
144,1005,4,{521=200;9016=10;rmb=15000}
145,1005,5,{521=200;9016=10;rmb=15000}
146,1005,6,{521=200;9016=10;rmb=15000}
147,1005,7,{521=200;9016=10;rmb=15000}
151,1006,1,{502=2400;rmb=50000;gold=20000000}
152,1006,2,{502=600;rmb=50000;gold=20000000}
153,1006,3,{502=600;rmb=50000;gold=20000000}
154,1006,4,{502=600;rmb=50000;gold=20000000}
155,1006,5,{502=600;rmb=50000;gold=20000000}
156,1006,6,{502=600;rmb=50000;gold=20000000}
157,1006,7,{502=600;rmb=50000;gold=20000000}
